"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G"
"2015-10-28",17.0166666666667,17.0166666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-10-30",17.85,17.4333333333333,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-01",24.5833333333333,19.8166666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-03",4.46666666666667,15.9791666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-04",32.0333333333333,19.19,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-06",11.8333333333333,18.1533333333333,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-07",22.3666666666667,19.0566666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-09",17.3666666666667,17.6133333333333,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-11",15.8333333333333,19.8866666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-13",27.3333333333333,18.9466666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-14",31.7,22.92,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-18",13.7666666666667,21.2,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-21",20.5666666666667,21.84,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-23",24.8333333333333,23.64,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-25",17.0833333333333,21.59,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-27",18.4,18.93,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-11-29",21.7833333333333,20.5333333333333,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-01",13.3333333333333,19.0866666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-03",6.36666666666667,15.3933333333333,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-05",21.0166666666667,16.18,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-08",0,12.5,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-09",12.3333333333333,10.61,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-11",31.3666666666667,14.2166666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-14",22.45,17.4333333333333,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-16",24.8,18.19,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
"2015-12-18",12.15,20.62,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78
