"Date","MP","Rolling_Avg_MP","Season","Player","Team","Position","Age","MPG","G","Travel","Distance","Injury_Indicator","Injury_Severity","Injury_Notes","PG","SG","SF","PF","C","Is_2019_20","Is_2020_21","Is_2021_22","treatment","distance_average","Is_3rd_Game_in_4_Days","Is_4th_Game_in_5_Days","Is_5th_Game_in_7_Days","Season_Phase","Early_Treatment","Mid_Treatment","Late_Treatment","Total_Early_Treatment","Total_Mid_Treatment","Total_Late_Treatment","Rows_In_Phase","Total_Games","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency"
2015-11-04,32.0333333333333,19.8166666666667,"2015-16","Aaron Gordon","Orlando Magic","PF",20,23.9,78,1,328,0,0,"",0,0,0,1,0,0,0,0,0,575.5,1,0,0,"Early",0,0,0,0,0,0,4,18,0.25,0,0,0.0555555555555556
2022-10-22,23.25,22.5,"2022-23","Aaron Nesmith","Indiana Pacers","PF",23,24.9,73,0,0,0,0,"",0,0,0,1,0,0,0,0,0,0,1,0,0,"Early",0,0,0,0,0,0,5,11,0,0,0,0
2013-11-02,22.2333333333333,23.2166666666667,"2013-14","Al-Farouq Aminu","New Orleans Pelicans","PF",23,25.6,80,1,527,0,0,"",0,0,0,1,0,0,0,0,0,527,1,0,0,"Early",0,0,0,0,0,0,6,19,0,0,0.166666666666667,0.0526315789473684
2014-11-08,30.35,29.9666666666667,"2014-15","Al Horford","Atlanta Hawks","C",28,30.5,76,1,227,0,0,"",0,0,0,0,1,0,0,0,0,665.5,1,0,0,"Early",0,0,0,0,0,0,7,21,0,0.142857142857143,0.571428571428571,0.238095238095238
2013-11-02,27.1,19.6,"2013-14","Al Jefferson","Charlotte Hornets","C",29,35,73,0,0,0,0,"",0,0,0,0,1,0,0,0,0,0,1,0,0,"Early",0,0,0,0,0,0,8,21,0,0,0,0
2021-11-08,21.3,16.0033333333333,"2021-22","Alec Burks","New York Knicks","PG",30,28.6,81,1,78,0,0,"",1,0,0,0,0,0,0,1,0,409,1,0,0,"Early",0,0,0,0,0,0,4,12,0,0,0,0
2017-10-20,6.8,9.50833333333333,"2017-18","Alex Caruso","Los Angeles Lakers","PG",23,15.2,37,1,366,1,61,"placed on IL",1,0,0,0,0,0,0,0,0,183,0,0,0,"Early",0,0,0,0,0,0,1,6,0,0,0,0
2014-11-01,17.8,18.7,"2014-15","Alex Len","Phoenix Suns","C",21,22,69,1,501,0,0,"",0,0,0,0,1,0,0,0,0,250.5,1,0,0,"Early",0,0,0,0,0,0,7,16,0,0,0.2,0.0625
2017-10-25,24.3333333333333,25.0944444444444,"2017-18","Allen Crabbe","Brooklyn Nets","SF",25,29.3,75,1,941,0,0,"",0,0,1,0,0,0,0,0,0,941,1,0,0,"Early",0,0,0,0,0,0,3,13,0,0.142857142857143,0,0.0769230769230769
2015-10-28,17.9166666666667,22.425,"2015-16","Alonzo Gee","New Orleans Pelicans","SG",28,22.4,73,1,537,0,0,"",0,1,0,0,0,0,0,0,0,1233,0,0,0,"Early",0,0,0,0,0,0,7,14,0,0,0,0
