"Player","Season","Frequency_Early","Frequency_Mid","Frequency_Late","Total_Treatment_Frequency","Early_Quantile","Mid_Quantile","Late_Quantile","Total_Quantile","Injury_Frequency","Games_Missed_Frequency"
"Aaron Gordon","2015-16",0.25,0,0,0.0555555555555556,"Q2","Q1","Q1","Q2",0.0128205128205128,0.0365853658536585
"Aaron Gordon","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0125,0.024390243902439
"Aaron Gordon","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.103448275862069,0.292682926829268
"Aaron Gordon","2018-19",0.166666666666667,0,0,0.0769230769230769,"Q2","Q1","Q1","Q2",0.0256410256410256,0.0365853658536585
"Aaron Gordon","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0689655172413793,0.107692307692308
"Aaron Gordon","2020-21",0.5,0,0.333333333333333,0.333333333333333,"Q3","Q1","Q3","Q3",0.06,0.25
"Aaron Gordon","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.0533333333333333,0.0731707317073171
"Aaron Gordon","2022-23",0,0.2,0,0.111111111111111,"Q1","Q2","Q1","Q2",0.0735294117647059,0.146341463414634
"Aaron Nesmith","2022-23",0,0,0,0,"Q1","Q1","Q1","Q1",0.0547945205479452,0.109756097560976
"Al Horford","2014-15",0,0.142857142857143,0.571428571428571,0.238095238095238,"Q1","Q2","Q3","Q3",0.0131578947368421,0.0121951219512195
"Al Horford","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Al Horford","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.0588235294117647,0.170731707317073
"Al Horford","2017-18",0,0.333333333333333,0.2,0.214285714285714,"Q1","Q3","Q2","Q3",0.0694444444444444,0.0853658536585366
"Al Horford","2018-19",0.4,0,0.25,0.272727272727273,"Q3","Q1","Q2","Q3",0.0588235294117647,0.134146341463415
"Al Horford","2019-20",0,0,0,0,"Q1","Q1","Q1","Q1",0.0333333333333333,0.0461538461538462
"Al Horford","2020-21",1,1,-Inf,1,"Q3","Q3",NA,"Q3",0.0357142857142857,0.0833333333333333
"Al Horford","2021-22",0.5,0,0.5,0.384615384615385,"Q3","Q1","Q3","Q3",0.0289855072463768,0.0853658536585366
"Al Horford","2022-23",1,1,1,1,"Q3","Q3","Q3","Q3",0.0476190476190476,0.0853658536585366
"Al Jefferson","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.024390243902439,0
"Al Jefferson","2014-15",0,0.166666666666667,0,0.0714285714285714,"Q1","Q2","Q1","Q2",0.0405405405405405,0
"Al Jefferson","2015-16",0,0,0.142857142857143,0.0666666666666667,"Q1","Q1","Q2","Q2",0.0540540540540541,0.024390243902439
"Al-Farouq Aminu","2013-14",0,0,0.166666666666667,0.0526315789473684,"Q1","Q1","Q2","Q2",0,0
"Al-Farouq Aminu","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Al-Farouq Aminu","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.0144927536231884,0.158536585365854
"Al-Farouq Aminu","2018-19",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Alec Burks","2021-22",0,0,0,0,"Q1","Q1","Q1","Q1",0.0123456790123457,0.0121951219512195
"Alex Caruso","2017-18",0,0,0,0,"Q1","Q1","Q1","Q1",0.0810810810810811,0.481481481481481
"Alex Caruso","2021-22",0.25,0,0,0.142857142857143,"Q2","Q1","Q1","Q3",0.0975609756097561,0.475609756097561
"Alex Len","2014-15",0,0,0.2,0.0625,"Q1","Q1","Q2","Q2",0.0434782608695652,0.146341463414634
"Alex Len","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0128205128205128,0.0365853658536585
"Alex Len","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0.025974025974026,0.0487804878048781
"Alex Len","2020-21",0,0.2,0,0.0769230769230769,"Q1","Q2","Q1","Q2",0.015625,0.0405405405405405
"Alexis Ajinca","2016-17",0,0,0,0,"Q1","Q1","Q1","Q1",0,0
"Allen Crabbe","2017-18",0,0.142857142857143,0,0.0769230769230769,"Q1","Q2","Q1","Q2",0.04,0.0731707317073171
"Alonzo Gee","2015-16",0,0,0,0,"Q1","Q1","Q1","Q1",0.0136986301369863,0.0975609756097561
"Alperen Sengun","2022-23",0,0,0.25,0.0833333333333333,"Q1","Q1","Q2","Q2",0.0266666666666667,0.0365853658536585
"Amir Johnson","2013-14",0,0,0,0,"Q1","Q1","Q1","Q1",0.025974025974026,0.0609756097560976
"Amir Johnson","2014-15",0,0,0,0,"Q1","Q1","Q1","Q1",0.04,0.0853658536585366
