Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1976-77,21,BUF,NBA,SF,77,,2816,8.6,16.6,.520,,,,8.6,16.6,.520,7.6,9.2,.818,4.0,5.3,9.3,2.3,1.4,0.2,,3.4,24.8,,,103
1977-78,22,TOT,NBA,SF,79,,2933,8.9,17.3,.512,,,,8.9,17.3,.512,8.3,10.4,.796,4.1,5.4,9.5,3.9,1.8,0.4,3.5,3.6,26.0,,116,102
1977-78,22,IND,NBA,SF,23,,948,9.4,18.9,.499,,,,9.4,18.9,.499,9.7,12.3,.787,4.4,5.7,10.1,3.0,2.2,0.8,3.1,3.6,28.5,,118,101
1977-78,22,LAL,NBA,SF,56,,1985,8.6,16.5,.520,,,,8.6,16.5,.520,7.6,9.5,.801,3.9,5.3,9.2,4.3,1.6,0.2,3.7,3.6,24.8,,115,103
1978-79,23,LAL,NBA,SF,60,,1775,9.6,18.7,.510,,,,9.6,18.7,.510,7.5,8.7,.854,3.3,5.4,8.7,3.5,1.6,0.3,4.0,4.1,26.6,,111,105
1979-80,24,UTA,NBA,SF,68,,2674,13.4,23.3,.576,0.0,0.0,.000,13.4,23.3,.577,8.1,9.7,.842,3.4,6.1,9.5,3.5,1.8,0.3,4.3,3.9,35.0,,119,110
1980-81,25,UTA,NBA,SF,80,,3417,13.1,23.4,.559,0.0,0.1,.286,13.0,23.3,.560,9.1,11.3,.806,2.8,4.6,7.3,4.6,1.6,0.3,4.1,3.5,35.3,,118,111
1981-82,26,UTA,NBA,SF,81,81,3222,13.0,22.8,.570,0.0,0.0,.333,13.0,22.7,.570,9.3,11.7,.792,3.3,4.1,7.4,4.6,1.4,0.2,4.3,3.6,35.2,,121,114
1982-83,27,UTA,NBA,SF,22,22,887,11.7,20.3,.580,0.0,0.0,,11.7,20.3,.580,10.6,12.5,.847,2.9,4.1,7.1,5.3,1.0,0.0,4.1,3.1,34.1,,124,109
1983-84,28,UTA,NBA,SF,79,79,2984,12.3,22.0,.558,0.0,0.1,.250,12.3,22.0,.559,12.5,14.5,.859,2.7,4.1,6.9,4.8,0.9,0.1,4.0,3.1,37.1,,126,112
1984-85,29,UTA,NBA,SF,55,46,1971,11.9,22.3,.531,0.0,0.0,,11.9,22.3,.531,10.1,12.6,.804,3.4,4.1,7.5,4.3,1.3,0.2,4.0,3.1,33.9,,117,107
1985-86,30,UTA,NBA,SF,76,75,2744,13.9,24.6,.563,0.0,0.2,.091,13.8,24.4,.567,10.7,13.5,.791,3.0,3.7,6.7,4.5,1.1,0.1,3.9,3.5,38.4,,121,109
1986-87,31,DET,NBA,SF,81,81,2736,10.4,19.5,.534,0.0,0.1,.167,10.4,19.4,.536,9.4,11.5,.812,1.8,4.0,5.8,2.8,1.1,0.1,3.1,3.4,30.2,,121,109
1987-88,32,DET,NBA,SF,69,50,2144,10.1,19.6,.514,0.0,0.0,.000,10.1,19.6,.516,11.2,13.0,.860,1.9,3.3,5.2,3.9,0.9,0.2,3.1,3.3,31.4,,124,109
1988-89,33,TOT,NBA,SF,73,67,2422,9.7,19.8,.493,0.0,0.0,.000,9.7,19.7,.493,9.5,11.8,.810,2.4,4.1,6.6,3.5,0.9,0.3,3.4,3.9,29.0,,115,110
1988-89,33,DET,NBA,SF,42,42,1341,9.7,18.6,.521,0.0,0.0,,9.7,18.6,.521,9.6,11.4,.839,2.0,4.2,6.1,3.5,0.9,0.2,3.0,3.7,28.9,,122,108
1988-89,33,DAL,NBA,SF,31,25,1081,9.8,21.3,.462,0.0,0.0,.000,9.8,21.2,.463,9.5,12.2,.776,3.0,4.1,7.1,3.6,0.9,0.3,3.8,4.0,29.1,,108,112
1989-90,34,DAL,NBA,SF,45,45,1300,9.0,18.9,.477,0.0,0.1,.000,9.0,18.8,.479,7.8,9.9,.787,3.0,3.7,6.7,3.1,0.8,0.3,2.9,3.9,25.9,,113,112
1990-91,35,MIL,NBA,SF,10,0,126,7.5,19.8,.380,0.4,1.2,.333,7.1,18.6,.383,7.1,10.3,.692,3.2,2.0,5.2,3.6,2.0,0.0,2.4,3.2,22.6,,103,111
Career,,,NBA,,955,546,34151,11.3,20.8,.540,0.0,0.1,,11.2,20.8,.541,9.4,11.5,.818,3.0,4.5,7.5,3.9,1.3,0.2,3.4,3.5,31.9,,119,109
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,UTA,NBA,,461,303,17899,12.9,22.9,.562,0.0,0.1,.185,12.9,22.9,.563,10.0,12.2,.818,3.1,4.4,7.5,4.5,1.3,0.2,4.1,3.4,35.8,,121,111
3 
seasons,,DET,NBA,,192,173,6221,10.2,19.4,.525,0.0,0.1,.125,10.2,19.3,.526,10.0,12.0,.835,1.9,3.8,5.6,3.3,1.0,0.2,3.1,3.4,30.4,,122,109
2 
seasons,,LAL,NBA,,116,,3760,9.0,17.6,.515,,,,9.0,17.6,.515,7.5,9.1,.825,3.6,5.3,9.0,3.9,1.6,0.2,3.8,3.8,25.6,,113,104
1 
season,,BUF,NBA,,77,,2816,8.6,16.6,.520,,,,8.6,16.6,.520,7.6,9.2,.818,4.0,5.3,9.3,2.3,1.4,0.2,,3.4,24.8,,,103
2 
seasons,,DAL,NBA,,76,70,2381,9.4,20.0,.470,0.0,0.1,.000,9.4,19.9,.471,8.6,11.0,.781,3.0,3.9,6.9,3.3,0.8,0.3,3.3,3.9,27.3,,110,112
1 
season,,IND,NBA,,23,,948,9.4,18.9,.499,,,,9.4,18.9,.499,9.7,12.3,.787,4.4,5.7,10.1,3.0,2.2,0.8,3.1,3.6,28.5,,118,101
1 
season,,MIL,NBA,,10,0,126,7.5,19.8,.380,0.4,1.2,.333,7.1,18.6,.383,7.1,10.3,.692,3.2,2.0,5.2,3.6,2.0,0.0,2.4,3.2,22.6,,103,111
