Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1976-77,23,MIL,NBA,SF,60,,648,9.0,19.0,.477,,,,9.0,19.0,.477,3.1,4.1,.767,4.7,6.8,11.5,1.7,1.2,1.2,,5.3,21.2,,,103
1977-78,24,MIL,NBA,SF,82,,1552,9.8,18.0,.542,,,,9.8,18.0,.542,3.0,4.1,.727,4.1,7.1,11.2,3.7,1.2,1.6,3.9,5.1,22.5,,106,102
1978-79,25,IND,NBA,SF,81,,2696,9.5,18.6,.511,,,,9.5,18.6,.511,2.9,3.9,.752,4.3,6.8,11.1,4.6,1.2,1.3,3.3,3.6,22.0,,108,104
1979-80,26,TOT,NBA,SF,78,,2401,10.6,21.3,.497,0.0,0.1,.333,10.6,21.2,.498,4.0,5.1,.789,5.2,6.4,11.6,4.3,1.4,1.2,4.1,4.0,25.3,,106,107
1979-80,26,IND,NBA,SF,54,,1526,10.4,20.7,.504,0.0,0.1,.000,10.4,20.6,.507,3.4,4.2,.814,5.0,6.4,11.4,4.3,1.4,1.0,3.7,3.9,24.3,,108,107
1979-80,26,DEN,NBA,SF,24,,875,10.9,22.5,.485,0.1,0.2,.667,10.8,22.4,.483,5.1,6.7,.762,5.4,6.5,11.9,4.3,1.5,1.5,4.8,4.1,27.0,,104,107
1980-81,27,DEN,NBA,SF,81,,3093,10.9,22.0,.494,0.0,0.1,.600,10.8,21.9,.494,5.5,6.5,.850,3.9,5.3,9.1,4.1,1.5,1.4,3.4,3.6,27.3,,112,110
1981-82,28,DEN,NBA,SF,82,82,3015,12.4,22.5,.551,0.0,0.1,.000,12.4,22.4,.553,5.4,6.4,.840,3.0,5.0,8.1,6.3,1.3,1.7,3.8,3.8,30.2,,118,114
1982-83,29,DEN,NBA,SF,82,82,2988,13.7,26.6,.516,0.0,0.2,.167,13.7,26.4,.519,5.8,7.0,.829,3.8,4.8,8.6,5.7,1.7,1.8,3.8,3.4,33.3,,113,109
1983-84,30,DEN,NBA,SF,82,77,2870,13.7,26.0,.529,0.0,0.1,.143,13.7,25.8,.531,5.3,6.5,.824,3.3,3.8,7.0,6.1,1.3,1.4,3.4,3.8,32.8,,114,113
1984-85,31,DEN,NBA,SF,81,81,2924,14.3,27.6,.518,0.0,0.1,.200,14.3,27.6,.519,5.8,7.0,.829,3.1,3.9,7.0,5.2,1.5,0.7,3.8,4.0,34.5,,113,111
1985-86,32,DEN,NBA,SF,81,81,3024,14.1,28.1,.504,0.0,0.1,.200,14.1,28.0,.505,7.6,8.8,.862,2.9,3.2,6.0,4.8,1.1,0.4,3.7,3.5,35.9,,113,110
1986-87,33,DEN,NBA,SF,82,82,3085,14.1,28.1,.503,0.1,0.2,.267,14.1,27.9,.504,6.0,7.1,.844,2.1,2.9,5.0,6.2,1.1,0.3,3.1,3.2,34.4,,113,114
1987-88,34,DEN,NBA,SF,80,80,2818,13.6,27.5,.495,0.0,0.1,.000,13.6,27.4,.496,5.1,6.1,.828,2.7,3.3,6.0,6.1,1.1,0.4,2.9,3.1,32.3,,111,110
1988-89,35,DEN,NBA,SF,82,82,2990,13.8,28.1,.491,0.0,0.1,.250,13.8,28.0,.492,4.9,5.7,.858,2.2,2.7,4.9,5.7,1.0,0.2,3.0,2.6,32.5,,109,112
1989-90,36,DEN,NBA,SF,80,80,2211,13.1,26.6,.491,0.0,0.1,.400,13.0,26.5,.491,3.3,3.8,.880,2.5,3.4,5.9,4.6,1.1,0.5,1.9,2.7,29.5,,110,110
1990-91,37,DAL,NBA,SF,79,26,1748,9.4,21.4,.439,0.0,0.0,.000,9.4,21.4,.439,3.5,4.1,.850,3.1,4.3,7.4,3.1,1.2,0.7,2.9,4.1,22.3,,98,113
Career,,,NBA,,1193,753,38063,12.5,24.8,.507,0.0,0.1,,12.5,24.7,.508,5.0,6.1,.832,3.3,4.4,7.7,5.1,1.3,1.0,3.3,3.6,30.2,,111,110
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 
seasons,,DEN,NBA,,837,727,29893,13.3,26.2,.509,0.0,0.1,.228,13.3,26.0,.510,5.5,6.6,.840,3.0,3.9,7.0,5.5,1.3,0.9,3.4,3.4,32.2,,113,111
2 
seasons,,MIL,NBA,,142,,2200,9.5,18.3,.522,,,,9.5,18.3,.522,3.0,4.1,.739,4.3,7.1,11.3,3.1,1.2,1.5,2.8,5.1,22.1,,106,103
2 
seasons,,IND,NBA,,135,,4222,9.8,19.4,.508,0.0,0.1,,9.8,19.3,.509,3.1,4.0,.776,4.5,6.7,11.2,4.5,1.2,1.2,3.5,3.7,22.8,,108,105
1 
season,,DAL,NBA,,79,26,1748,9.4,21.4,.439,0.0,0.0,.000,9.4,21.4,.439,3.5,4.1,.850,3.1,4.3,7.4,3.1,1.2,0.7,2.9,4.1,22.3,,98,113
