Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1992-93,22,CHH,NBA,C,78,78,2644,10.4,20.3,.511,0.0,0.1,.000,10.4,20.2,.513,9.0,11.5,.781,4.8,9.8,14.6,1.4,0.5,4.9,4.3,5.2,29.7,,112,106
1993-94,23,CHH,NBA,C,60,59,2018,10.4,20.6,.505,0.0,0.0,.000,10.4,20.6,.507,10.6,13.9,.762,4.3,10.6,14.9,2.1,0.7,4.6,4.9,5.0,31.4,,109,105
1994-95,24,CHH,NBA,C,77,77,2941,10.2,19.7,.519,0.2,0.6,.324,10.0,19.1,.525,8.8,11.5,.761,3.6,10.0,13.6,2.0,0.9,4.0,4.3,4.9,29.4,,110,102
1995-96,25,MIA,NBA,C,70,70,2671,11.1,21.2,.523,0.2,0.6,.300,10.9,20.6,.530,9.6,14.0,.685,4.3,10.0,14.3,3.1,1.4,3.7,5.2,4.8,32.0,,109,99
1996-97,26,MIA,NBA,C,66,65,2320,11.1,20.7,.534,0.0,0.2,.111,11.1,20.5,.539,8.5,13.2,.642,4.4,10.9,15.4,2.4,1.3,4.4,5.3,6.4,30.7,,106,95
1997-98,27,MIA,NBA,C,58,56,1939,11.3,20.6,.551,0.0,0.0,,11.3,20.6,.551,8.7,13.1,.665,5.4,10.3,15.7,1.5,1.1,3.7,5.0,5.9,31.4,,109,99
1998-99,28,MIA,NBA,C,46,46,1753,10.5,20.5,.511,0.0,0.1,.000,10.5,20.4,.513,8.9,13.7,.652,5.4,11.0,16.4,2.4,1.1,5.8,4.5,5.2,29.8,,107,93
1999-00,29,MIA,NBA,C,79,78,2748,12.7,23.1,.551,0.0,0.1,.000,12.7,23.0,.553,8.1,11.3,.711,4.2,10.5,14.7,2.4,0.8,5.7,4.2,6.0,33.5,,112,96
2000-01,30,MIA,NBA,C,13,3,306,13.2,25.4,.518,0.0,0.2,.000,13.2,25.2,.521,5.6,9.9,.564,6.3,11.9,18.2,2.2,0.7,5.6,5.0,4.3,31.9,,99,93
2001-02,31,MIA,NBA,C,75,74,2455,10.0,19.4,.516,0.0,0.1,.333,10.0,19.3,.517,6.3,9.6,.657,4.1,10.1,14.1,1.9,0.6,4.2,4.1,5.8,26.3,,104,97
2003-04,33,NJN,NBA,C,12,0,215,8.2,17.7,.465,0.0,0.0,,8.2,17.7,.465,7.5,8.5,.882,2.0,4.7,6.7,2.0,0.5,1.5,2.5,8.0,24.0,,109,102
2004-05,34,TOT,NBA,CPF,37,17,702,7.6,16.2,.472,0.0,0.0,,7.6,16.2,.472,6.3,10.7,.582,4.0,11.1,15.1,1.4,0.6,5.6,4.3,6.3,21.5,,95,98
2004-05,34,NJN,NBA,PF,18,14,457,8.0,17.7,.453,0.0,0.0,,8.0,17.7,.453,6.0,10.1,.593,3.7,11.3,15.0,1.7,0.6,4.8,5.3,5.9,22.0,,88,98
2004-05,34,MIA,NBA,C,19,3,245,6.9,13.4,.516,0.0,0.0,,6.9,13.4,.516,6.7,11.9,.564,4.7,10.6,15.3,0.9,0.6,7.1,2.6,6.9,20.5,,110,96
2005-06,35,MIA,NBA,C,65,20,1302,7.6,12.7,.597,0.0,0.0,.000,7.6,12.6,.599,5.4,9.0,.594,5.0,9.4,14.5,0.4,0.5,7.0,3.2,7.1,20.5,,113,98
2006-07,36,MIA,NBA,C,77,43,1572,8.1,14.4,.560,0.0,0.0,,8.1,14.4,.560,6.3,10.5,.601,4.3,7.6,11.9,0.6,0.4,6.0,4.4,7.4,22.4,,103,102
2007-08,37,MIA,NBA,C,25,0,389,7.1,13.0,.547,0.0,0.0,,7.1,13.0,.547,6.2,10.4,.592,4.6,8.1,12.7,1.0,0.5,5.7,3.4,7.7,20.4,,106,106
Career,,,NBA,,838,686,25975,10.4,19.7,.527,0.0,0.2,.247,10.3,19.5,.530,8.2,11.9,.692,4.4,10.1,14.5,1.9,0.8,4.8,4.5,5.7,29.1,,108,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 
seasons,,MIA,NBA,,593,458,17700,10.5,19.6,.537,0.0,0.2,.220,10.5,19.4,.540,7.8,11.9,.657,4.6,10.1,14.7,2.0,0.9,5.0,4.5,6.0,28.9,,108,97
3 
seasons,,CHH,NBA,,215,214,7603,10.3,20.2,.512,0.1,0.3,.282,10.3,19.9,.515,9.3,12.1,.768,4.2,10.1,14.3,1.8,0.7,4.5,4.4,5.1,30.0,,110,104
2 
seasons,,NJN,NBA,,30,14,672,8.1,17.7,.457,0.0,0.0,,8.1,17.7,.457,6.5,9.6,.675,3.1,9.2,12.3,1.8,0.6,3.8,4.4,6.6,22.7,,94,99
