Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2012-13,19,NOH,NBA,PF,64,60,1846,10.3,19.9,.516,0.0,0.2,.000,10.3,19.7,.521,5.0,6.6,.751,4.8,10.5,15.3,1.9,2.2,3.3,2.6,4.6,25.5,,113,104
2013-14,20,NOP,NBA,PF,67,66,2358,11.5,22.2,.519,0.0,0.2,.222,11.5,22.0,.522,7.7,9.7,.791,4.6,10.3,14.9,2.3,2.0,4.2,2.4,4.4,30.8,,119,104
2014-15,21,NOP,NBA,PF,68,68,2455,13.7,25.7,.535,0.0,0.3,.083,13.7,25.4,.540,7.9,9.9,.805,3.7,11.2,14.9,3.2,2.1,4.3,2.0,3.0,35.4,,122,100
2015-16,22,NOP,NBA,C,61,61,2164,12.8,26.0,.493,0.8,2.5,.324,12.0,23.6,.511,7.5,9.9,.758,3.0,11.4,14.4,2.7,1.8,2.9,2.8,3.4,33.9,,110,104
2016-17,23,NOP,NBA,C,75,75,2708,13.9,27.6,.505,0.7,2.4,.299,13.2,25.2,.524,9.4,11.7,.802,3.1,12.9,16.0,2.8,1.7,3.0,3.3,3.0,38.0,,112,102
2017-18,24,NOP,NBA,PF,75,75,2727,13.7,25.6,.534,1.0,2.8,.340,12.7,22.8,.558,8.7,10.5,.828,3.3,11.3,14.6,3.0,2.0,3.4,2.8,2.8,36.9,,119,102
2018-19,25,NOP,NBA,C,56,56,1850,13.3,25.8,.517,1.2,3.6,.331,12.1,22.1,.547,8.6,10.9,.794,4.4,12.5,16.9,5.5,2.2,3.4,2.8,3.3,36.5,,122,105
2019-20,26,LAL,NBA,PF,62,62,2131,12.3,24.5,.503,1.6,4.9,.330,10.7,19.6,.546,9.9,11.7,.846,3.2,9.7,12.9,4.5,2.0,3.2,3.4,3.5,36.1,,121,102
2020-21,27,LAL,NBA,PF,36,36,1162,12.6,25.7,.491,1.1,4.2,.260,11.5,21.5,.536,6.6,9.0,.738,2.6,9.4,12.0,4.6,1.9,2.5,3.1,2.5,32.9,,110,104
2021-22,28,LAL,NBA,C,40,40,1404,12.6,23.7,.532,0.4,2.4,.186,12.2,21.3,.571,5.9,8.3,.713,3.6,9.8,13.5,4.2,1.7,3.1,2.8,3.3,31.6,,115,109
2022-23,29,LAL,NBA,C,56,54,1904,13.5,23.9,.563,0.5,1.8,.257,13.0,22.1,.589,8.7,11.0,.784,4.9,12.6,17.5,3.7,1.5,2.8,3.0,3.6,36.1,,124,108
2023-24,30,LAL,NBA,C,76,76,2700,12.6,22.6,.556,0.5,1.9,.271,12.0,20.7,.582,7.4,9.1,.816,4.2,12.7,16.9,4.7,1.6,3.1,2.8,3.1,33.0,,124,109
Career,,,NBA,,736,729,25409,12.8,24.5,.523,0.7,2.2,.297,12.2,22.3,.545,8.0,10.0,.795,3.8,11.4,15.1,3.5,1.9,3.3,2.8,3.4,34.3,,118,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,NOHNOP,NBA,,466,461,16108,12.9,24.9,.517,0.6,1.8,.314,12.3,23.2,.533,8.0,10.0,.795,3.8,11.5,15.2,3.1,2.0,3.5,2.7,3.4,34.4,,117,103
5 
seasons,,LAL,NBA,,270,268,9301,12.7,23.8,.533,0.8,2.9,.279,11.9,20.9,.568,7.9,10.0,.795,3.8,11.2,15.0,4.3,1.7,3.0,3.0,3.3,34.2,,120,106
