 
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,22,BUF,NBA,C,74,,3185,12.2,22.2,.547,,,,12.2,22.2,.547,6.2,7.8,.793,3.8,11.3,15.1,2.3,1.2,3.3,,3.4,30.5,,,95
1974-75,23,BUF,NBA,C,82,,3539,13.8,26.9,.512,,,,13.8,26.9,.512,8.1,10.0,.805,3.9,10.7,14.5,2.3,1.2,2.2,,3.5,35.6,,,95
1975-76,24,BUF,NBA,C,78,,3328,12.5,25.6,.487,,,,12.5,25.6,.487,7.5,9.8,.762,3.2,9.7,12.9,4.2,1.2,2.1,,4.0,32.4,,,96
1976-77,25,TOT,NBA,C,72,,2798,11.8,23.0,.512,,,,11.8,23.0,.512,6.1,8.2,.738,3.2,11.6,14.7,3.3,1.2,1.6,,4.2,29.6,,,97
1976-77,25,BUF,NBA,C,20,,767,10.6,23.3,.455,,,,10.6,23.3,.455,6.4,9.2,.696,3.8,11.5,15.4,3.8,0.9,2.0,,4.3,27.6,,,98
1976-77,25,NYK,NBA,C,52,49,2031,12.2,22.8,.534,,,,12.2,22.8,.534,5.9,7.8,.757,2.9,11.6,14.5,3.1,1.3,1.4,,4.1,30.3,,,97
1977-78,26,NYK,NBA,C,79,78,3182,11.2,21.5,.520,,,,11.2,21.5,.520,6.4,8.9,.727,3.2,10.6,13.9,4.1,1.4,1.7,4.8,4.1,28.8,,106,99
1978-79,27,TOT,NBA,CPF,60,,2231,12.2,23.0,.529,,,,12.2,23.0,.529,6.0,9.2,.656,2.7,8.0,10.6,3.4,1.5,1.4,4.4,3.9,30.4,,105,104
1978-79,27,NYK,NBA,PF,40,32,1594,12.3,22.8,.541,,,,12.3,22.8,.541,6.3,9.6,.651,2.7,8.2,10.9,3.7,1.8,1.3,4.4,3.8,30.9,,107,103
1978-79,27,BOS,NBA,C,20,,637,11.8,23.6,.500,,,,11.8,23.6,.500,5.4,8.1,.670,2.5,7.4,10.0,2.8,0.8,1.4,4.5,3.9,29.1,,100,106
1979-80,28,DET,NBA,PF,58,,2097,10.5,21.9,.480,0.1,0.5,.125,10.4,21.4,.489,5.0,6.9,.730,2.1,7.8,10.0,4.3,1.6,1.4,5.1,3.8,26.1,,98,108
1980-81,29,TOT,NBA,PF,16,,321,9.9,22.8,.433,0.0,0.1,.000,9.9,22.6,.436,4.2,5.9,.707,2.5,7.2,9.7,4.3,2.5,1.9,4.6,5.5,23.9,,92,102
1980-81,29,DET,NBA,PF,6,,168,8.5,23.1,.366,0.0,0.0,,8.5,23.1,.366,3.4,5.6,.600,2.5,9.0,11.6,5.6,2.3,2.0,5.1,4.5,20.3,,82,101
1980-81,29,NJN,NBA,PF,10,,153,11.3,22.4,.507,0.0,0.3,.000,11.3,22.1,.514,5.1,6.3,.810,2.4,5.4,7.8,3.0,2.7,1.8,4.2,6.6,27.7,,103,104
1981-82,30,LAL,NBA,C,41,0,746,9.4,20.6,.458,0.0,0.3,.000,9.4,20.3,.465,5.6,7.9,.714,2.8,7.1,9.9,2.0,1.4,2.2,3.2,6.8,24.5,,104,105
1982-83,31,LAL,NBA,C,47,1,1019,13.2,25.5,.520,0.0,0.0,.000,13.2,25.5,.520,5.4,7.4,.730,3.4,7.8,11.2,1.8,1.8,1.8,3.1,6.9,31.9,,111,103
1983-84,32,LAL,NBA,C,70,0,1456,11.2,23.8,.471,0.0,0.2,.000,11.2,23.6,.474,6.7,8.4,.803,2.6,6.6,9.2,2.4,1.3,1.6,4.0,5.8,29.1,,104,107
