Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
1997-98,21,TOT,NBA,PG,80,70,2216,280,749,.374,107,325,.329,173,424,.408,.445,226,266,.850,62,128,190,314,107,4,174,172,893,,0
1997-98,21,BOS,NBA,PG,51,44,1296,177,454,.390,64,189,.339,113,265,.426,.460,147,180,.817,40,73,113,217,77,2,118,118,565,,0
1997-98,21,TOR,NBA,PG,29,26,920,103,295,.349,43,136,.316,60,159,.377,.422,79,86,.919,22,55,77,97,30,2,56,54,328,,0
1998-99,22,DEN,NBA,SG,45,41,1488,191,495,.386,85,235,.362,106,260,.408,.472,157,172,.913,24,72,96,173,58,14,98,115,624,,0
1999-00,23,DEN,NBA,SG,13,5,305,34,101,.337,7,41,.171,27,60,.450,.371,37,44,.841,8,26,34,39,10,2,24,27,112,,0
2000-01,24,MIN,NBA,SG,77,33,1790,248,587,.422,73,194,.376,175,393,.445,.485,144,171,.842,32,126,158,260,51,11,111,178,713,,0
2001-02,25,MIN,NBA,PG,82,54,2355,348,823,.423,124,315,.394,224,508,.441,.498,207,234,.885,35,191,226,450,66,17,138,169,1027,,1
2002-03,26,DET,NBA,PG,74,74,2327,366,870,.421,149,380,.392,217,490,.443,.506,318,362,.878,38,235,273,287,63,15,134,136,1199,,0
2003-04,27,DET,NBA,PG,78,78,2758,392,996,.394,130,335,.388,262,661,.396,.459,404,460,.878,35,241,276,446,84,8,189,177,1318,,1
2004-05,28,DET,NBA,PG,80,80,2866,404,913,.442,165,387,.426,239,526,.454,.533,343,382,.898,48,223,271,464,81,9,180,194,1316,,0
2005-06,29,DET,NBA,PG,81,81,2925,423,1012,.418,184,425,.433,239,587,.407,.509,465,520,.894,41,211,252,699,71,8,170,160,1495,,0
2006-07,30,DET,NBA,PG,70,70,2533,348,815,.427,109,316,.345,239,499,.479,.494,386,437,.883,23,214,237,502,84,17,140,161,1191,,0
2007-08,31,DET,NBA,PG,78,78,2522,393,877,.448,137,342,.401,256,535,.479,.526,401,437,.918,42,170,212,529,101,17,160,130,1324,,0
2008-09,32,TOT,NBA,PG,79,79,2789,410,980,.418,162,397,.408,248,583,.425,.501,418,458,.913,32,207,239,506,93,18,177,161,1400,,0
2008-09,32,DET,NBA,PG,2,2,70,7,21,.333,2,7,.286,5,14,.357,.381,9,10,.900,1,9,10,15,3,1,4,3,25,,0
2008-09,32,DEN,NBA,PG,77,77,2719,403,959,.420,160,390,.410,243,569,.427,.504,409,448,.913,31,198,229,491,90,17,173,158,1375,,0
2009-10,33,DEN,NBA,PG,73,73,2490,402,962,.418,157,407,.386,245,555,.441,.499,466,512,.910,25,203,228,409,82,9,177,153,1427,,0
2010-11,34,TOT,NBA,PG,72,72,2310,339,794,.427,146,363,.402,193,431,.448,.519,384,419,.916,25,165,190,387,71,14,177,146,1208,,0
2010-11,34,DEN,NBA,PG,51,51,1646,235,536,.438,105,238,.441,130,298,.436,.536,265,287,.923,12,113,125,271,52,12,129,94,840,,0
2010-11,34,NYK,NBA,PG,21,21,664,104,258,.403,41,125,.328,63,133,.474,.483,119,132,.902,13,52,65,116,19,2,48,52,368,,0
2011-12,35,LAC,NBA,SG,20,20,607,83,228,.364,48,125,.384,35,103,.340,.469,85,95,.895,4,46,50,80,9,3,38,40,299,,0
2012-13,36,LAC,NBA,SG,22,22,418,53,132,.402,33,90,.367,20,42,.476,.527,45,48,.938,2,30,32,49,12,1,26,25,184,,0
2013-14,37,DET,NBA,SG,19,7,309,24,79,.304,14,48,.292,10,31,.323,.392,10,12,.833,4,24,28,42,8,1,25,25,72,,0
Career,,,NBA,,1043,937,33008,4738,11413,.415,1830,4725,.387,2908,6688,.435,.495,4496,5029,.894,480,2512,2992,5636,1051,168,2138,2169,15802,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 
seasons,,DET,NBA,,482,470,16310,2357,5583,.422,890,2240,.397,1467,3343,.439,.502,2336,2620,.892,232,1327,1559,2984,495,76,1002,986,7940,,1
5 
seasons,,DEN,NBA,,259,247,8648,1265,3053,.414,514,1311,.392,751,1742,.431,.499,1334,1463,.912,100,612,712,1383,292,54,601,547,4378,,0
2 
seasons,,MIN,NBA,,159,87,4145,596,1410,.423,197,509,.387,399,901,.443,.493,351,405,.867,67,317,384,710,117,28,249,347,1740,,1
1 
season,,BOS,NBA,,51,44,1296,177,454,.390,64,189,.339,113,265,.426,.460,147,180,.817,40,73,113,217,77,2,118,118,565,,0
2 
seasons,,LAC,NBA,,42,42,1025,136,360,.378,81,215,.377,55,145,.379,.490,130,143,.909,6,76,82,129,21,4,64,65,483,,0
1 
season,,TOR,NBA,,29,26,920,103,295,.349,43,136,.316,60,159,.377,.422,79,86,.919,22,55,77,97,30,2,56,54,328,,0
1 
season,,NYK,NBA,,21,21,664,104,258,.403,41,125,.328,63,133,.474,.483,119,132,.902,13,52,65,116,19,2,48,52,368,,0
