Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2005-06,20,NOK,NBA,PG,78,78,2808,407,947,.430,50,177,.282,357,770,.464,.456,394,465,.847,61,339,400,611,175,6,183,218,1258,,2
2006-07,21,NOK,NBA,PG,64,64,2353,381,871,.437,50,143,.350,331,728,.455,.466,292,357,.818,54,226,280,569,118,3,161,154,1104,,1
2007-08,22,NOH,NBA,PG,80,80,3006,630,1291,.488,92,249,.369,538,1042,.516,.524,332,390,.851,62,259,321,925,217,4,201,185,1684,,1
2008-09,23,NOH,NBA,PG,78,78,3002,631,1255,.503,64,176,.364,567,1079,.525,.528,455,524,.868,69,363,432,861,216,10,231,212,1781,,6
2009-10,24,NOH,NBA,PG,45,45,1712,314,637,.493,52,127,.409,262,510,.514,.534,161,190,.847,20,171,191,480,96,8,112,118,841,,1
2010-11,25,NOH,NBA,PG,80,80,2880,430,928,.463,71,183,.388,359,745,.482,.502,337,384,.878,38,289,327,782,188,5,177,196,1268,,0
2011-12,26,LAC,NBA,PG,60,60,2181,425,890,.478,79,213,.371,346,677,.511,.522,260,302,.861,42,171,213,543,152,4,124,138,1189,,0
2012-13,27,LAC,NBA,PG,70,70,2335,412,856,.481,76,232,.328,336,624,.538,.526,286,323,.885,53,209,262,678,169,10,159,143,1186,,0
2013-14,28,LAC,NBA,PG,62,62,2171,406,870,.467,78,212,.368,328,658,.498,.511,295,345,.855,38,230,268,663,154,4,145,157,1185,,0
2014-15,29,LAC,NBA,PG,82,82,2857,568,1170,.485,139,349,.398,429,821,.523,.545,289,321,.900,52,324,376,838,156,15,190,203,1564,,1
2015-16,30,LAC,NBA,PG,74,74,2420,515,1114,.462,122,329,.371,393,785,.501,.517,294,328,.896,39,271,310,738,152,13,194,185,1446,,0
2016-17,31,LAC,NBA,PG,61,61,1921,374,785,.476,124,302,.411,250,483,.518,.555,232,260,.892,40,264,304,563,119,8,147,146,1104,,1
2017-18,32,HOU,NBA,PG,58,58,1847,367,798,.460,144,379,.380,223,419,.532,.550,203,221,.919,37,276,313,457,96,14,128,141,1081,,1
2018-19,33,HOU,NBA,PG,58,58,1857,302,720,.419,127,355,.358,175,365,.479,.508,175,203,.862,36,229,265,473,114,18,152,146,906,,1
2019-20,34,OKC,NBA,PG,70,70,2208,434,887,.489,111,304,.365,323,583,.554,.552,253,279,.907,26,323,349,472,111,11,161,158,1232,,0
2020-21,35,PHO,NBA,PG,70,70,2199,439,879,.499,102,258,.395,337,621,.543,.557,169,181,.934,25,287,312,622,99,19,156,166,1149,,1
2021-22,36,PHO,NBA,PG,65,65,2139,363,736,.493,63,199,.317,300,537,.559,.536,169,202,.837,22,261,283,702,121,20,153,134,958,,2
2022-23,37,PHO,NBA,PG,59,59,1889,294,668,.440,98,261,.375,196,407,.482,.513,133,160,.831,27,224,251,524,91,22,114,126,819,,0
2023-24,38,GSW,NBA,PG,58,18,1531,206,467,.441,78,210,.371,128,257,.498,.525,43,52,.827,18,207,225,393,70,6,76,108,533,,0
Career,,,NBA,,1272,1232,43316,7898,16769,.471,1720,4658,.369,6178,12111,.510,.522,4772,5487,.870,759,4923,5682,11894,2614,200,2964,3034,22288,,18
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,NOKNOH,NBA,,425,425,15761,2793,5929,.471,379,1055,.359,2414,4874,.495,.503,1971,2310,.853,304,1647,1951,4228,1010,36,1065,1083,7936,,11
6 
seasons,,LAC,NBA,,409,409,13885,2700,5685,.475,618,1637,.378,2082,4048,.514,.529,1656,1879,.881,264,1469,1733,4023,902,54,959,972,7674,,2
3 
seasons,,PHO,NBA,,194,194,6227,1096,2283,.480,263,718,.366,833,1565,.532,.538,471,543,.867,74,772,846,1848,311,61,423,426,2926,,3
2 
seasons,,HOU,NBA,,116,116,3704,669,1518,.441,271,734,.369,398,784,.508,.530,378,424,.892,73,505,578,930,210,32,280,287,1987,,2
1 
season,,OKC,NBA,,70,70,2208,434,887,.489,111,304,.365,323,583,.554,.552,253,279,.907,26,323,349,472,111,11,161,158,1232,,0
1 
season,,GSW,NBA,,58,18,1531,206,467,.441,78,210,.371,128,257,.498,.525,43,52,.827,18,207,225,393,70,6,76,108,533,,0
