Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1993-94,20,GSW,NBA,C,76,76,2438,11.4,20.6,.552,0.0,0.3,.000,11.4,20.3,.559,3.8,7.1,.532,6.1,7.7,13.8,5.4,1.8,3.3,4.1,4.9,26.5,,110,104
1994-95,21,WSB,NBA,PF,54,52,2067,11.4,23.0,.495,1.0,3.6,.276,10.4,19.5,.535,2.9,5.7,.502,4.9,7.8,12.7,6.3,2.0,2.1,4.1,4.6,26.7,,105,108
1995-96,22,WSB,NBA,PF,15,15,558,13.8,25.3,.543,1.4,3.1,.441,12.4,22.2,.558,3.8,6.3,.594,3.4,7.1,10.5,6.9,2.5,0.8,4.5,4.7,32.7,,112,105
1996-97,23,WSB,NBA,PF,72,72,2806,11.2,21.6,.518,1.1,2.8,.397,10.1,18.8,.535,3.3,5.8,.565,4.4,9.4,13.8,6.1,2.3,2.5,4.3,4.8,26.8,,108,101
1997-98,24,WAS,NBA,C,71,71,2809,12.0,25.0,.482,1.2,3.8,.317,10.8,21.1,.512,3.6,6.2,.589,3.3,9.3,12.5,5.1,2.1,2.3,3.4,5.0,28.9,,106,101
1998-99,25,SAC,NBA,PF,42,42,1719,11.0,22.6,.486,0.1,1.0,.118,10.9,21.6,.503,2.3,5.1,.454,4.3,11.5,15.9,5.0,1.7,2.6,4.3,4.2,24.4,,98,98
1999-00,26,SAC,NBA,PF,75,75,2880,12.6,26.0,.483,0.5,1.6,.284,12.1,24.4,.496,5.2,6.9,.751,3.2,10.0,13.2,5.8,2.0,2.1,3.7,4.4,30.8,,107,98
2000-01,27,SAC,NBA,PF,70,70,2836,14.1,29.3,.481,0.0,0.5,.071,14.1,28.8,.488,5.8,8.3,.703,3.2,10.7,13.9,5.3,1.7,2.1,3.5,4.1,34.0,,105,97
2001-02,28,SAC,NBA,PF,54,54,2071,12.9,26.1,.495,0.1,0.5,.263,12.8,25.6,.499,6.1,8.2,.749,3.6,9.6,13.2,6.3,2.2,1.8,3.8,4.4,32.1,,109,98
2002-03,29,SAC,NBA,PF,67,67,2622,12.7,27.5,.461,0.1,0.4,.238,12.6,27.1,.465,4.1,6.8,.607,3.1,10.4,13.5,7.0,2.0,1.7,4.1,3.9,29.6,,99,96
2003-04,30,SAC,NBA,PF,23,23,831,10.8,26.2,.413,0.1,0.3,.200,10.8,25.9,.416,5.0,7.1,.711,3.0,9.5,12.5,6.5,1.9,1.2,3.7,4.7,26.8,,96,102
2004-05,31,TOT,NBA,PF,67,67,2370,12.0,27.8,.433,0.3,1.0,.341,11.7,26.8,.436,3.9,4.9,.794,2.8,10.4,13.2,6.9,2.0,1.1,3.9,4.6,28.3,,98,103
2004-05,31,SAC,NBA,PF,46,46,1668,12.7,28.4,.449,0.3,0.9,.379,12.4,27.5,.452,4.4,5.5,.799,2.9,10.9,13.8,7.8,2.1,1.1,4.1,4.5,30.2,,102,104
2004-05,31,PHI,NBA,PF,21,21,702,10.3,26.4,.391,0.3,1.1,.267,10.0,25.3,.396,2.7,3.5,.776,2.6,9.3,11.9,4.8,1.9,1.4,3.5,5.0,23.6,,88,102
2005-06,32,PHI,NBA,PF,75,75,2893,11.0,25.5,.434,0.4,1.4,.273,10.7,24.1,.443,4.7,6.2,.756,3.3,10.0,13.3,4.6,1.8,1.1,3.3,3.9,27.2,,100,105
2006-07,33,TOT,NBA,PF,61,60,1821,8.6,19.1,.452,0.1,0.3,.364,8.5,18.7,.454,3.0,4.8,.638,3.7,9.3,13.0,5.6,1.8,1.2,3.2,4.3,20.4,,101,103
2006-07,33,PHI,NBA,PF,18,18,544,8.7,22.4,.387,0.2,0.5,.400,8.5,21.9,.387,1.8,2.7,.643,3.6,10.9,14.5,5.9,1.8,1.5,3.2,3.5,19.3,,90,103
2006-07,33,DET,NBA,PF,43,42,1277,8.6,17.6,.489,0.1,0.3,.333,8.5,17.4,.491,3.6,5.7,.636,3.7,8.7,12.4,5.5,1.8,1.1,3.2,4.6,20.9,,106,102
2007-08,34,GSW,NBA,PF,9,8,126,5.8,11.9,.484,0.0,0.0,,5.8,11.9,.484,1.9,4.6,.417,0.8,11.6,12.3,6.9,1.5,2.3,4.2,6.6,13.5,,91,105
Career,,,NBA,,831,827,30847,11.8,24.8,.479,0.4,1.5,.299,11.4,23.3,.490,4.2,6.4,.649,3.7,9.6,13.4,5.8,2.0,2.0,3.8,4.4,28.3,,104,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,SAC,NBA,,377,377,14627,12.7,26.8,.473,0.2,0.8,.238,12.5,26.0,.480,4.8,7.0,.691,3.3,10.4,13.7,6.1,1.9,1.9,3.9,4.3,30.3,,103,98
4 
seasons,,WSBWAS,NBA,,212,210,8240,11.7,23.4,.501,1.1,3.4,.336,10.6,20.0,.529,3.3,6.0,.560,4.1,8.8,12.9,5.9,2.2,2.2,4.0,4.8,27.9,,107,103
3 
seasons,,PHI,NBA,,114,114,4139,10.6,25.2,.421,0.3,1.2,.278,10.3,24.0,.428,4.0,5.3,.751,3.2,10.0,13.2,4.8,1.8,1.2,3.3,4.1,25.5,,97,104
2 
seasons,,GSW,NBA,,85,84,2564,11.1,20.2,.550,0.0,0.3,.000,11.1,19.9,.557,3.7,6.9,.529,5.8,7.9,13.7,5.5,1.8,3.2,4.1,5.0,25.8,,110,104
1 
season,,DET,NBA,,43,42,1277,8.6,17.6,.489,0.1,0.3,.333,8.5,17.4,.491,3.6,5.7,.636,3.7,8.7,12.4,5.5,1.8,1.1,3.2,4.6,20.9,,106,102
