Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2012-13,22,POR,NBA,PG,82,82,3167,553,1288,.429,185,503,.368,368,785,.469,.501,271,321,.844,42,215,257,531,74,19,243,172,1562,,0
2013-14,23,POR,NBA,PG,82,82,2937,553,1304,.424,218,554,.394,335,750,.447,.508,371,426,.871,35,253,288,457,64,22,193,197,1695,,0
2014-15,24,POR,NBA,PG,82,82,2925,590,1360,.434,196,572,.343,394,788,.500,.506,344,398,.864,49,329,378,507,97,21,222,164,1720,,0
2015-16,25,POR,NBA,PG,75,75,2676,618,1474,.419,229,610,.375,389,864,.450,.497,414,464,.892,45,257,302,512,65,28,242,165,1879,,0
2016-17,26,POR,NBA,PG,75,75,2694,661,1488,.444,214,579,.370,447,909,.492,.516,488,545,.895,46,322,368,440,68,20,197,152,2024,,0
2017-18,27,POR,NBA,PG,73,73,2670,621,1415,.439,227,629,.361,394,786,.501,.519,493,538,.916,62,263,325,481,77,27,206,117,1962,,0
2018-19,28,POR,NBA,PG,80,80,2838,681,1533,.444,237,643,.369,444,890,.499,.522,468,513,.912,68,303,371,551,88,34,212,148,2067,,0
2019-20,29,POR,NBA,PG,66,66,2474,624,1349,.463,270,674,.401,354,675,.524,.563,460,518,.888,33,251,284,530,70,22,194,114,1978,,1
2020-21,30,POR,NBA,PG,67,67,2398,602,1334,.451,275,704,.391,327,630,.519,.554,449,484,.928,32,251,283,505,62,17,203,102,1928,,0
2021-22,31,POR,NBA,PG,29,29,1056,222,552,.402,92,284,.324,130,268,.485,.486,159,181,.878,13,107,120,212,17,11,83,37,695,,0
2022-23,32,POR,NBA,PG,58,58,2107,556,1202,.463,244,658,.371,312,544,.574,.564,510,558,.914,44,233,277,425,50,18,191,109,1866,,2
2023-24,33,MIL,NBA,PG,73,73,2579,541,1277,.424,220,622,.354,321,655,.490,.510,473,514,.920,36,284,320,508,72,18,193,134,1775,,0
Career,,,NBA,,842,842,30521,6822,15576,.438,2607,7032,.371,4215,8544,.493,.522,4900,5460,.897,505,3068,3573,5659,804,257,2379,1611,21151,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 
seasons,,POR,NBA,,769,769,27942,6281,14299,.439,2387,6410,.372,3894,7889,.494,.523,4427,4946,.895,469,2784,3253,5151,732,239,2186,1477,19376,,3
1 
season,,MIL,NBA,,73,73,2579,541,1277,.424,220,622,.354,321,655,.490,.510,473,514,.920,36,284,320,508,72,18,193,134,1775,,0
