Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2012-13,22,POR,NBA,PG,82,82,3167,9.2,21.4,.429,3.1,8.3,.368,6.1,13.0,.469,4.5,5.3,.844,0.7,3.6,4.3,8.8,1.2,0.3,4.0,2.9,25.9,,108,112
2013-14,23,POR,NBA,PG,82,82,2937,9.5,22.5,.424,3.8,9.5,.394,5.8,12.9,.447,6.4,7.3,.871,0.6,4.4,5.0,7.9,1.1,0.4,3.3,3.4,29.2,,116,110
2014-15,24,POR,NBA,PG,82,82,2925,10.3,23.7,.434,3.4,10.0,.343,6.9,13.7,.500,6.0,6.9,.864,0.9,5.7,6.6,8.8,1.7,0.4,3.9,2.9,30.0,,112,105
2015-16,25,POR,NBA,PG,75,75,2676,11.5,27.5,.419,4.3,11.4,.375,7.3,16.1,.450,7.7,8.7,.892,0.8,4.8,5.6,9.6,1.2,0.5,4.5,3.1,35.1,,113,110
2016-17,26,POR,NBA,PG,75,75,2694,12.2,27.4,.444,3.9,10.7,.370,8.2,16.8,.492,9.0,10.0,.895,0.8,5.9,6.8,8.1,1.3,0.4,3.6,2.8,37.3,,118,113
2017-18,27,POR,NBA,PG,73,73,2670,11.6,26.4,.439,4.2,11.7,.361,7.3,14.6,.501,9.2,10.0,.916,1.2,4.9,6.1,9.0,1.4,0.5,3.8,2.2,36.6,,120,109
2018-19,28,POR,NBA,PG,80,80,2838,11.6,26.2,.444,4.0,11.0,.369,7.6,15.2,.499,8.0,8.8,.912,1.2,5.2,6.3,9.4,1.5,0.6,3.6,2.5,35.3,,121,112
2019-20,29,POR,NBA,PG,66,66,2474,12.0,26.0,.463,5.2,13.0,.401,6.8,13.0,.524,8.9,10.0,.888,0.6,4.8,5.5,10.2,1.3,0.4,3.7,2.2,38.1,,126,117
2020-21,30,POR,NBA,PG,67,67,2398,12.2,27.1,.451,5.6,14.3,.391,6.7,12.8,.519,9.1,9.8,.928,0.7,5.1,5.8,10.3,1.3,0.3,4.1,2.1,39.2,,125,118
2021-22,31,POR,NBA,PG,29,29,1056,10.3,25.5,.402,4.3,13.1,.324,6.0,12.4,.485,7.4,8.4,.878,0.6,5.0,5.6,9.8,0.8,0.5,3.8,1.7,32.2,,112,120
2022-23,32,POR,NBA,PG,58,58,2107,12.9,27.8,.463,5.6,15.2,.371,7.2,12.6,.574,11.8,12.9,.914,1.0,5.4,6.4,9.8,1.2,0.4,4.4,2.5,43.1,,126,121
2023-24,33,MIL,NBA,PG,73,73,2579,10.1,23.8,.424,4.1,11.6,.354,6.0,12.2,.490,8.8,9.6,.920,0.7,5.3,6.0,9.5,1.3,0.3,3.6,2.5,33.1,,120,118
Career,,,NBA,,842,842,30521,11.1,25.3,.438,4.2,11.4,.371,6.8,13.9,.493,8.0,8.9,.897,0.8,5.0,5.8,9.2,1.3,0.4,3.9,2.6,34.4,,119,113
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 
seasons,,POR,NBA,,769,769,27942,11.2,25.5,.439,4.2,11.4,.372,6.9,14.0,.494,7.9,8.8,.895,0.8,5.0,5.8,9.2,1.3,0.4,3.9,2.6,34.5,,118,113
1 
season,,MIL,NBA,,73,73,2579,10.1,23.8,.424,4.1,11.6,.354,6.0,12.2,.490,8.8,9.6,.920,0.7,5.3,6.0,9.5,1.3,0.3,3.6,2.5,33.1,,120,118
