Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
1970-71,22,BOS,NBA,C,81,,3076,550,1302,.422,,,,550,1302,.422,.422,273,373,.732,,,1216,228,,,,350,1373,,0
1971-72,23,BOS,NBA,C,79,,3186,657,1357,.484,,,,657,1357,.484,.484,175,243,.720,,,1203,245,,,,314,1489,,0
1972-73,24,BOS,NBA,C,82,,3425,740,1637,.452,,,,740,1637,.452,.452,204,262,.779,,,1329,333,,,,311,1684,,0
1973-74,25,BOS,NBA,C,80,,3352,645,1475,.437,,,,645,1475,.437,.437,228,274,.832,264,993,1257,354,95,101,,294,1518,,2
1974-75,26,BOS,NBA,C,65,,2632,569,1199,.475,,,,569,1199,.475,.475,191,244,.783,229,729,958,296,87,73,,243,1329,,1
1975-76,27,BOS,NBA,C,78,,3101,611,1305,.468,,,,611,1305,.468,.468,257,340,.756,335,911,1246,325,94,71,,314,1479,,0
1976-77,28,BOS,NBA,C,50,,1888,328,756,.434,,,,328,756,.434,.434,162,198,.818,147,550,697,248,46,49,,181,818,,1
1977-78,29,BOS,NBA,C,77,,3215,598,1220,.490,,,,598,1220,.490,.490,239,284,.842,248,830,1078,351,102,67,217,297,1435,,2
1978-79,30,BOS,NBA,C,68,,2517,488,1010,.483,,,,488,1010,.483,.483,151,187,.807,152,500,652,242,76,51,174,263,1127,,0
1979-80,31,BOS,NBA,C,66,55,2159,422,932,.453,1,12,.083,421,920,.458,.453,95,122,.779,126,408,534,206,69,61,108,216,940,,0
1982-83,34,MIL,NBA,PF,40,34,1014,136,306,.444,0,2,.000,136,304,.447,.444,52,63,.825,73,201,274,82,30,15,44,137,324,,0
Career,,,NBA,,766,89,29565,5744,12499,.460,1,14,,5743,12485,.460,.460,2027,2590,.783,1574,5122,10444,2910,599,488,543,2920,13516,,6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 
seasons,,BOS,NBA,,726,55,28551,5608,12193,.460,1,12,,5607,12181,.460,.460,1975,2527,.782,1501,4921,10170,2828,569,473,499,2783,13192,,6
1 
season,,MIL,NBA,,40,34,1014,136,306,.444,0,2,.000,136,304,.447,.444,52,63,.825,73,201,274,82,30,15,44,137,324,,0
