Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,25,BOS,NBA,C,80,,3352,8.4,19.2,.437,,,,8.4,19.2,.437,3.0,3.6,.832,3.4,12.9,16.4,4.6,1.2,1.3,,3.8,19.8,,,91
1974-75,26,BOS,NBA,C,65,,2632,9.8,20.6,.475,,,,9.8,20.6,.475,3.3,4.2,.783,3.9,12.5,16.5,5.1,1.5,1.3,,4.2,22.8,,,91
1975-76,27,BOS,NBA,C,78,,3101,8.8,18.9,.468,,,,8.8,18.9,.468,3.7,4.9,.756,4.8,13.2,18.0,4.7,1.4,1.0,,4.5,21.4,,,92
1976-77,28,BOS,NBA,C,50,,1888,7.8,17.9,.434,,,,7.8,17.9,.434,3.8,4.7,.818,3.5,13.0,16.5,5.9,1.1,1.2,,4.3,19.3,,,94
1977-78,29,BOS,NBA,C,77,,3215,8.4,17.2,.490,,,,8.4,17.2,.490,3.4,4.0,.842,3.5,11.7,15.2,4.9,1.4,0.9,3.1,4.2,20.2,,108,97
1978-79,30,BOS,NBA,C,68,,2517,8.7,18.1,.483,,,,8.7,18.1,.483,2.7,3.3,.807,2.7,9.0,11.7,4.3,1.4,0.9,3.1,4.7,20.2,,103,105
1979-80,31,BOS,NBA,C,66,55,2159,9.1,20.2,.453,0.0,0.3,.083,9.1,19.9,.458,2.1,2.6,.779,2.7,8.8,11.6,4.5,1.5,1.3,2.3,4.7,20.4,,104,100
1982-83,34,MIL,NBA,PF,40,34,1014,6.4,14.5,.444,0.0,0.1,.000,6.4,14.4,.447,2.5,3.0,.825,3.5,9.5,13.0,3.9,1.4,0.7,2.1,6.5,15.3,,105,99
Career,,,NBA,,524,89,19878,8.6,18.6,.463,0.0,0.2,,8.6,18.6,.464,3.1,3.9,.803,3.6,11.6,15.2,4.8,1.4,1.1,1.2,4.4,20.4,,106,96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,BOS,NBA,,484,55,18864,8.7,18.8,.464,0.0,0.3,,8.7,18.8,.464,3.2,3.9,.802,3.6,11.7,15.3,4.8,1.4,1.1,1.2,4.3,20.6,,106,95
1 
season,,MIL,NBA,,40,34,1014,6.4,14.5,.444,0.0,0.1,.000,6.4,14.4,.447,2.5,3.0,.825,3.5,9.5,13.0,3.9,1.4,0.7,2.1,6.5,15.3,,105,99
