Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1986-87,25,DET,NBA,SF,77,1,1155,8.8,16.1,.545,0.0,0.0,.000,8.8,16.0,.546,3.0,5.2,.587,6.7,7.0,13.7,2.3,1.6,2.0,3.8,6.8,20.6,,108,104
1987-88,26,DET,NBA,SF,82,32,2147,9.0,16.1,.561,0.1,0.4,.294,8.9,15.7,.568,3.5,6.5,.535,7.2,9.0,16.3,2.5,1.7,1.0,3.5,6.2,21.7,,112,103
1988-89,27,DET,NBA,SF,82,8,2208,7.2,12.1,.595,0.1,0.6,.231,7.1,11.5,.614,2.2,3.5,.626,7.4,10.1,17.6,2.3,1.3,1.7,2.9,6.6,16.7,,120,102
1989-90,28,DET,NBA,SF,82,43,2377,6.2,10.6,.581,0.0,0.2,.111,6.1,10.4,.589,3.0,4.6,.654,7.2,9.8,16.9,1.5,1.1,1.3,1.9,5.9,15.4,,125,101
1990-91,29,DET,NBA,SF,82,77,2747,5.2,10.6,.493,0.1,0.6,.200,5.1,10.1,.509,2.1,3.3,.631,6.9,12.6,19.5,1.6,1.2,1.0,1.8,5.3,12.7,,116,101
1991-92,30,DET,NBA,PF,82,80,3301,5.4,10.1,.539,0.5,1.6,.317,4.9,8.5,.581,1.3,2.2,.600,8.3,16.0,24.3,3.0,1.1,1.1,2.2,3.9,12.7,,121,99
1992-93,31,DET,NBA,PF,62,55,2410,3.9,9.2,.427,0.3,1.6,.205,3.6,7.6,.472,1.9,3.5,.534,7.8,16.3,24.2,2.2,1.0,1.0,2.2,4.3,10.0,,107,102
1993-94,32,SAS,NBA,PF,79,51,2989,2.8,5.2,.534,0.1,0.4,.208,2.7,4.8,.563,0.9,1.8,.520,8.1,16.3,24.4,3.3,0.9,0.6,2.5,4.1,6.6,,116,100
1994-95,33,SAS,NBA,PF,49,26,1568,4.4,7.8,.571,0.0,0.1,.000,4.4,7.7,.576,2.4,3.6,.676,8.9,17.8,26.6,3.1,1.0,0.7,3.2,5.1,11.3,,120,100
1995-96,34,CHI,NBA,PF,64,57,2088,3.7,7.7,.480,0.1,0.7,.111,3.6,7.0,.516,1.4,2.7,.528,9.0,15.0,24.0,4.0,0.9,0.7,3.5,4.9,8.9,,109,98
1996-97,35,CHI,NBA,PF,55,54,1947,3.5,7.8,.448,0.1,0.5,.263,3.4,7.3,.461,1.4,2.4,.568,8.8,15.4,24.2,4.7,0.9,0.5,3.0,4.7,8.5,,111,98
1997-98,36,CHI,NBA,PF,80,66,2856,2.9,6.8,.431,0.1,0.4,.174,2.9,6.4,.448,1.2,2.1,.550,7.9,14.7,22.7,4.3,0.9,0.3,2.8,4.5,7.1,,106,97
1998-99,37,LAL,NBA,PF,23,11,657,1.3,3.7,.348,0.0,0.2,.000,1.3,3.5,.364,1.4,3.1,.436,4.9,15.6,20.6,2.4,0.8,1.0,2.5,5.7,3.9,,91,100
1999-00,38,DAL,NBA,PF,12,12,389,1.6,4.0,.387,0.0,0.1,.000,1.6,3.9,.400,1.3,1.8,.714,6.2,16.0,22.2,1.8,0.3,0.1,2.5,5.3,4.4,,102,103
Career,,,NBA,,911,573,28839,5.0,9.5,.521,0.1,0.6,.231,4.8,8.9,.542,1.9,3.3,.584,7.8,13.7,21.4,2.9,1.1,1.0,2.7,5.1,12.0,,114,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,DET,NBA,,549,296,16345,6.3,11.7,.537,0.2,0.8,.253,6.1,10.9,.558,2.3,3.9,.592,7.5,12.1,19.6,2.2,1.2,1.2,2.5,5.4,15.1,,116,101
3 
seasons,,CHI,NBA,,199,177,6891,3.3,7.4,.452,0.1,0.5,.174,3.2,6.8,.473,1.3,2.4,.548,8.5,15.0,23.5,4.3,0.9,0.5,3.1,4.7,8.0,,109,98
2 
seasons,,SAS,NBA,,128,77,4557,3.4,6.1,.551,0.1,0.3,.192,3.3,5.8,.569,1.5,2.4,.601,8.4,16.8,25.2,3.2,1.0,0.6,2.7,4.5,8.3,,118,100
1 
season,,LAL,NBA,,23,11,657,1.3,3.7,.348,0.0,0.2,.000,1.3,3.5,.364,1.4,3.1,.436,4.9,15.6,20.6,2.4,0.8,1.0,2.5,5.7,3.9,,91,100
1 
season,,DAL,NBA,,12,12,389,1.6,4.0,.387,0.0,0.1,.000,1.6,3.9,.400,1.3,1.8,.714,6.2,16.0,22.2,1.8,0.3,0.1,2.5,5.3,4.4,,102,103
