Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,28,CAP,NBA,PF,81,,3602,8.6,20.4,.423,,,,8.6,20.4,.423,4.5,6.2,.721,4.4,13.9,18.3,2.0,1.1,3.0,,3.2,21.7,,,89
1974-75,29,WSB,NBA,PF,82,,3465,9.6,21.8,.443,,,,9.6,21.8,.443,5.3,7.0,.766,2.9,10.2,13.1,2.7,2.1,2.4,,3.1,24.6,,,88
1975-76,30,WSB,NBA,PF,80,,2975,10.0,21.4,.470,,,,10.0,21.4,.470,4.4,7.1,.628,3.3,10.3,13.6,1.9,1.6,3.1,,4.5,24.5,,,91
1976-77,31,WSB,NBA,PF,82,,3364,10.2,20.4,.501,,,,10.2,20.4,.501,5.7,8.3,.687,3.9,10.0,13.9,2.1,1.2,3.0,,4.2,26.2,,,95
1977-78,32,WSB,NBA,PF,81,,3246,8.7,19.3,.451,,,,8.7,19.3,.451,4.5,7.0,.634,4.6,10.1,14.7,2.0,1.3,2.2,3.1,4.3,21.9,,101,97
1978-79,33,WSB,NBA,PF,82,,3105,10.5,21.4,.487,,,,10.5,21.4,.487,5.1,7.8,.654,4.5,9.9,14.4,2.1,1.1,2.8,3.4,4.5,26.0,,106,99
1979-80,34,WSB,NBA,PF,81,,3183,11.2,24.6,.454,0.0,0.2,.231,11.1,24.5,.456,4.9,7.0,.699,4.0,9.2,13.2,1.9,0.9,2.8,3.2,4.5,27.3,,101,103
1980-81,35,WSB,NBA,PF,81,,2931,9.3,20.7,.451,0.0,0.2,.000,9.3,20.6,.454,4.3,7.0,.617,3.8,8.9,12.6,1.6,1.1,2.7,3.0,4.8,23.0,,97,100
1981-82,36,HOU,NBA,PF,82,82,3032,8.4,17.9,.472,0.0,0.1,.000,8.4,17.8,.474,4.6,6.9,.664,4.3,7.8,12.2,2.3,1.0,1.7,3.4,4.7,21.5,,105,108
1982-83,37,HOU,NBA,PF,81,43,2302,8.7,18.2,.476,0.0,0.1,.500,8.6,18.1,.476,4.0,5.9,.683,4.1,8.5,12.6,3.2,1.0,1.7,4.1,4.7,21.3,,98,107
1983-84,38,HOU,NBA,PF,81,4,994,7.3,17.9,.406,0.0,0.1,.000,7.3,17.8,.408,4.0,6.1,.652,4.0,8.0,12.0,3.3,0.7,1.3,3.8,5.7,18.5,,93,108
Career,,,NBA,,894,129,32199,9.5,20.6,.460,0.0,0.1,,9.5,20.6,.461,4.7,7.0,.676,4.0,10.0,13.9,2.2,1.2,2.5,1.9,4.2,23.7,,101,97
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 
seasons,,CAPWSB,NBA,,650,,25871,9.8,21.2,.460,0.0,0.2,,9.7,21.2,.460,4.9,7.2,.678,3.9,10.4,14.3,2.1,1.3,2.7,1.5,4.1,24.4,,101,95
3 
seasons,,HOU,NBA,,244,129,6328,8.3,18.0,.463,0.0,0.1,.182,8.3,17.9,.464,4.3,6.4,.668,4.2,8.1,12.3,2.8,1.0,1.6,3.7,4.9,20.9,,100,107
