Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2013-14,19,MIL,NBA,SF,77,23,1897,4.8,11.5,.414,1.1,3.3,.347,3.6,8.3,.440,3.8,5.6,.683,2.2,7.2,9.3,4.1,1.7,1.7,3.4,4.8,14.5,,99,110
2014-15,20,MIL,NBA,SG,81,71,2541,7.7,15.7,.491,0.1,0.9,.159,7.5,14.8,.511,5.2,7.0,.741,2.0,8.9,10.9,4.2,1.5,1.7,3.5,5.1,20.7,,105,101
2015-16,21,MIL,NBA,PG,80,79,2823,9.3,18.3,.506,0.5,2.0,.257,8.8,16.3,.537,5.3,7.4,.724,2.0,9.0,11.0,6.2,1.7,2.0,3.8,4.7,24.4,,109,106
2016-17,22,MIL,NBA,SF,80,80,2845,11.7,22.5,.521,0.9,3.2,.272,10.8,19.3,.563,8.4,10.9,.770,2.5,10.0,12.5,7.7,2.3,2.7,4.2,4.4,32.7,,116,104
2017-18,23,MIL,NBA,PF,75,75,2756,13.4,25.4,.529,0.8,2.5,.307,12.6,22.8,.554,8.8,11.6,.760,2.8,10.8,13.6,6.5,2.0,1.9,4.0,4.2,36.4,,116,106
2018-19,24,MIL,NBA,PF,72,72,2358,14.2,24.6,.578,1.0,4.0,.256,13.2,20.6,.641,9.9,13.5,.729,3.1,14.6,17.7,8.4,1.8,2.2,5.3,4.6,39.3,,121,99
2019-20,25,MIL,NBA,PF,63,63,1917,16.3,29.5,.553,2.1,7.0,.304,14.2,22.5,.631,9.5,15.0,.633,3.3,17.1,20.4,8.4,1.5,1.6,5.5,4.6,44.2,,116,97
2020-21,26,MIL,NBA,PF,61,61,2013,14.6,25.7,.569,1.6,5.2,.303,13.0,20.5,.636,9.3,13.6,.685,2.3,13.4,15.7,8.3,1.7,1.7,4.8,3.9,40.1,,122,107
2021-22,27,MIL,NBA,PF,67,67,2204,15.0,27.1,.553,1.5,5.3,.293,13.5,21.9,.616,12.1,16.7,.722,2.9,14.0,17.0,8.5,1.6,2.0,4.8,4.6,43.6,,124,106
2022-23,28,MIL,NBA,PF,63,63,2024,16.7,30.1,.553,1.1,4.0,.275,15.6,26.1,.596,11.7,18.2,.645,3.2,14.3,17.5,8.5,1.2,1.2,5.8,4.6,46.2,,117,108
2023-24,29,MIL,NBA,PF,73,73,2567,15.7,25.6,.611,0.6,2.3,.274,15.0,23.3,.645,9.6,14.6,.657,3.7,12.1,15.7,8.9,1.6,1.5,4.7,3.9,41.6,,126,112
Career,,,NBA,,792,727,25945,12.7,23.3,.545,1.0,3.5,.286,11.7,19.8,.591,8.5,12.1,.702,2.7,11.8,14.6,7.3,1.7,1.9,4.5,4.5,34.9,,117,105
