Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1994-95,22,DET,NBA,SF,70,69,2678,9.8,20.5,.477,0.1,0.5,.148,9.7,19.9,.486,7.2,9.8,.732,2.4,6.2,8.6,6.8,2.4,1.2,3.9,3.9,26.8,,109,111
1995-96,23,DET,NBA,SF,80,80,3260,9.5,20.5,.462,0.1,0.4,.192,9.4,20.1,.468,8.1,10.8,.751,2.1,11.0,13.1,9.2,1.7,0.8,4.4,4.1,27.2,,110,102
1996-97,24,DET,NBA,SF,80,80,3147,11.3,22.7,.496,0.2,0.6,.303,11.1,22.1,.502,8.1,11.4,.711,2.2,10.8,13.0,10.5,2.6,0.9,4.7,3.4,30.9,,114,100
1997-98,25,DET,NBA,SF,81,81,3294,10.2,22.5,.452,0.0,0.3,.143,10.1,22.1,.457,7.9,10.7,.740,1.5,8.8,10.3,9.1,2.4,0.9,4.7,3.2,28.3,,106,101
1998-99,26,DET,NBA,SF,50,50,1852,11.5,24.1,.479,0.0,0.4,.000,11.5,23.7,.487,8.6,11.4,.752,2.0,8.7,10.7,9.0,2.4,0.8,5.5,3.4,31.6,,107,98
1999-00,27,DET,NBA,SF,74,74,2776,12.6,25.7,.489,0.6,1.8,.347,12.0,23.9,.500,8.7,10.9,.795,1.8,7.1,8.9,7.0,1.9,0.8,4.3,3.4,34.5,,111,105
2000-01,28,ORL,NBA,SF,4,4,133,7.4,16.7,.442,0.4,0.4,1.000,7.0,16.3,.429,6.2,10.1,.615,3.1,6.6,9.7,9.7,1.9,0.8,4.3,3.5,21.3,,105,102
2001-02,29,ORL,NBA,SF,14,14,512,8.3,19.6,.426,0.0,0.2,.000,8.3,19.4,.430,6.9,8.0,.863,2.9,9.7,12.6,6.4,0.8,0.4,3.7,4.0,23.6,,105,106
2002-03,30,ORL,NBA,SF,29,29,843,9.2,18.8,.492,0.1,0.2,.250,9.2,18.5,.495,7.2,8.8,.819,2.4,10.2,12.6,7.5,1.7,0.8,5.1,2.8,25.8,,107,103
2004-05,32,ORL,NBA,SF,67,67,2338,11.2,22.0,.509,0.1,0.3,.231,11.1,21.7,.513,6.1,7.4,.821,1.7,5.2,6.9,4.8,2.1,0.6,3.5,3.1,28.5,,111,108
2005-06,33,ORL,NBA,SF,21,17,613,10.6,21.5,.490,0.2,0.7,.250,10.4,20.8,.498,6.9,9.0,.765,1.3,5.8,7.1,4.3,2.1,0.5,3.1,4.4,28.2,,110,107
2006-07,34,ORL,NBA,SG,65,64,2009,9.1,17.5,.518,0.1,0.3,.167,9.0,17.2,.525,6.6,8.6,.765,1.4,4.9,6.3,3.7,1.6,0.7,3.8,3.9,24.8,,109,106
2007-08,35,PHO,NBA,SF,70,68,2222,8.0,15.9,.503,0.7,2.3,.317,7.3,13.6,.535,3.8,4.4,.867,1.7,6.2,7.9,4.5,1.5,1.3,2.1,3.4,20.5,,115,108
2008-09,36,PHO,NBA,SF,82,68,2445,8.0,15.2,.523,0.5,1.6,.316,7.5,13.7,.547,3.7,4.6,.808,1.3,7.0,8.3,3.8,1.8,1.1,2.6,3.7,20.1,,114,111
2009-10,37,PHO,NBA,SF,81,81,2430,7.0,14.6,.478,0.7,1.7,.438,6.2,12.9,.483,4.2,5.2,.817,1.5,7.7,9.2,4.0,1.2,0.7,2.2,3.4,18.9,,114,110
2010-11,38,PHO,NBA,SF,80,80,2409,8.4,17.4,.484,1.0,2.4,.395,7.5,15.0,.498,4.5,5.4,.829,1.6,5.5,7.1,4.2,1.4,0.7,2.8,3.9,22.3,,109,111
2011-12,39,PHO,NBA,SF,49,46,1378,7.6,17.0,.446,0.5,2.0,.264,7.0,15.0,.470,3.1,4.1,.761,1.1,5.3,6.4,4.0,1.5,1.1,2.4,3.3,18.8,,100,107
2012-13,40,LAC,NBA,SF,29,0,437,4.6,11.8,.388,0.4,1.3,.273,4.2,10.5,.402,1.7,2.9,.583,0.7,5.2,5.9,3.1,1.3,0.8,3.0,4.7,11.2,,83,107
Career,,,NBA,,1026,972,34776,9.6,19.8,.483,0.3,1.0,.314,9.2,18.7,.493,6.4,8.3,.769,1.8,7.5,9.3,6.4,1.9,0.9,3.7,3.6,25.8,,110,106
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,DET,NBA,,435,434,17007,10.7,22.5,.476,0.2,0.7,.256,10.6,21.9,.483,8.1,10.8,.746,2.0,8.8,10.8,8.6,2.2,0.9,4.5,3.6,29.7,,110,103
5 
seasons,,PHO,NBA,,362,343,10884,7.8,15.9,.490,0.7,2.0,.354,7.1,13.9,.509,3.9,4.8,.822,1.5,6.5,7.9,4.1,1.5,1.0,2.5,3.6,20.3,,111,110
6 
seasons,,ORL,NBA,,200,195,6448,9.9,19.9,.500,0.1,0.3,.225,9.9,19.6,.504,6.5,8.2,.795,1.8,6.2,8.0,5.0,1.8,0.6,3.8,3.5,26.5,,109,106
1 
season,,LAC,NBA,,29,0,437,4.6,11.8,.388,0.4,1.3,.273,4.2,10.5,.402,1.7,2.9,.583,0.7,5.2,5.9,3.1,1.3,0.8,3.0,4.7,11.2,,83,107
