Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2011-12,22,CHI,NBA,SG,42,0,359,32,79,.405,2,11,.182,30,68,.441,.418,43,56,.768,23,33,56,14,11,5,14,20,109,,0
2012-13,23,CHI,NBA,SF,82,20,2134,239,512,.467,40,105,.381,199,407,.489,.506,187,233,.803,136,192,328,115,78,31,62,97,705,,0
2013-14,24,CHI,NBA,SG,67,67,2591,275,693,.397,68,240,.283,207,453,.457,.446,260,338,.769,87,243,330,175,127,36,102,106,878,,0
2014-15,25,CHI,NBA,SG,65,65,2513,421,912,.462,73,193,.378,348,719,.484,.502,386,463,.834,114,265,379,212,114,36,93,108,1301,,0
2015-16,26,CHI,NBA,SG,67,67,2474,470,1035,.454,64,205,.312,406,830,.489,.485,395,475,.832,79,279,358,321,110,43,132,124,1399,,2
2016-17,27,CHI,NBA,SF,76,75,2809,570,1252,.455,91,248,.367,479,1004,.477,.492,585,676,.865,129,341,470,417,143,32,159,112,1816,,2
2017-18,28,MIN,NBA,SG,59,59,2164,437,921,.474,70,200,.350,367,721,.509,.512,363,425,.854,79,235,314,288,116,24,108,78,1307,,0
2018-19,29,TOT,NBA,SFSG,65,65,2185,418,904,.462,67,193,.347,351,711,.494,.499,312,365,.855,121,221,342,263,123,39,95,111,1215,,0
2018-19,29,MIN,NBA,SG,10,10,361,74,157,.471,17,45,.378,57,112,.509,.525,48,61,.787,16,36,52,43,24,10,14,18,213,,0
2018-19,29,PHI,NBA,SF,55,55,1824,344,747,.461,50,148,.338,294,599,.491,.494,264,304,.868,105,185,290,220,99,29,81,93,1002,,0
2019-20,30,MIA,NBA,SF,58,58,1959,345,758,.455,29,119,.244,316,639,.495,.474,438,525,.834,106,280,386,350,103,32,127,81,1157,,3
2020-21,31,MIA,NBA,SF,52,52,1745,366,736,.497,25,102,.245,341,634,.538,.514,359,416,.863,94,265,359,369,108,18,109,71,1116,,4
2021-22,32,MIA,NBA,SF,57,57,1931,398,829,.480,27,116,.233,371,713,.520,.496,396,455,.870,102,234,336,312,94,27,121,88,1219,,4
2022-23,33,MIA,NBA,PF,64,64,2138,479,888,.539,36,103,.350,443,785,.564,.560,472,555,.850,141,234,375,340,117,21,101,80,1466,,0
2023-24,34,MIA,NBA,PF,60,60,2042,396,793,.499,60,145,.414,336,648,.519,.537,394,459,.858,105,213,318,298,79,17,102,68,1246,,1
Career,,,NBA,,814,709,27044,4846,10312,.470,652,1980,.329,4194,8332,.503,.502,4590,5441,.844,1316,3035,4351,3474,1323,361,1325,1144,14934,,16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,CHI,NBA,,399,294,12880,2007,4483,.448,338,1002,.337,1669,3481,.479,.485,1856,2241,.828,568,1353,1921,1254,583,183,562,567,6208,,4
5 
seasons,,MIA,NBA,,291,291,9815,1984,4004,.496,177,585,.303,1807,3419,.529,.518,2059,2410,.854,548,1226,1774,1669,501,115,560,388,6204,,12
2 
seasons,,MIN,NBA,,69,69,2525,511,1078,.474,87,245,.355,424,833,.509,.514,411,486,.846,95,271,366,331,140,34,122,96,1520,,0
1 
season,,PHI,NBA,,55,55,1824,344,747,.461,50,148,.338,294,599,.491,.494,264,304,.868,105,185,290,220,99,29,81,93,1002,,0
