Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2011-12,22,CHI,NBA,SG,42,0,359,4.8,11.8,.405,0.3,1.6,.182,4.5,10.2,.441,6.4,8.4,.768,3.4,4.9,8.4,2.1,1.6,0.7,2.1,3.0,16.3,,112,100
2012-13,23,CHI,NBA,SF,82,20,2134,6.0,12.9,.467,1.0,2.6,.381,5.0,10.2,.489,4.7,5.9,.803,3.4,4.8,8.3,2.9,2.0,0.8,1.6,2.4,17.7,,121,104
2013-14,24,CHI,NBA,SG,67,67,2591,5.6,14.2,.397,1.4,4.9,.283,4.3,9.3,.457,5.3,6.9,.769,1.8,5.0,6.8,3.6,2.6,0.7,2.1,2.2,18.0,,108,100
2014-15,25,CHI,NBA,SG,65,65,2513,8.7,18.8,.462,1.5,4.0,.378,7.2,14.8,.484,7.9,9.5,.834,2.3,5.5,7.8,4.4,2.3,0.7,1.9,2.2,26.8,,122,104
2015-16,26,CHI,NBA,SG,67,67,2474,9.5,21.0,.454,1.3,4.2,.312,8.2,16.8,.489,8.0,9.6,.832,1.6,5.7,7.3,6.5,2.2,0.9,2.7,2.5,28.4,,116,106
2016-17,27,CHI,NBA,SF,76,75,2809,10.2,22.5,.455,1.6,4.4,.367,8.6,18.0,.477,10.5,12.1,.865,2.3,6.1,8.4,7.5,2.6,0.6,2.9,2.0,32.6,,123,106
2017-18,28,MIN,NBA,SG,59,59,2164,10.1,21.3,.474,1.6,4.6,.350,8.5,16.7,.509,8.4,9.8,.854,1.8,5.4,7.3,6.7,2.7,0.6,2.5,1.8,30.2,,122,110
2018-19,29,TOT,NBA,SFSG,65,65,2185,9.1,19.6,.462,1.5,4.2,.347,7.6,15.4,.494,6.8,7.9,.855,2.6,4.8,7.4,5.7,2.7,0.8,2.1,2.4,26.3,,121,110
2018-19,29,MIN,NBA,SG,10,10,361,9.8,20.8,.471,2.3,6.0,.378,7.6,14.9,.509,6.4,8.1,.787,2.1,4.8,6.9,5.7,3.2,1.3,1.9,2.4,28.3,,122,111
2018-19,29,PHI,NBA,SF,55,55,1824,8.9,19.3,.461,1.3,3.8,.338,7.6,15.5,.491,6.8,7.9,.868,2.7,4.8,7.5,5.7,2.6,0.8,2.1,2.4,25.9,,120,109
2019-20,30,MIA,NBA,SF,58,58,1959,8.6,18.9,.455,0.7,3.0,.244,7.9,15.9,.495,10.9,13.1,.834,2.6,7.0,9.6,8.7,2.6,0.8,3.2,2.0,28.8,,123,108
2020-21,31,MIA,NBA,SF,52,52,1745,10.4,21.0,.497,0.7,2.9,.245,9.7,18.0,.538,10.2,11.8,.863,2.7,7.5,10.2,10.5,3.1,0.5,3.1,2.0,31.8,,127,108
2021-22,32,MIA,NBA,SF,57,57,1931,10.3,21.5,.480,0.7,3.0,.233,9.6,18.5,.520,10.3,11.8,.870,2.6,6.1,8.7,8.1,2.4,0.7,3.1,2.3,31.6,,124,108
2022-23,33,MIA,NBA,PF,64,64,2138,11.2,20.7,.539,0.8,2.4,.350,10.3,18.3,.564,11.0,12.9,.850,3.3,5.5,8.7,7.9,2.7,0.5,2.4,1.9,34.2,,135,112
2023-24,34,MIA,NBA,PF,60,60,2042,9.7,19.4,.499,1.5,3.5,.414,8.2,15.8,.519,9.6,11.2,.858,2.6,5.2,7.8,7.3,1.9,0.4,2.5,1.7,30.4,,129,113
Career,,,NBA,,814,709,27044,9.0,19.2,.470,1.2,3.7,.329,7.8,15.5,.503,8.6,10.2,.844,2.5,5.7,8.1,6.5,2.5,0.7,2.5,2.1,27.9,,123,107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,CHI,NBA,,399,294,12880,8.1,18.0,.448,1.4,4.0,.337,6.7,14.0,.479,7.5,9.0,.828,2.3,5.4,7.7,5.0,2.3,0.7,2.3,2.3,25.0,,118,104
5 
seasons,,MIA,NBA,,291,291,9815,10.0,20.3,.496,0.9,3.0,.303,9.1,17.3,.529,10.4,12.2,.854,2.8,6.2,9.0,8.4,2.5,0.6,2.8,2.0,31.4,,128,110
2 
seasons,,MIN,NBA,,69,69,2525,10.1,21.2,.474,1.7,4.8,.355,8.3,16.4,.509,8.1,9.6,.846,1.9,5.3,7.2,6.5,2.8,0.7,2.4,1.9,29.9,,122,110
1 
season,,PHI,NBA,,55,55,1824,8.9,19.3,.461,1.3,3.8,.338,7.6,15.5,.491,6.8,7.9,.868,2.7,4.8,7.5,5.7,2.6,0.8,2.1,2.4,25.9,,120,109
