Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1985-86,22,UTA,NBA,PF,81,76,2475,9.5,19.1,.496,0.0,0.0,.000,9.5,19.0,.497,3.7,7.6,.481,3.3,10.2,13.5,4.4,2.0,0.8,5.2,5.5,22.6,,92,102
1986-87,23,UTA,NBA,PF,82,82,2857,11.9,23.2,.512,0.0,0.1,.000,11.9,23.0,.514,5.3,8.8,.598,4.5,9.4,13.9,2.6,1.7,1.0,3.9,5.3,29.0,,104,102
1987-88,24,UTA,NBA,PF,82,82,3198,12.7,24.4,.520,0.0,0.1,.000,12.7,24.3,.522,8.2,11.7,.700,4.1,10.5,14.6,2.9,1.7,0.7,4.8,4.4,33.5,,107,101
1988-89,25,UTA,NBA,PF,80,80,3126,12.7,24.4,.519,0.1,0.3,.313,12.6,24.2,.521,11.0,14.4,.766,4.1,9.3,13.4,3.4,2.3,1.1,4.5,4.5,36.5,,115,99
1989-90,26,UTA,NBA,PF,82,82,3122,14.6,26.0,.562,0.3,0.7,.372,14.4,25.3,.567,11.1,14.6,.762,3.7,10.9,14.6,3.6,1.9,0.8,4.9,4.1,40.6,,118,102
1990-91,27,UTA,NBA,PF,82,82,3302,12.9,24.5,.527,0.1,0.2,.286,12.9,24.3,.529,10.4,13.6,.770,3.6,11.2,14.8,4.1,1.4,1.2,3.7,4.1,36.4,,117,102
1991-92,28,UTA,NBA,PF,81,81,3054,13.1,25.0,.526,0.0,0.3,.176,13.1,24.7,.530,11.1,14.2,.778,3.7,11.3,15.0,4.0,1.8,0.8,4.1,3.7,37.4,,118,103
1992-93,29,UTA,NBA,PF,82,82,3099,12.8,23.2,.552,0.1,0.3,.200,12.7,22.8,.557,9.9,13.4,.740,3.6,11.1,14.7,4.9,2.0,1.4,3.9,4.2,35.6,,120,103
1993-94,30,UTA,NBA,PF,82,82,3329,12.0,24.0,.497,0.1,0.5,.250,11.8,23.5,.503,7.9,11.4,.694,3.6,10.9,14.6,5.1,1.9,2.0,3.6,4.1,31.9,,111,100
1994-95,31,UTA,NBA,PF,82,82,3126,13.8,25.7,.536,0.2,0.7,.268,13.6,25.0,.543,8.6,11.5,.742,2.6,11.9,14.4,4.7,2.1,1.4,3.9,4.5,36.3,,115,101
1995-96,32,UTA,NBA,PF,82,82,3113,13.5,26.0,.519,0.3,0.7,.400,13.2,25.4,.522,8.8,12.1,.723,3.0,10.8,13.8,5.9,2.4,1.0,3.4,4.2,36.1,,117,102
1996-97,33,UTA,NBA,PF,82,82,2998,15.4,27.9,.550,0.0,0.2,.000,15.4,27.7,.555,9.3,12.3,.755,3.4,11.0,14.4,6.5,2.0,0.9,4.1,3.9,40.0,,118,101
1997-98,34,UTA,NBA,PF,81,81,3030,13.9,26.2,.530,0.0,0.1,.333,13.8,26.0,.531,11.2,14.7,.761,3.4,11.5,14.8,5.6,1.7,1.2,4.4,4.2,38.9,,118,102
1998-99,35,UTA,NBA,PF,49,49,1832,11.8,24.0,.493,0.0,0.0,.000,11.8,24.0,.494,11.4,14.5,.788,3.2,10.7,13.9,6.1,1.9,0.8,4.9,4.0,35.1,,112,96
1999-00,36,UTA,NBA,PF,82,82,2947,13.7,26.8,.509,0.0,0.1,.250,13.6,26.7,.511,10.7,13.4,.797,3.1,11.1,14.2,5.5,1.4,1.3,4.2,4.2,38.1,,115,100
2000-01,37,UTA,NBA,PF,81,81,2895,12.4,24.8,.498,0.0,0.1,.400,12.3,24.8,.499,9.9,12.5,.793,2.1,10.3,12.4,6.7,1.7,1.1,4.5,4.0,34.7,,112,100
2001-02,38,UTA,NBA,PF,80,80,3040,11.1,24.5,.454,0.2,0.4,.360,11.0,24.0,.456,8.9,11.2,.797,2.5,9.5,12.0,6.0,2.7,1.0,4.6,4.0,31.3,,107,101
2002-03,39,UTA,NBA,PF,81,81,2936,10.9,23.6,.462,0.1,0.3,.214,10.8,23.3,.464,8.7,11.4,.763,2.1,9.4,11.5,6.9,2.5,0.6,3.8,3.7,30.5,,109,100
2003-04,40,LAL,NBA,PF,42,42,1373,7.3,15.2,.483,0.0,0.0,.000,7.3,15.1,.484,6.4,8.5,.747,2.3,11.6,13.9,6.2,1.9,0.8,3.9,4.4,21.0,,107,98
Career,,,NBA,,1476,1471,54852,12.6,24.4,.516,0.1,0.3,.274,12.5,24.1,.519,9.1,12.3,.742,3.3,10.6,13.9,4.9,1.9,1.1,4.2,4.3,34.4,,113,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 
seasons,,UTA,NBA,,1434,1429,53479,12.7,24.6,.517,0.1,0.3,.275,12.7,24.4,.520,9.2,12.4,.742,3.3,10.6,13.9,4.9,1.9,1.1,4.2,4.3,34.7,,113,101
1 
season,,LAL,NBA,,42,42,1373,7.3,15.2,.483,0.0,0.0,.000,7.3,15.1,.484,6.4,8.5,.747,2.3,11.6,13.9,6.2,1.9,0.8,3.9,4.4,21.0,,107,98
