Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2011-12,19,CLE,NBA,PG,51,51,1558,350,747,.469,73,183,.399,277,564,.491,.517,171,196,.872,44,147,191,275,54,20,160,110,944,,0
2012-13,20,CLE,NBA,PG,59,59,2048,484,1070,.452,109,279,.391,375,791,.474,.503,248,290,.855,34,182,216,350,89,21,191,146,1325,,0
2013-14,21,CLE,NBA,PG,71,71,2496,532,1237,.430,123,344,.358,409,893,.458,.480,291,338,.861,52,207,259,433,108,23,190,163,1478,,1
2014-15,22,CLE,NBA,PG,75,75,2730,578,1235,.468,157,378,.415,421,857,.491,.532,315,365,.863,55,182,237,389,114,20,186,146,1628,,0
2015-16,23,CLE,NBA,PG,53,53,1667,394,879,.448,84,262,.321,310,617,.502,.496,169,191,.885,44,113,157,249,56,18,124,107,1041,,0
2016-17,24,CLE,NBA,PG,72,72,2525,671,1420,.473,177,441,.401,494,979,.505,.535,297,328,.905,52,178,230,418,83,24,180,157,1816,,0
2017-18,25,BOS,NBA,PG,60,60,1931,534,1087,.491,166,407,.408,368,680,.541,.568,232,261,.889,33,194,227,306,65,17,140,122,1466,,0
2018-19,26,BOS,NBA,PG,67,67,2214,604,1241,.487,174,434,.401,430,807,.533,.557,214,245,.873,71,264,335,464,103,34,172,167,1596,,1
2019-20,27,BRK,NBA,PG,20,20,658,199,416,.478,56,142,.394,143,274,.522,.546,94,102,.922,22,81,103,128,27,10,52,53,548,,1
2020-21,28,BRK,NBA,PG,54,54,1886,549,1086,.506,152,378,.402,397,708,.561,.576,201,218,.922,52,205,257,324,76,37,130,140,1451,,0
2021-22,29,BRK,NBA,PG,29,29,1091,289,616,.469,100,239,.418,189,377,.501,.550,118,129,.915,16,111,127,167,41,17,73,81,796,,0
2022-23,30,TOT,NBA,PGSG,60,60,2241,594,1203,.494,188,496,.379,406,707,.574,.572,247,273,.905,59,245,304,331,66,45,128,165,1623,,0
2022-23,30,BRK,NBA,PG,40,40,1478,398,819,.486,130,348,.374,268,471,.569,.565,158,179,.883,38,166,204,211,41,33,91,109,1084,,0
2022-23,30,DAL,NBA,SG,20,20,763,196,384,.510,58,148,.392,138,236,.585,.586,89,94,.947,21,79,100,120,25,12,37,56,539,,0
2023-24,31,DAL,NBA,SG,58,58,2030,562,1131,.497,173,421,.411,389,710,.548,.573,190,210,.905,44,246,290,299,74,28,106,112,1487,,0
Career,,,NBA,,729,729,25075,6340,13368,.474,1732,4404,.393,4608,8964,.514,.539,2787,3146,.886,578,2355,2933,4133,956,314,1832,1669,17199,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,CLE,NBA,,381,381,13024,3009,6588,.457,723,1887,.383,2286,4701,.486,.512,1491,1708,.873,281,1009,1290,2114,504,126,1031,829,8232,,1
4 
seasons,,BRK,NBA,,143,143,5113,1435,2937,.489,438,1107,.396,997,1830,.545,.563,571,628,.909,128,563,691,830,185,97,346,383,3879,,1
2 
seasons,,BOS,NBA,,127,127,4145,1138,2328,.489,340,841,.404,798,1487,.537,.562,446,506,.881,104,458,562,770,168,51,312,289,3062,,1
2 
seasons,,DAL,NBA,,78,78,2793,758,1515,.500,231,569,.406,527,946,.557,.577,279,304,.918,65,325,390,419,99,40,143,168,2026,,0
