Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2011-12,19,CLE,NBA,PG,51,51,1558,11.8,25.2,.469,2.5,6.2,.399,9.3,19.0,.491,5.8,6.6,.872,1.5,5.0,6.4,9.3,1.8,0.7,5.4,3.7,31.8,,109,110
2012-13,20,CLE,NBA,PG,59,59,2048,12.3,27.2,.452,2.8,7.1,.391,9.5,20.1,.474,6.3,7.4,.855,0.9,4.6,5.5,8.9,2.3,0.5,4.9,3.7,33.7,,108,110
2013-14,21,CLE,NBA,PG,71,71,2496,11.0,25.6,.430,2.5,7.1,.358,8.4,18.4,.458,6.0,7.0,.861,1.1,4.3,5.4,8.9,2.2,0.5,3.9,3.4,30.5,,109,108
2014-15,22,CLE,NBA,PG,75,75,2730,11.0,23.5,.468,3.0,7.2,.415,8.0,16.3,.491,6.0,7.0,.863,1.0,3.5,4.5,7.4,2.2,0.4,3.5,2.8,31.0,,117,108
2015-16,23,CLE,NBA,PG,53,53,1667,12.2,27.1,.448,2.6,8.1,.321,9.6,19.0,.502,5.2,5.9,.885,1.4,3.5,4.8,7.7,1.7,0.6,3.8,3.3,32.1,,109,106
2016-17,24,CLE,NBA,PG,72,72,2525,13.3,28.1,.473,3.5,8.7,.401,9.8,19.4,.505,5.9,6.5,.905,1.0,3.5,4.5,8.3,1.6,0.5,3.6,3.1,35.9,,116,112
2017-18,25,BOS,NBA,PG,60,60,1931,13.8,28.1,.491,4.3,10.5,.408,9.5,17.6,.541,6.0,6.8,.889,0.9,5.0,5.9,7.9,1.7,0.4,3.6,3.2,37.9,,118,106
2018-19,26,BOS,NBA,PG,67,67,2214,13.2,27.1,.487,3.8,9.5,.401,9.4,17.6,.533,4.7,5.4,.873,1.6,5.8,7.3,10.1,2.3,0.7,3.8,3.7,34.9,,118,108
2019-20,27,BRK,NBA,PG,20,20,658,14.3,29.9,.478,4.0,10.2,.394,10.3,19.7,.522,6.8,7.3,.922,1.6,5.8,7.4,9.2,1.9,0.7,3.7,3.8,39.4,,119,109
2020-21,28,BRK,NBA,PG,54,54,1886,14.0,27.8,.506,3.9,9.7,.402,10.2,18.1,.561,5.1,5.6,.922,1.3,5.2,6.6,8.3,1.9,0.9,3.3,3.6,37.1,,121,114
2021-22,29,BRK,NBA,PG,29,29,1091,12.8,27.4,.469,4.4,10.6,.418,8.4,16.8,.501,5.2,5.7,.915,0.7,4.9,5.6,7.4,1.8,0.8,3.2,3.6,35.4,,117,114
2022-23,30,TOT,NBA,PGSG,60,60,2241,13.0,26.4,.494,4.1,10.9,.379,8.9,15.5,.574,5.4,6.0,.905,1.3,5.4,6.7,7.3,1.4,1.0,2.8,3.6,35.6,,121,116
2022-23,30,BRK,NBA,PG,40,40,1478,13.1,27.1,.486,4.3,11.5,.374,8.9,15.6,.569,5.2,5.9,.883,1.3,5.5,6.7,7.0,1.4,1.1,3.0,3.6,35.8,,118,115
2022-23,30,DAL,NBA,SG,20,20,763,12.8,25.0,.510,3.8,9.6,.392,9.0,15.4,.585,5.8,6.1,.947,1.4,5.1,6.5,7.8,1.6,0.8,2.4,3.6,35.1,,127,117
2023-24,31,DAL,NBA,SG,58,58,2030,13.3,26.7,.497,4.1,9.9,.411,9.2,16.8,.548,4.5,5.0,.905,1.0,5.8,6.9,7.1,1.7,0.7,2.5,2.6,35.1,,122,116
Career,,,NBA,,729,729,25075,12.7,26.7,.474,3.5,8.8,.393,9.2,17.9,.514,5.6,6.3,.886,1.2,4.7,5.9,8.3,1.9,0.6,3.7,3.3,34.3,,116,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,CLE,NBA,,381,381,13024,11.9,26.0,.457,2.9,7.5,.383,9.0,18.6,.486,5.9,6.8,.873,1.1,4.0,5.1,8.4,2.0,0.5,4.1,3.3,32.5,,112,109
4 
seasons,,BRK,NBA,,143,143,5113,13.6,27.8,.489,4.1,10.5,.396,9.4,17.3,.545,5.4,5.9,.909,1.2,5.3,6.5,7.8,1.7,0.9,3.3,3.6,36.7,,119,114
2 
seasons,,BOS,NBA,,127,127,4145,13.5,27.6,.489,4.0,10.0,.404,9.5,17.6,.537,5.3,6.0,.881,1.2,5.4,6.7,9.1,2.0,0.6,3.7,3.4,36.3,,118,107
2 
seasons,,DAL,NBA,,78,78,2793,13.1,26.3,.500,4.0,9.9,.406,9.1,16.4,.557,4.8,5.3,.918,1.1,5.6,6.8,7.3,1.7,0.7,2.5,2.9,35.1,,123,116
