Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1974-75,19,UTS,ABA,C,83,,3205,9.0,15.8,.571,0.0,0.0,.000,9.0,15.8,.572,5.7,9.0,.635,7.0,11.5,18.5,1.3,1.3,2.0,4.9,4.4,23.8,,108,100
1975-76,20,SSL,ABA,PF,43,,1168,9.8,19.1,.512,0.0,0.1,.000,9.8,19.0,.514,4.4,7.1,.612,7.6,8.4,16.1,2.3,1.0,1.1,5.4,4.4,23.9,,100,105
1976-77,21,TOT,NBA,C,82,,2506,7.4,15.3,.480,,,,7.4,15.3,.480,5.8,8.3,.693,8.3,12.0,20.3,1.7,1.3,3.4,,5.2,20.5,,,97
1976-77,21,BUF,NBA,C,2,,6,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,7.5,7.5,0.0,0.0,0.0,,7.5,0.0,,,105
1976-77,21,HOU,NBA,C,80,,2500,7.4,15.3,.480,,,,7.4,15.3,.480,5.8,8.3,.693,8.3,12.0,20.3,1.7,1.3,3.4,,5.2,20.5,,,97
1977-78,22,HOU,NBA,C,59,,2107,9.3,18.6,.499,,,,9.3,18.6,.499,7.1,10.0,.718,8.5,11.4,19.9,0.7,1.1,1.7,4.9,4.0,25.7,,106,103
1978-79,23,HOU,NBA,C,82,82,3390,9.8,18.1,.540,,,,9.8,18.1,.540,8.2,11.1,.739,8.0,11.7,19.7,2.0,1.1,1.6,4.4,3.0,27.7,,117,104
1979-80,24,HOU,NBA,C,82,82,3140,11.8,23.4,.502,0.0,0.1,.000,11.8,23.3,.504,8.5,11.8,.719,8.7,9.3,18.0,2.2,1.2,1.6,4.5,3.2,32.0,,114,106
1980-81,25,HOU,NBA,C,80,,3245,11.9,22.7,.522,0.0,0.0,.333,11.8,22.7,.522,9.0,11.8,.757,7.0,10.4,17.4,2.1,1.2,2.2,4.5,3.3,32.7,,115,104
1981-82,26,HOU,NBA,C,81,81,3398,13.7,26.5,.519,0.0,0.1,.000,13.7,26.4,.520,9.2,12.0,.762,8.1,9.2,17.3,2.1,1.1,1.8,4.3,3.0,36.6,,118,106
1982-83,27,PHI,NBA,C,78,78,2922,10.5,20.9,.501,0.0,0.0,.000,10.5,20.9,.502,9.6,12.6,.761,7.1,12.0,19.1,1.6,1.4,2.5,4.2,3.3,30.5,,116,97
1983-84,28,PHI,NBA,C,71,71,2613,9.8,20.3,.483,0.0,0.1,.000,9.8,20.2,.485,10.1,13.4,.750,6.5,11.0,17.5,1.8,1.3,2.0,4.6,3.5,29.7,,111,102
1984-85,29,PHI,NBA,C,79,79,2957,9.7,20.7,.469,0.0,0.0,.000,9.7,20.6,.470,11.9,14.6,.815,6.2,10.4,16.6,2.1,1.1,2.0,4.6,3.5,31.2,,116,105
1985-86,30,PHI,NBA,C,74,74,2706,10.1,22.0,.458,0.0,0.0,.000,10.1,22.0,.459,10.9,13.8,.787,6.0,9.4,15.4,1.6,1.2,1.3,4.6,3.4,31.0,,111,106
1986-87,31,WSB,NBA,C,73,70,2488,11.5,25.3,.454,0.0,0.2,.000,11.5,25.0,.458,11.0,13.3,.824,6.5,9.3,15.9,2.3,1.1,1.8,3.9,2.7,33.9,,114,106
1987-88,32,WSB,NBA,C,79,78,2692,9.7,19.8,.487,0.0,0.1,.286,9.6,19.7,.488,9.9,12.5,.788,6.8,9.3,16.1,2.0,1.1,1.3,4.5,2.9,29.2,,113,106
1988-89,33,ATL,NBA,C,81,80,2878,9.1,18.6,.491,0.0,0.2,.000,9.1,18.4,.496,9.5,12.1,.789,6.5,9.7,16.2,1.9,1.3,1.7,4.2,2.6,27.8,,116,105
1989-90,34,ATL,NBA,C,81,81,2735,9.5,19.7,.480,0.0,0.2,.111,9.4,19.6,.483,9.0,11.6,.781,6.7,8.2,14.9,2.4,0.9,1.5,4.2,2.9,28.0,,114,112
1990-91,35,ATL,NBA,C,82,15,1912,7.1,15.2,.468,0.0,0.2,.000,7.1,15.0,.474,7.9,9.5,.831,6.9,10.1,17.0,1.7,0.8,1.9,3.5,3.4,22.1,,116,109
1991-92,36,MIL,NBA,C,82,77,2511,8.8,18.6,.474,0.1,0.2,.375,8.7,18.4,.474,7.9,10.1,.786,6.4,8.5,14.9,1.9,1.5,1.3,3.0,2.7,25.6,,117,110
1992-93,37,MIL,NBA,C,11,0,104,6.2,20.2,.310,0.0,0.0,,6.2,20.2,.310,11.5,14.9,.774,10.6,11.5,22.1,3.4,0.5,3.8,4.8,2.9,24.0,,101,107
1993-94,38,PHI,NBA,C,55,0,618,8.3,18.8,.440,0.0,0.1,.000,8.3,18.8,.442,7.3,9.5,.769,8.6,9.7,18.3,2.8,0.9,1.4,4.8,4.2,23.9,,104,109
1994-95,39,SAS,NBA,C,17,0,149,4.4,11.9,.371,0.3,0.7,.500,4.1,11.2,.364,7.5,10.9,.688,6.8,8.9,15.7,2.0,0.7,1.0,3.7,5.1,16.7,,104,106
Career,,,TOT,,1455,948,49444,10.0,20.2,.495,0.0,0.1,,10.0,20.1,.497,8.8,11.5,.760,7.2,10.2,17.4,1.9,1.2,1.8,4.2,3.4,28.8,,114,104
,,,NBA,,1329,948,45071,10.1,20.5,.491,0.0,0.1,,10.1,20.4,.492,9.1,11.8,.769,7.2,10.1,17.3,1.9,1.2,1.9,4.1,3.3,29.3,,114,105
,,,ABA,,126,,4373,9.2,16.7,.552,0.0,0.0,.000,9.2,16.7,.553,5.3,8.5,.629,7.1,10.7,17.8,1.5,1.2,1.7,5.0,4.4,23.8,,106,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,HOU,NBA,,464,245,17780,10.8,21.1,.514,0.0,0.1,,10.8,21.1,.514,8.1,11.0,.736,8.1,10.6,18.6,1.9,1.2,2.0,3.9,3.5,29.8,,115,104
5 
seasons,,PHI,NBA,,357,302,11816,9.9,20.9,.476,0.0,0.0,.000,9.9,20.8,.477,10.4,13.4,.780,6.6,10.7,17.2,1.8,1.2,1.9,4.5,3.5,30.3,,113,103
3 
seasons,,ATL,NBA,,244,176,7525,8.7,18.1,.482,0.0,0.2,.036,8.7,17.9,.486,8.9,11.2,.795,6.7,9.3,15.9,2.0,1.0,1.7,4.0,2.9,26.4,,115,108
2 
seasons,,WSB,NBA,,152,148,5180,10.5,22.5,.469,0.0,0.2,.111,10.5,22.3,.472,10.4,12.9,.806,6.7,9.3,16.0,2.2,1.1,1.5,4.2,2.8,31.5,,114,106
2 
seasons,,MIL,NBA,,93,77,2615,8.7,18.7,.467,0.1,0.2,.375,8.6,18.5,.467,8.1,10.3,.785,6.6,8.6,15.2,1.9,1.4,1.4,3.1,2.7,25.5,,116,109
1 
season,,UTS,ABA,,83,,3205,9.0,15.8,.571,0.0,0.0,.000,9.0,15.8,.572,5.7,9.0,.635,7.0,11.5,18.5,1.3,1.3,2.0,4.9,4.4,23.8,,108,100
1 
season,,SSL,ABA,,43,,1168,9.8,19.1,.512,0.0,0.1,.000,9.8,19.0,.514,4.4,7.1,.612,7.6,8.4,16.1,2.3,1.0,1.1,5.4,4.4,23.9,,100,105
1 
season,,SAS,NBA,,17,0,149,4.4,11.9,.371,0.3,0.7,.500,4.1,11.2,.364,7.5,10.9,.688,6.8,8.9,15.7,2.0,0.7,1.0,3.7,5.1,16.7,,104,106
1 
season,,BUF,NBA,,2,,6,0.0,0.0,,,,,0.0,0.0,,0.0,0.0,,0.0,7.5,7.5,0.0,0.0,0.0,,7.5,0.0,,,105
