Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2010-11,20,IND,NBA,SG,61,19,1265,179,395,.453,41,138,.297,138,257,.537,.505,77,101,.762,37,187,224,65,62,26,70,127,476,,0
2011-12,21,IND,NBA,SG,66,66,1958,281,639,.440,90,234,.385,191,405,.472,.510,146,182,.802,56,314,370,158,108,38,117,191,798,,0
2012-13,22,IND,NBA,SF,79,79,2972,493,1176,.419,170,469,.362,323,707,.457,.491,221,274,.807,88,515,603,327,143,51,233,227,1377,,1
2013-14,23,IND,NBA,SF,80,80,2898,577,1362,.424,182,500,.364,395,862,.458,.490,401,464,.864,64,478,542,283,151,22,224,198,1737,,1
2014-15,24,IND,NBA,SF,6,0,91,18,49,.367,9,22,.409,9,27,.333,.459,8,11,.727,4,18,22,6,5,1,12,11,53,,0
2015-16,25,IND,NBA,SF,81,81,2819,605,1449,.418,210,566,.371,395,883,.447,.490,454,528,.860,79,484,563,329,152,29,265,230,1874,,0
2016-17,26,IND,NBA,SF,75,75,2689,622,1348,.461,195,496,.393,427,852,.501,.534,336,374,.898,58,434,492,251,119,27,220,206,1775,,0
2017-18,27,OKC,NBA,SF,79,79,2891,576,1340,.430,244,609,.401,332,731,.454,.521,338,411,.822,72,375,447,263,161,39,212,233,1734,,0
2018-19,28,OKC,NBA,SF,77,77,2841,707,1614,.438,292,757,.386,415,857,.484,.529,453,540,.839,105,523,628,318,170,34,205,214,2159,,1
2019-20,29,LAC,NBA,SF,48,48,1419,343,782,.439,157,381,.412,186,401,.464,.539,190,217,.876,24,248,272,185,68,20,125,113,1033,,0
2020-21,30,LAC,NBA,SF,54,54,1821,445,953,.467,171,416,.411,274,537,.510,.557,198,228,.868,45,314,359,280,62,24,179,132,1259,,0
2021-22,31,LAC,NBA,PF,31,31,1077,268,636,.421,91,257,.354,177,379,.467,.493,127,148,.858,12,201,213,176,67,13,126,74,754,,0
2022-23,32,LAC,NBA,SF,56,56,1939,459,1004,.457,158,426,.371,301,578,.521,.536,256,294,.871,45,297,342,288,83,20,176,159,1332,,1
2023-24,33,LAC,NBA,PF,74,74,2502,582,1236,.471,243,588,.413,339,648,.523,.569,264,291,.907,37,351,388,262,113,37,153,202,1671,,0
Career,,,NBA,,867,819,29182,6155,13983,.440,2253,5859,.385,3902,8124,.480,.521,3469,4063,.854,726,4739,5465,3191,1464,381,2317,2317,18032,,4
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,IND,NBA,,448,400,14692,2775,6418,.432,897,2425,.370,1878,3993,.470,.502,1643,1934,.850,386,2430,2816,1419,740,194,1141,1190,8090,,2
5 
seasons,,LAC,NBA,,263,263,8758,2097,4611,.455,820,2068,.397,1277,2543,.502,.544,1035,1178,.879,163,1411,1574,1191,393,114,759,680,6049,,1
2 
seasons,,OKC,NBA,,156,156,5732,1283,2954,.434,536,1366,.392,747,1588,.470,.525,791,951,.832,177,898,1075,581,331,73,417,447,3893,,1
