Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1995-96,21,WSB,NBA,PF,65,51,1788,7.9,16.2,.487,0.8,2.3,.329,7.1,13.8,.513,2.2,3.4,.650,2.7,6.0,8.7,2.4,1.2,1.5,2.9,5.9,18.8,,102,108
1996-97,22,POR,NBA,PF,62,56,1892,10.6,19.0,.558,0.3,0.9,.273,10.4,18.1,.573,4.7,7.4,.638,3.4,8.3,11.7,2.1,1.3,1.6,3.2,5.5,26.2,,113,103
1997-98,23,POR,NBA,PF,77,77,2896,8.6,16.1,.533,0.1,0.7,.205,8.4,15.4,.548,3.4,5.1,.662,2.4,6.4,8.8,3.6,1.4,1.6,3.1,4.9,20.7,,109,103
1998-99,24,POR,NBA,PF,49,18,1414,9.2,18.1,.508,0.5,1.2,.419,8.7,16.9,.515,5.0,6.8,.732,2.2,7.0,9.2,2.3,1.8,2.1,3.0,6.7,23.9,,109,97
1999-00,25,POR,NBA,PF,81,77,2845,10.2,19.6,.519,0.2,0.9,.160,10.0,18.7,.537,4.4,6.2,.704,2.4,8.2,10.6,2.7,1.6,2.0,2.9,4.1,24.9,,108,99
2000-01,26,POR,NBA,PF,77,75,2940,10.8,21.6,.501,1.0,3.0,.321,9.9,18.6,.530,4.5,5.9,.766,2.7,8.3,11.0,3.9,1.6,2.5,2.9,3.8,27.1,,111,100
2001-02,27,POR,NBA,PF,79,79,2963,10.9,23.3,.469,2.1,5.7,.360,8.9,17.6,.504,3.6,5.0,.734,2.5,9.2,11.7,2.8,1.8,1.8,2.4,3.8,27.6,,110,102
2002-03,28,POR,NBA,PF,74,74,2684,10.3,21.9,.471,2.2,6.1,.358,8.1,15.7,.515,4.0,5.4,.735,2.3,8.7,11.0,3.1,1.4,1.5,2.8,4.5,26.8,,109,102
2003-04,29,TOT,NBA,PF,68,66,2390,9.8,22.5,.436,1.9,5.7,.331,7.9,16.8,.472,3.6,4.9,.736,2.4,8.3,10.6,3.6,1.4,2.8,2.8,4.4,25.2,,104,101
2003-04,29,POR,NBA,PF,45,44,1675,9.8,22.2,.442,2.0,5.8,.341,7.9,16.5,.478,3.8,5.2,.742,2.3,7.6,9.9,3.8,1.2,2.4,2.9,4.4,25.5,,105,105
2003-04,29,ATL,NBA,PF,1,1,42,10.1,30.2,.333,1.3,7.5,.167,8.8,22.6,.389,3.8,3.8,1.000,1.3,6.3,7.5,2.5,1.3,6.3,3.8,0.0,25.2,,81,103
2003-04,29,DET,NBA,PF,22,21,673,9.8,22.8,.431,1.8,5.6,.319,8.0,17.2,.467,3.1,4.4,.704,2.6,10.0,12.6,3.2,1.9,3.7,2.4,4.8,24.5,,102,91
2004-05,30,DET,NBA,PF,79,79,2687,9.6,21.8,.440,1.5,4.8,.318,8.0,16.9,.475,2.8,4.0,.697,3.6,9.6,13.2,2.9,1.3,2.4,2.6,4.8,23.5,,103,99
2005-06,31,DET,NBA,PF,80,80,2780,9.1,21.2,.430,3.1,8.6,.357,6.0,12.6,.480,2.7,3.6,.743,1.8,9.1,10.9,3.6,1.6,2.6,1.7,4.6,24.1,,110,100
2006-07,32,DET,NBA,C,75,72,2419,8.1,19.2,.423,2.4,6.7,.351,5.8,12.4,.463,2.5,3.1,.788,2.0,10.3,12.3,2.9,1.7,2.7,2.1,5.1,21.1,,105,100
2007-08,33,DET,NBA,C,77,76,2346,8.8,20.4,.432,2.6,7.4,.356,6.2,13.0,.476,2.7,3.5,.767,2.0,10.0,12.0,3.2,2.1,3.0,2.0,5.0,22.9,,108,98
2008-09,34,DET,NBA,C,66,63,2123,7.9,18.8,.419,2.9,8.3,.354,4.9,10.5,.471,2.0,2.6,.772,1.5,11.3,12.8,2.4,1.6,2.2,1.5,5.1,20.7,,107,103
2009-10,35,BOS,NBA,C,79,13,1780,7.8,19.1,.409,2.4,8.5,.283,5.4,10.6,.511,2.8,3.7,.768,1.2,8.3,9.6,2.4,2.4,2.1,1.9,6.5,20.9,,100,100
2012-13,38,NYK,NBA,C,21,0,296,9.9,25.6,.387,4.0,12.5,.319,6.0,13.2,.452,2.5,3.6,.700,2.0,13.0,15.0,1.1,2.3,2.7,1.8,7.2,26.4,,99,99
Career,,,NBA,,1109,956,36243,9.4,20.2,.467,1.6,4.8,.336,7.8,15.3,.508,3.4,4.7,.721,2.4,8.7,11.0,3.0,1.6,2.2,2.5,4.9,23.8,,107,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 
seasons,,POR,NBA,,544,500,19309,10.1,20.3,.497,1.0,3.1,.335,9.1,17.2,.527,4.1,5.8,.713,2.5,8.0,10.6,3.1,1.5,1.9,2.9,4.5,25.4,,110,101
6 
seasons,,DET,NBA,,399,391,13028,8.8,20.5,.430,2.5,7.1,.348,6.3,13.4,.473,2.6,3.5,.745,2.2,10.0,12.2,3.0,1.7,2.6,2.0,4.9,22.7,,106,100
1 
season,,BOS,NBA,,79,13,1780,7.8,19.1,.409,2.4,8.5,.283,5.4,10.6,.511,2.8,3.7,.768,1.2,8.3,9.6,2.4,2.4,2.1,1.9,6.5,20.9,,100,100
1 
season,,WSB,NBA,,65,51,1788,7.9,16.2,.487,0.8,2.3,.329,7.1,13.8,.513,2.2,3.4,.650,2.7,6.0,8.7,2.4,1.2,1.5,2.9,5.9,18.8,,102,108
1 
season,,NYK,NBA,,21,0,296,9.9,25.6,.387,4.0,12.5,.319,6.0,13.2,.452,2.5,3.6,.700,2.0,13.0,15.0,1.1,2.3,2.7,1.8,7.2,26.4,,99,99
1 
season,,ATL,NBA,,1,1,42,10.1,30.2,.333,1.3,7.5,.167,8.8,22.6,.389,3.8,3.8,1.000,1.3,6.3,7.5,2.5,1.3,6.3,3.8,0.0,25.2,,81,103
