Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1987-88,22,CHI,NBA,SF,79,0,1650,8.0,17.2,.463,0.1,0.7,.174,7.8,16.5,.475,3.0,5.2,.576,3.5,5.6,9.1,5.2,2.8,1.6,4.0,6.5,19.0,,98,103
1988-89,23,CHI,NBA,SF,73,56,2413,8.5,17.8,.476,0.4,1.6,.273,8.0,16.2,.496,4.1,6.2,.668,2.8,6.3,9.1,5.2,2.9,1.3,4.1,5.4,21.5,,102,105
1989-90,24,CHI,NBA,SF,82,82,3148,8.9,18.1,.489,0.4,1.8,.250,8.4,16.4,.514,3.1,4.7,.675,2.4,6.3,8.6,7.0,3.3,1.6,4.4,4.7,21.3,,103,105
1990-91,25,CHI,NBA,SF,82,82,3014,10.0,19.2,.520,0.3,1.1,.309,9.6,18.1,.534,4.0,5.7,.706,2.7,7.2,9.9,8.5,3.2,1.5,3.9,4.5,24.3,,114,102
1991-92,26,CHI,NBA,SF,82,82,3164,11.0,21.8,.506,0.3,1.3,.200,10.8,20.6,.525,5.3,7.0,.760,3.0,7.2,10.1,9.2,2.5,1.5,4.1,3.9,27.6,,114,102
1992-93,27,CHI,NBA,SF,81,81,3123,10.4,22.1,.473,0.4,1.5,.237,10.1,20.5,.491,3.9,5.8,.663,3.4,6.9,10.3,8.4,2.9,1.2,4.1,3.6,25.1,,108,104
1993-94,28,CHI,NBA,SF,72,72,2759,11.9,24.2,.491,1.2,3.7,.320,10.7,20.5,.522,5.1,7.7,.660,3.3,8.6,11.9,7.6,4.0,1.1,4.4,4.3,30.0,,109,97
1994-95,29,CHI,NBA,SF,79,79,3014,11.0,22.8,.480,1.9,5.5,.345,9.1,17.4,.523,5.5,7.6,.716,3.0,8.0,11.1,7.1,4.0,1.5,4.7,4.1,29.3,,110,98
1995-96,30,CHI,NBA,SF,77,77,2825,10.5,22.7,.463,2.8,7.5,.374,7.7,15.2,.507,4.1,6.0,.679,2.8,6.4,9.3,8.4,2.5,1.1,3.9,3.7,27.9,,116,101
1996-97,31,CHI,NBA,SF,82,82,3095,11.2,23.5,.474,2.7,7.3,.368,8.5,16.2,.522,3.5,5.0,.701,2.8,6.4,9.2,8.0,2.7,0.8,3.7,3.7,28.5,,115,101
1997-98,32,CHI,NBA,SF,44,44,1652,10.3,23.0,.447,2.0,6.3,.318,8.3,16.7,.496,4.9,6.3,.777,1.7,5.7,7.4,8.3,2.6,1.4,3.6,3.8,27.5,,112,99
1998-99,33,HOU,NBA,SF,50,50,2011,7.0,16.2,.432,1.9,5.7,.340,5.1,10.5,.482,3.5,4.9,.721,1.7,7.0,8.7,7.9,2.6,1.0,4.3,3.2,19.5,,104,101
1999-00,34,POR,NBA,SF,82,82,2749,7.5,16.7,.451,1.7,5.1,.327,5.9,11.6,.506,3.1,4.3,.717,2.2,7.8,10.0,7.9,2.3,0.8,4.0,4.0,19.9,,105,99
2000-01,35,POR,NBA,SF,64,60,2133,6.8,15.0,.451,1.6,4.7,.344,5.2,10.4,.500,3.0,4.1,.739,1.8,6.6,8.4,7.4,2.4,0.9,3.9,4.0,18.2,,104,101
2001-02,36,POR,NBA,SF,62,60,1996,6.6,16.1,.411,1.5,4.8,.305,5.2,11.4,.455,3.0,3.9,.774,2.1,6.6,8.6,9.8,2.7,0.9,4.6,4.4,17.7,,101,102
2002-03,37,POR,NBA,SF,64,58,1911,7.4,16.8,.444,1.1,3.7,.286,6.4,13.0,.489,3.4,4.2,.818,1.6,6.2,7.8,8.0,3.0,0.7,4.6,4.2,19.4,,100,101
2003-04,38,CHI,NBA,SF,23,6,412,6.7,17.7,.379,1.6,6.1,.271,5.1,11.6,.435,2.1,3.4,.630,2.5,6.1,8.6,6.3,2.7,1.1,3.7,4.8,17.2,,92,102
Career,,,NBA,,1178,1053,41069,9.4,19.9,.473,1.2,3.8,.326,8.2,16.1,.507,4.0,5.6,.704,2.6,6.9,9.5,7.8,2.9,1.2,4.1,4.2,24.0,,108,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 
seasons,,CHI,NBA,,856,743,30269,10.2,21.2,.481,1.1,3.5,.327,9.1,17.7,.512,4.2,6.1,.693,2.9,6.9,9.7,7.6,3.0,1.3,4.1,4.3,25.7,,110,102
4 
seasons,,POR,NBA,,272,260,8789,7.1,16.2,.440,1.5,4.6,.319,5.7,11.6,.489,3.1,4.1,.757,1.9,6.9,8.8,8.2,2.5,0.8,4.3,4.1,18.9,,103,101
1 
season,,HOU,NBA,,50,50,2011,7.0,16.2,.432,1.9,5.7,.340,5.1,10.5,.482,3.5,4.9,.721,1.7,7.0,8.7,7.9,2.6,1.0,4.3,3.2,19.5,,104,101
