Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1992-93,20,ORL,NBA,C,81,81,3071,11.9,21.2,.562,0.0,0.0,.000,11.9,21.1,.563,6.9,11.7,.592,5.6,12.7,18.2,2.5,1.0,4.6,5.0,5.2,30.7,,108,100
1993-94,21,ORL,NBA,C,81,81,3224,14.9,24.9,.599,0.0,0.0,.000,14.9,24.9,.600,7.4,13.3,.554,6.0,10.8,16.8,3.1,1.2,3.6,3.5,4.4,37.2,,120,102
1994-95,22,ORL,NBA,C,79,79,2923,16.1,27.5,.583,0.0,0.1,.000,16.1,27.4,.585,7.9,14.7,.533,5.7,9.9,15.6,3.7,1.3,3.3,3.5,4.5,40.0,,118,104
1995-96,23,ORL,NBA,C,54,52,1946,15.9,27.8,.573,0.0,0.1,.500,15.9,27.7,.573,6.7,13.7,.487,4.9,11.1,16.0,4.2,0.9,3.1,4.2,5.2,38.5,,110,103
1996-97,24,LAL,NBA,C,51,51,1941,15.0,26.9,.557,0.0,0.1,.000,15.0,26.8,.559,6.3,13.0,.484,5.3,12.1,17.4,4.3,1.2,4.0,4.0,4.9,36.3,,110,99
1997-98,25,LAL,NBA,C,60,57,2175,15.8,27.1,.584,0.0,0.0,,15.8,27.1,.584,8.5,16.1,.527,4.9,11.2,16.1,3.3,0.9,3.4,4.1,4.6,40.1,,113,101
1998-99,26,LAL,NBA,C,49,49,1705,15.7,27.2,.576,0.0,0.0,.000,15.7,27.2,.577,8.3,15.3,.540,5.7,10.4,16.1,3.5,1.1,2.5,3.7,4.8,39.6,,115,102
1999-00,27,LAL,NBA,C,79,79,3163,15.5,27.1,.574,0.0,0.0,.000,15.5,27.1,.575,7.0,13.4,.524,5.5,12.1,17.5,4.9,0.6,3.9,3.6,4.1,38.1,,115,95
2000-01,28,LAL,NBA,C,74,74,2924,14.5,25.4,.572,0.0,0.0,.000,14.5,25.4,.573,8.9,17.4,.513,5.2,11.6,16.8,5.0,0.8,3.7,3.9,4.6,38.0,,114,101
2001-02,29,LAL,NBA,C,67,66,2422,15.3,26.4,.579,0.0,0.0,.000,15.3,26.4,.580,8.6,15.4,.555,5.1,10.3,15.4,4.3,0.9,2.9,3.7,4.3,39.2,,116,99
2002-03,30,LAL,NBA,C,67,66,2535,14.2,24.8,.574,0.0,0.0,,14.2,24.8,.574,9.2,14.8,.622,5.3,9.9,15.2,4.2,0.8,3.3,4.0,4.7,37.7,,117,102
2003-04,31,LAL,NBA,C,67,67,2464,11.7,20.0,.584,0.0,0.0,,11.7,20.0,.584,7.0,14.3,.490,5.2,11.0,16.2,4.1,0.7,3.5,4.1,4.7,30.4,,109,98
2004-05,32,MIA,NBA,C,73,73,2492,14.0,23.2,.601,0.0,0.0,,14.0,23.2,.601,7.5,16.2,.461,5.4,10.8,16.1,4.2,0.8,3.6,4.3,5.6,35.4,,111,100
2005-06,33,MIA,NBA,C,59,58,1806,13.9,23.2,.600,0.0,0.0,,13.9,23.2,.600,6.4,13.7,.469,5.0,10.7,15.7,3.3,0.7,3.0,4.9,6.7,34.3,,108,102
2006-07,34,MIA,NBA,C,40,39,1135,13.3,22.5,.591,0.0,0.0,,13.3,22.5,.591,5.8,13.8,.422,4.6,9.4,14.0,3.7,0.4,2.6,4.5,6.5,32.4,,105,104
2007-08,35,TOT,NBA,C,61,61,1748,9.8,16.4,.593,0.0,0.0,,9.8,16.4,.593,5.0,10.0,.503,4.9,11.4,16.3,2.7,0.9,2.6,5.3,6.7,24.5,,101,105
2007-08,35,MIA,NBA,C,33,33,945,10.8,18.5,.581,0.0,0.0,,10.8,18.5,.581,5.0,10.0,.494,5.6,8.9,14.5,2.5,1.1,3.0,5.5,7.5,26.5,,100,107
2007-08,35,PHO,NBA,C,28,28,803,8.7,14.2,.611,0.0,0.0,,8.7,14.2,.611,5.1,9.9,.513,4.1,14.2,18.3,3.0,0.8,2.1,5.1,5.8,22.4,,103,103
2008-09,36,PHO,NBA,C,75,75,2252,11.4,18.7,.609,0.0,0.0,.000,11.4,18.7,.610,6.9,11.5,.595,4.2,9.9,14.1,2.8,1.1,2.4,3.7,5.6,29.6,,117,109
2009-10,37,CLE,NBA,C,53,53,1240,11.1,19.6,.566,0.0,0.0,.000,11.1,19.6,.567,4.7,9.6,.496,3.9,11.1,15.0,3.4,0.6,2.6,4.4,7.2,27.0,,104,102
2010-11,38,BOS,NBA,C,37,36,752,9.5,14.2,.667,0.0,0.0,,9.5,14.2,.667,5.2,9.3,.557,3.4,9.2,12.6,1.8,1.1,3.0,4.0,8.5,24.1,,111,98
Career,,,NBA,,1207,1197,41918,14.0,24.0,.582,0.0,0.0,.045,14.0,23.9,.583,7.3,13.9,.527,5.2,10.9,16.1,3.7,0.9,3.4,4.1,5.1,35.2,,113,101
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 
seasons,,LAL,NBA,,514,509,19329,14.7,25.5,.575,0.0,0.0,.000,14.7,25.5,.576,8.0,15.0,.533,5.3,11.1,16.4,4.3,0.9,3.4,3.9,4.5,37.4,,114,99
4 
seasons,,ORL,NBA,,295,293,11164,14.5,25.0,.581,0.0,0.0,.091,14.5,25.0,.582,7.3,13.3,.546,5.6,11.1,16.7,3.2,1.1,3.7,4.0,4.8,36.3,,114,103
4 
seasons,,MIA,NBA,,205,203,6378,13.4,22.4,.596,0.0,0.0,,13.4,22.4,.596,6.5,14.2,.460,5.1,10.2,15.4,3.6,0.7,3.2,4.7,6.3,33.2,,108,102
2 
seasons,,PHO,NBA,,103,103,3055,10.7,17.5,.609,0.0,0.0,.000,10.7,17.5,.610,6.4,11.1,.576,4.2,11.0,15.2,2.8,1.0,2.3,4.1,5.7,27.7,,114,107
1 
season,,CLE,NBA,,53,53,1240,11.1,19.6,.566,0.0,0.0,.000,11.1,19.6,.567,4.7,9.6,.496,3.9,11.1,15.0,3.4,0.6,2.6,4.4,7.2,27.0,,104,102
1 
season,,BOS,NBA,,37,36,752,9.5,14.2,.667,0.0,0.0,,9.5,14.2,.667,5.2,9.3,.557,3.4,9.2,12.6,1.8,1.1,3.0,4.0,8.5,24.1,,111,98
