Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1999-00,21,PHO,NBA,SF,51,38,1260,9.0,19.1,.471,0.2,0.9,.182,8.8,18.2,.486,2.9,3.4,.847,4.3,9.2,13.5,2.8,1.5,2.1,2.1,4.6,21.1,,107,97
2000-01,22,PHO,NBA,SF,79,79,2857,10.0,20.9,.480,0.4,1.5,.256,9.7,19.4,.497,4.2,5.2,.810,4.0,11.3,15.3,2.9,2.4,1.9,2.3,3.8,24.7,,109,93
2001-02,23,PHO,NBA,SF,81,81,3109,11.0,23.6,.469,0.8,2.1,.393,10.2,21.5,.476,3.2,3.8,.845,3.6,10.0,13.6,2.7,2.5,1.5,2.4,3.6,26.1,,107,100
2002-03,24,PHO,NBA,SF,81,81,3373,10.3,22.8,.452,2.2,5.7,.387,8.1,17.1,.473,3.9,4.6,.851,3.1,8.9,12.0,3.1,2.9,1.5,2.4,3.2,26.7,,111,98
2003-04,25,PHO,NBA,SF,79,79,3217,9.5,21.6,.440,1.4,4.3,.340,8.1,17.3,.465,3.7,4.3,.851,3.4,8.5,11.9,3.4,2.7,1.7,2.5,3.3,24.1,,107,102
2004-05,26,PHO,NBA,PF,81,81,3146,9.8,20.5,.476,1.8,5.4,.334,7.9,15.1,.526,3.6,4.4,.833,3.7,10.8,14.6,2.4,2.6,1.9,2.0,3.2,25.0,,116,101
2005-06,27,PHO,NBA,PF,81,81,3263,11.0,21.0,.525,1.5,4.5,.331,9.5,16.5,.577,3.7,4.6,.809,3.8,10.9,14.7,2.2,2.5,2.1,1.9,3.4,27.2,,118,100
2006-07,28,PHO,NBA,SF,80,80,3010,9.4,17.9,.524,1.3,4.2,.317,8.0,13.7,.587,3.4,4.1,.810,2.9,10.2,13.1,2.2,2.6,2.0,1.9,3.6,23.4,,118,100
2007-08,29,TOT,NBA,PF,63,62,2315,8.7,17.2,.508,1.4,4.3,.333,7.3,12.9,.567,2.3,3.3,.707,3.0,11.1,14.0,3.0,2.7,1.9,1.9,3.3,21.2,,113,102
2007-08,29,PHO,NBA,PF,47,47,1713,8.8,16.8,.526,1.7,4.8,.347,7.1,11.9,.599,2.2,3.1,.713,2.5,11.0,13.5,2.8,2.8,2.0,1.4,3.4,21.5,,119,102
2007-08,29,MIA,NBA,PF,16,15,602,8.5,18.5,.459,0.7,2.7,.258,7.8,15.7,.494,2.6,3.7,.690,4.4,11.4,15.8,3.5,2.7,1.3,3.3,2.9,20.2,,99,104
2008-09,30,TOT,NBA,SF,69,68,2470,8.2,16.9,.485,0.2,1.1,.189,8.0,15.7,.506,2.5,3.1,.796,3.9,8.8,12.6,3.0,1.9,1.4,2.2,2.8,19.1,,107,106
2008-09,30,MIA,NBA,SF,42,41,1516,7.6,15.7,.482,0.3,1.4,.200,7.3,14.3,.510,2.4,3.0,.788,3.8,9.1,12.9,2.7,2.0,1.6,2.0,3.2,17.8,,109,105
2008-09,30,TOR,NBA,SF,27,27,954,9.1,18.7,.488,0.1,0.7,.154,9.0,18.0,.502,2.7,3.4,.806,4.0,8.3,12.3,3.4,1.7,1.1,2.7,2.2,21.1,,105,108
2009-10,31,DAL,NBA,SF,75,75,2385,8.6,16.9,.508,0.1,0.4,.158,8.5,16.5,.516,2.3,3.0,.755,3.4,6.9,10.4,2.3,1.5,1.3,2.2,3.1,19.5,,107,106
2010-11,32,DAL,NBA,SF,80,27,2253,10.1,19.5,.520,0.1,0.8,.152,10.0,18.7,.536,2.9,3.8,.768,3.9,8.9,12.9,2.6,1.6,1.2,3.0,3.4,23.3,,107,103
2011-12,33,DAL,NBA,SF,63,63,1919,7.9,17.7,.446,0.5,1.9,.294,7.3,15.8,.464,2.0,2.5,.796,4.0,8.8,12.7,3.6,1.8,1.0,2.7,2.4,18.3,,100,102
2012-13,34,DAL,NBA,PF,67,67,2010,9.0,17.5,.514,0.6,1.9,.315,8.4,15.7,.538,2.0,2.6,.782,3.7,9.6,13.3,4.1,1.9,1.2,2.6,2.8,20.6,,109,104
