Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1997-98,18,TOR,NBA,SF,64,17,1179,7.9,17.5,.450,0.6,1.8,.341,7.3,15.7,.462,3.5,4.9,.712,4.6,7.2,11.8,4.3,2.2,2.7,2.9,3.8,19.8,,106,109
1998-99,19,TOR,NBA,SF,49,2,1106,8.2,18.8,.436,0.4,1.7,.229,7.8,17.1,.457,5.6,7.7,.726,5.9,7.7,13.6,5.5,2.5,3.2,3.9,4.6,22.4,,106,100
1999-00,20,TOR,NBA,SF,79,34,2462,9.7,21.5,.451,0.4,1.4,.277,9.3,20.1,.463,5.8,8.3,.707,4.0,6.6,10.6,5.5,1.9,3.2,3.4,4.2,25.6,,106,103
2000-01,21,ORL,NBA,SG,77,77,3087,13.2,28.8,.457,1.0,2.8,.355,12.2,26.0,.468,7.2,9.8,.733,3.2,6.5,9.7,5.9,1.9,2.0,3.3,2.7,34.5,,109,101
2001-02,22,ORL,NBA,SG,76,76,2912,12.6,28.1,.451,1.8,5.0,.364,10.8,23.0,.470,7.3,9.8,.748,2.7,7.9,10.6,7.1,2.1,1.3,3.3,2.5,34.5,,111,103
2002-03,23,ORL,NBA,SG,75,74,2954,14.5,31.6,.457,3.0,7.8,.386,11.5,23.8,.481,10.1,12.7,.793,2.1,6.4,8.5,7.2,2.2,1.0,3.4,2.7,42.0,,116,104
2003-04,24,ORL,NBA,SG,67,67,2675,12.9,30.9,.417,3.4,10.1,.339,9.5,20.8,.455,7.9,9.9,.796,1.9,6.1,7.9,7.3,1.8,0.8,3.5,2.5,37.1,,110,110
2004-05,25,HOU,NBA,SF,78,78,3182,12.2,28.2,.431,2.4,7.4,.326,9.7,20.8,.468,7.3,9.5,.774,1.2,7.0,8.2,7.6,2.3,0.9,3.4,2.8,34.0,,109,101
2005-06,26,HOU,NBA,SF,47,47,1745,12.8,31.6,.406,2.3,7.3,.312,10.5,24.3,.434,7.9,10.6,.747,1.4,8.2,9.6,7.0,1.8,1.3,3.7,2.7,35.8,,102,102
2006-07,27,HOU,NBA,SG,71,71,2539,13.3,30.8,.431,2.6,7.9,.331,10.7,22.9,.466,7.2,10.2,.707,1.2,6.7,7.9,9.5,1.9,0.8,4.4,2.8,36.4,,106,100
2007-08,28,HOU,NBA,SG,66,62,2440,11.9,28.5,.419,1.9,6.4,.292,10.1,22.0,.457,5.3,7.8,.684,0.9,6.5,7.4,8.4,1.5,0.7,3.5,2.0,31.1,,104,103
2008-09,29,HOU,NBA,SG,35,35,1181,8.5,21.9,.388,2.0,5.3,.376,6.5,16.6,.391,5.6,7.0,.801,0.9,6.0,6.9,7.9,1.9,0.7,3.1,1.7,24.6,,105,104
2009-10,30,TOT,NBA,SG,30,24,673,6.9,17.8,.387,1.2,4.9,.250,5.7,13.0,.439,3.6,4.8,.746,1.7,5.5,7.1,7.5,1.1,1.1,3.3,3.0,18.6,,98,112
2009-10,30,HOU,NBA,SG,6,0,46,7.8,21.1,.368,1.1,2.2,.500,6.7,18.9,.353,4.4,6.7,.667,0.0,5.5,5.5,6.7,0.0,2.2,1.1,2.2,21.1,,101,110
2009-10,30,NYK,NBA,SG,24,24,627,6.8,17.6,.389,1.2,5.1,.242,5.6,12.5,.448,3.5,4.6,.754,1.8,5.5,7.3,7.6,1.2,1.0,3.5,3.1,18.4,,98,113
2010-11,31,DET,NBA,SG,72,39,1686,7.2,16.4,.442,1.0,2.8,.341,6.3,13.6,.462,2.9,4.1,.698,1.6,6.5,8.0,8.0,2.1,1.1,3.3,3.2,18.3,,104,110
2011-12,32,ATL,NBA,SF,52,0,837,6.4,14.7,.437,1.0,2.1,.455,5.5,12.6,.434,3.6,5.3,.675,1.5,8.3,9.8,7.0,1.0,1.0,3.4,2.2,17.4,,102,102
Career,,,NBA,,938,703,30658,11.5,26.5,.435,1.9,5.5,.338,9.7,21.0,.461,6.7,8.9,.746,2.2,6.8,9.1,7.1,2.0,1.4,3.5,2.9,31.6,,108,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6 
seasons,,HOU,NBA,,303,293,11133,12.1,28.7,.420,2.3,7.0,.322,9.8,21.6,.452,6.8,9.2,.737,1.1,6.9,8.0,8.2,1.9,0.8,3.7,2.5,33.1,,105,102
4 
seasons,,ORL,NBA,,295,294,11628,13.3,29.8,.446,2.3,6.3,.361,11.0,23.5,.469,8.1,10.6,.768,2.5,6.7,9.2,6.8,2.0,1.3,3.4,2.6,37.0,,112,104
3 
seasons,,TOR,NBA,,192,53,4747,8.9,19.9,.448,0.4,1.6,.284,8.5,18.3,.461,5.2,7.3,.712,4.6,7.0,11.6,5.2,2.1,3.1,3.4,4.2,23.4,,106,104
1 
season,,DET,NBA,,72,39,1686,7.2,16.4,.442,1.0,2.8,.341,6.3,13.6,.462,2.9,4.1,.698,1.6,6.5,8.0,8.0,2.1,1.1,3.3,3.2,18.3,,104,110
1 
season,,ATL,NBA,,52,0,837,6.4,14.7,.437,1.0,2.1,.455,5.5,12.6,.434,3.6,5.3,.675,1.5,8.3,9.8,7.0,1.0,1.0,3.4,2.2,17.4,,102,102
1 
season,,NYK,NBA,,24,24,627,6.8,17.6,.389,1.2,5.1,.242,5.6,12.5,.448,3.5,4.6,.754,1.8,5.5,7.3,7.6,1.2,1.0,3.5,3.1,18.4,,98,113
