Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
1998-99,22,TOR,NBA,SF,50,49,1760,345,766,.450,19,66,.288,326,700,.466,.463,204,268,.761,94,189,283,149,55,77,110,140,913,,0
1999-00,23,TOR,NBA,SF,82,82,3126,788,1696,.465,95,236,.403,693,1460,.475,.493,436,551,.791,150,326,476,322,110,92,178,263,2107,,1
2000-01,24,TOR,NBA,SF,75,75,2979,762,1656,.460,162,397,.408,600,1259,.477,.509,384,502,.765,176,240,416,291,114,82,167,205,2070,,0
2001-02,25,TOR,NBA,SG,60,60,2385,559,1307,.428,121,313,.387,438,994,.441,.474,245,307,.798,138,175,313,239,94,43,154,191,1484,,0
2002-03,26,TOR,NBA,SG,43,42,1471,355,760,.467,45,131,.344,310,629,.493,.497,129,160,.806,59,129,188,143,48,41,74,121,884,,0
2003-04,27,TOR,NBA,SG,73,73,2785,608,1457,.417,93,243,.383,515,1214,.424,.449,336,417,.806,95,254,349,348,88,65,223,212,1645,,0
2004-05,28,TOT,NBA,SFSG,77,76,2828,696,1541,.452,127,313,.406,569,1228,.463,.493,367,460,.798,106,295,401,327,109,48,168,243,1886,,0
2004-05,28,TOR,NBA,SG,20,20,608,124,302,.411,19,59,.322,105,243,.432,.442,50,72,.694,28,38,66,61,25,15,22,56,317,,0
2004-05,28,NJN,NBA,SF,57,56,2220,572,1239,.462,108,254,.425,464,985,.471,.505,317,388,.817,78,257,335,266,84,33,146,187,1569,,0
2005-06,29,NJN,NBA,SG,79,79,2906,653,1518,.430,125,367,.341,528,1151,.459,.471,480,601,.799,135,327,462,338,94,53,213,235,1911,,1
2006-07,30,NJN,NBA,SG,82,82,3126,726,1598,.454,156,437,.357,570,1161,.491,.503,462,576,.802,114,378,492,393,82,30,217,266,2070,,2
2007-08,31,NJN,NBA,SG,76,72,2959,587,1287,.456,98,273,.359,489,1014,.482,.494,350,429,.816,112,341,453,389,93,33,181,241,1622,,0
2008-09,32,NJN,NBA,SG,80,80,2946,588,1345,.437,151,392,.385,437,953,.459,.493,335,410,.817,74,336,410,376,82,38,166,234,1662,,1
2009-10,33,ORL,NBA,SG,75,74,2310,434,1015,.428,119,324,.367,315,691,.456,.486,257,306,.840,33,260,293,236,53,18,106,189,1244,,0
2010-11,34,TOT,NBA,SG,73,63,2051,389,891,.437,116,321,.361,273,570,.479,.502,128,173,.740,54,221,275,146,67,20,90,193,1022,,0
2010-11,34,ORL,NBA,SG,22,22,664,125,266,.470,27,78,.346,98,188,.521,.521,56,75,.747,11,79,90,64,20,3,36,70,333,,0
2010-11,34,PHO,NBA,SG,51,41,1387,264,625,.422,89,243,.366,175,382,.458,.494,72,98,.735,43,142,185,82,47,17,54,123,689,,0
2011-12,35,DAL,NBA,SG,61,40,1542,223,542,.411,74,205,.361,149,337,.442,.480,95,115,.826,32,173,205,139,56,25,84,134,615,,0
2012-13,36,DAL,NBA,SF,81,3,2093,372,855,.435,162,399,.406,210,456,.461,.530,182,223,.816,58,276,334,194,74,44,106,226,1088,,0
2013-14,37,DAL,NBA,SG,81,0,1973,330,811,.407,146,371,.394,184,440,.418,.497,161,196,.821,67,217,284,212,61,35,108,209,967,,0
2014-15,38,MEM,NBA,SG,66,1,1091,135,406,.333,69,232,.297,66,174,.379,.417,45,57,.789,27,106,133,79,43,14,43,102,384,,0
2015-16,39,MEM,NBA,SG,60,3,1005,133,343,.388,59,169,.349,74,174,.425,.474,70,84,.833,31,115,146,56,38,16,35,101,395,,0
2016-17,40,MEM,NBA,SF,73,15,1799,193,490,.394,112,296,.378,81,194,.418,.508,88,115,.765,36,191,227,133,60,36,50,163,586,,0
2017-18,41,SAC,NBA,SF,58,4,1026,114,283,.403,57,165,.345,57,118,.483,.504,28,37,.757,18,130,148,69,42,26,36,96,313,,0
2018-19,42,ATL,NBA,PF,76,9,1330,196,468,.419,123,316,.389,73,152,.480,.550,47,66,.712,31,163,194,87,44,27,48,141,562,,0
2019-20,43,ATL,NBA,PF,60,0,876,107,304,.352,61,202,.302,46,102,.451,.452,23,29,.793,18,106,124,48,23,25,33,90,298,,0
Career,,,NBA,,1541,982,46367,9293,21339,.435,2290,6168,.371,7003,15171,.462,.489,4852,6082,.798,1658,4948,6606,4714,1530,888,2590,3995,25728,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,TOR,NBA,,403,401,15114,3541,7944,.446,554,1445,.383,2987,6499,.460,.481,1784,2277,.783,740,1351,2091,1553,534,415,928,1188,9420,,1
5 
seasons,,NJN,NBA,,374,369,14157,3126,6987,.447,638,1723,.370,2488,5264,.473,.493,1944,2404,.809,513,1639,2152,1762,435,187,923,1163,8834,,4
3 
seasons,,DAL,NBA,,223,43,5608,925,2208,.419,382,975,.392,543,1233,.440,.505,438,534,.820,157,666,823,545,191,104,298,569,2670,,0
3 
seasons,,MEM,NBA,,199,19,3895,461,1239,.372,240,697,.344,221,542,.408,.469,203,256,.793,94,412,506,268,141,66,128,366,1365,,0
2 
seasons,,ATL,NBA,,136,9,2206,303,772,.392,184,518,.355,119,254,.469,.512,70,95,.737,49,269,318,135,67,52,81,231,860,,0
2 
seasons,,ORL,NBA,,97,96,2974,559,1281,.436,146,402,.363,413,879,.470,.493,313,381,.822,44,339,383,300,73,21,142,259,1577,,0
1 
season,,SAC,NBA,,58,4,1026,114,283,.403,57,165,.345,57,118,.483,.504,28,37,.757,18,130,148,69,42,26,36,96,313,,0
1 
season,,PHO,NBA,,51,41,1387,264,625,.422,89,243,.366,175,382,.458,.494,72,98,.735,43,142,185,82,47,17,54,123,689,,0
