"Notes"	"County"	"County Code"	"Race"	"Race Code"	"Gender"	"Gender Code"	"Year"	"Year Code"	Deaths	Population	Crude Rate
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1979"	"1979"	5	596	838.9 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1980"	"1980"	6	622	964.6 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1981"	"1981"	12	647	1854.7 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1982"	"1982"	5	666	750.8 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1983"	"1983"	6	682	879.8 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1984"	"1984"	10	691	1447.2 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1985"	"1985"	4	702	569.8 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1986"	"1986"	7	720	972.2 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1987"	"1987"	7	739	947.2 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"	"1988"	"1988"	10	762	1312.3 (Unreliable)
"Total"	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Female"	"F"			72	6827	1054.6
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1979"	"1979"	8	461	1735.4 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1980"	"1980"	8	470	1702.1 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1981"	"1981"	10	479	2087.7 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1982"	"1982"	5	490	1020.4 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1983"	"1983"	8	499	1603.2 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1984"	"1984"	9	502	1792.8 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1985"	"1985"	9	510	1764.7 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1986"	"1986"	11	521	2111.3 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1987"	"1987"	7	535	1308.4 (Unreliable)
	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"	"1988"	"1988"	11	551	1996.4 (Unreliable)
"Total"	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"	"Male"	"M"			86	5018	1713.8
"Total"	"Alamance County, NC"	"37001"	"Black or African American"	"2054-5"					158	11845	1333.9
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1979"	"1979"	32	3724	859.3
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1980"	"1980"	28	3831	730.9
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1981"	"1981"	26	3933	661.1
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1982"	"1982"	25	4030	620.3
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1983"	"1983"	38	4107	925.2
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1984"	"1984"	37	4146	892.4
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1985"	"1985"	33	4203	785.2
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1986"	"1986"	33	4307	766.2
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1987"	"1987"	30	4423	678.3
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"	"1988"	"1988"	26	4509	576.6
"Total"	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Female"	"F"			308	41213	747.3
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1979"	"1979"	58	2527	2295.2
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1980"	"1980"	60	2608	2300.6
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1981"	"1981"	65	2703	2404.7
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1982"	"1982"	41	2798	1465.3
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1983"	"1983"	56	2882	1943.1
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1984"	"1984"	56	2937	1906.7
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1985"	"1985"	41	3014	1360.3
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1986"	"1986"	48	3129	1534.0
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1987"	"1987"	47	3244	1448.8
	"Alamance County, NC"	"37001"	"White"	"2106-3"	"Male"	"M"	"1988"	"1988"	50	3338	1497.9
