"Player","Season","Games_Missed_Frequency_Career"
"Aaron Gordon","2015-16",0.426829268292683
"Aaron Gordon","2016-17",0.23780487804878
"Aaron Gordon","2017-18",0.166666666666667
"Aaron Gordon","2018-19",0.198170731707317
"Aaron Gordon","2019-20",0.168292682926829
"Aaron Gordon","2020-21",0.157349896480331
"Aaron Gordon","2021-22",0.176576576576577
"Aaron Gordon","2022-23",0.163265306122449
"Aaron Nesmith","2022-23",0.123376623376623
"Al Horford","2014-15",0.236559139784946
"Al Horford","2015-16",0.215625
"Al Horford","2016-17",0.191135734072022
"Al Horford","2017-18",0.189054726368159
"Al Horford","2018-19",0.181715575620767
"Al Horford","2019-20",0.180785123966942
"Al Horford","2020-21",0.170989433237272
"Al Horford","2021-22",0.165318957771788
"Al Horford","2022-23",0.163179916317992
"Al Jefferson","2013-14",0.11376404494382
"Al Jefferson","2014-15",0.113350125944584
"Al Jefferson","2015-16",0.121004566210046
"Al-Farouq Aminu","2013-14",0
"Al-Farouq Aminu","2015-16",0.0050761421319797
"Al-Farouq Aminu","2017-18",0.039426523297491
"Al-Farouq Aminu","2018-19",0.0546875
"Alec Burks","2021-22",0.175126903553299
"Alex Caruso","2017-18",NA
"Alex Caruso","2021-22",0.186274509803922
"Alex Len","2014-15",0.0853658536585366
"Alex Len","2015-16",0.121951219512195
"Alex Len","2016-17",0.0934959349593496
"Alex Len","2020-21",0.0971731448763251
"Alexis Ajinca","2016-17",0
"Allen Crabbe","2017-18",0.13109756097561
"Alonzo Gee","2015-16",0.0317848410757946
"Alperen Sengun","2022-23",0.121951219512195
"Amir Johnson","2013-14",0.117370892018779
"Amir Johnson","2014-15",0.110957004160888
"Amir Johnson","2015-16",0.108343711083437
"Amir Johnson","2016-17",0.101694915254237
"Anderson Varejao","2013-14",0.256559766763848
"Andre Drummond","2013-14",0.268292682926829
"Andre Drummond","2014-15",0.140243902439024
"Andre Drummond","2015-16",0.0934959349593496
"Andre Drummond","2016-17",0.0701219512195122
"Andre Drummond","2017-18",0.0585365853658537
"Andre Drummond","2018-19",0.0548780487804878
"Andre Drummond","2019-20",0.0522648083623693
"Andre Drummond","2021-22",0.0874471086036671
"Andre Iguodala","2013-14",0.0332409972299169
"Andre Roberson","2014-15",0.170731707317073
"Andre Roberson","2015-16",0.176829268292683
"Andre Roberson","2016-17",0.166666666666667
"Andre Roberson","2017-18",0.13109756097561
"Andrea Bargnani","2013-14",0.214028776978417
"Andrew Bogut","2014-15",0.291034482758621
"Andrew Bogut","2015-16",0.280049566294919
"Andrew Harrison","2017-18",0.0365853658536585
"Andrew Nembhard","2022-23",NA
"Andrew Wiggins","2014-15",NA
"Andrew Wiggins","2015-16",0
"Andrew Wiggins","2016-17",0.00609756097560976
"Andrew Wiggins","2017-18",0.0040650406504065
"Andrew Wiggins","2018-19",0.00304878048780488
"Andrew Wiggins","2019-20",0.024390243902439
"Andrew Wiggins","2020-21",0.040169133192389
"Andrew Wiggins","2021-22",0.036697247706422
"Andrew Wiggins","2022-23",0.0446570972886762
"Anfernee Simons","2021-22",0.00436681222707424
"Anfernee Simons","2022-23",0.0803858520900322
"Anthony Davis","2013-14",0.207317073170732
"Anthony Davis","2014-15",0.189024390243902
"Anthony Davis","2015-16",0.182926829268293
"Anthony Davis","2016-17",0.198170731707317
"Anthony Davis","2017-18",0.173170731707317
"Anthony Davis","2018-19",0.158536585365854
"Anthony Davis","2019-20",0.179442508710801
"Anthony Davis","2020-21",0.172093023255814
"Anthony Davis","2021-22",0.205020920502092
"Anthony Davis","2022-23",0.235294117647059
"Anthony Edwards","2020-21",NA
"Anthony Edwards","2021-22",0
