"Season","Team","Position","Player","Age","MPG","G"
"2015-16","Orlando Magic","PF","Aaron Gordon",20,23.9,78
"2016-17","Orlando Magic","PF","Aaron Gordon",21,28.7,80
"2017-18","Orlando Magic","PF","Aaron Gordon",22,32.9,58
"2018-19","Orlando Magic","SF","Aaron Gordon",23,33.8,78
"2019-20","Orlando Magic","SF","Aaron Gordon",24,32.5,62
"2020-21","Denver Nuggets","PF","Aaron Gordon",25,27.7,50
"2021-22","Denver Nuggets","SF","Aaron Gordon",26,31.7,75
"2022-23","Denver Nuggets","PF","Aaron Gordon",27,30.2,68
"2022-23","Indiana Pacers","PF","Aaron Nesmith",23,24.9,73
"2014-15","Atlanta Hawks","C","Al Horford",28,30.5,76
"2015-16","Atlanta Hawks","C","Al Horford",29,32.1,82
"2016-17","Boston Celtics","C","Al Horford",30,32.3,68
"2017-18","Boston Celtics","PF","Al Horford",31,31.6,72
"2018-19","Boston Celtics","C","Al Horford",32,29,68
"2019-20","Philadelphia 76ers","PF","Al Horford",33,30.2,67
"2020-21","Oklahoma City Thunder","C","Al Horford",34,27.9,28
"2021-22","Boston Celtics","PF","Al Horford",35,29.1,69
"2022-23","Boston Celtics","PF","Al Horford",36,30.5,63
"2013-14","Charlotte Hornets","C","Al Jefferson",29,35,73
"2014-15","Charlotte Hornets","C","Al Jefferson",30,30.6,65
"2015-16","Charlotte Hornets","C","Al Jefferson",31,23.3,47
"2013-14","New Orleans Pelicans","PF","Al-Farouq Aminu",23,25.6,80
"2015-16","Portland Trail Blazers","SF","Al-Farouq Aminu",25,28.5,82
"2017-18","Portland Trail Blazers","C","Al-Farouq Aminu",27,30,69
"2018-19","Portland Trail Blazers","PF","Al-Farouq Aminu",28,28.3,81
"2021-22","New York Knicks","PG","Alec Burks",30,28.6,81
"2017-18","Los Angeles Lakers","PG","Alex Caruso",23,15.2,37
"2021-22","Chicago Bulls","PG","Alex Caruso",27,28,41
"2014-15","Phoenix Suns","C","Alex Len",21,22,69
"2015-16","Phoenix Suns","C","Alex Len",22,23.3,78
"2016-17","Phoenix Suns","C","Alex Len",23,20.3,77
"2020-21","Washington Wizards","C","Alex Len",27,15.3,64
"2016-17","New Orleans Pelicans","C","Alexis Ajinca",28,15,39
"2017-18","Brooklyn Nets","SF","Allen Crabbe",25,29.3,75
"2015-16","New Orleans Pelicans","SG","Alonzo Gee",28,22.4,73
"2022-23","Houston Rockets","C","Alperen Sengun",20,28.9,75
"2013-14","Toronto Raptors","PF","Amir Johnson",26,28.8,77
"2014-15","Toronto Raptors","PF","Amir Johnson",27,26.4,75
"2015-16","Boston Celtics","C","Amir Johnson",28,22.8,79
"2016-17","Boston Celtics","PF","Amir Johnson",29,20.1,80
"2013-14","Cleveland Cavaliers","C","Anderson Varejao",31,27.7,65
"2013-14","Detroit Pistons","C","Andre Drummond",20,32.3,81
"2014-15","Detroit Pistons","C","Andre Drummond",21,30.5,82
"2015-16","Detroit Pistons","C","Andre Drummond",22,32.9,81
"2016-17","Detroit Pistons","C","Andre Drummond",23,29.7,81
"2017-18","Detroit Pistons","C","Andre Drummond",24,33.7,78
"2018-19","Detroit Pistons","C","Andre Drummond",25,33.5,79
"2019-20","Cleveland Cavaliers","C","Andre Drummond",26,33,57
"2021-22","Brooklyn Nets","C","Andre Drummond",28,19.7,73
"2013-14","Golden State Warriors","SF","Andre Iguodala",30,32.4,63
"2014-15","Oklahoma City Thunder","SG","Andre Roberson",23,19.2,67
"2015-16","Oklahoma City Thunder","SG","Andre Roberson",24,22.2,70
"2016-17","Oklahoma City Thunder","SF","Andre Roberson",25,30.1,79
"2017-18","Oklahoma City Thunder","SG","Andre Roberson",26,26.6,39
"2013-14","New York Knicks","PF","Andrea Bargnani",28,29.9,42
"2014-15","Golden State Warriors","C","Andrew Bogut",30,23.6,67
"2015-16","Golden State Warriors","C","Andrew Bogut",31,20.7,70
"2017-18","Memphis Grizzlies","PG","Andrew Harrison",23,23.7,56
"2022-23","Indiana Pacers","SG","Andrew Nembhard",23,27.6,75
"2014-15","Minnesota Timberwolves","SF","Andrew Wiggins",19,36.2,82
"2015-16","Minnesota Timberwolves","SG","Andrew Wiggins",20,35.1,81
"2016-17","Minnesota Timberwolves","SF","Andrew Wiggins",21,37.2,82
"2017-18","Minnesota Timberwolves","SF","Andrew Wiggins",22,36.3,82
"2018-19","Minnesota Timberwolves","SF","Andrew Wiggins",23,34.8,73
"2019-20","Golden State Warriors","SG","Andrew Wiggins",24,34.4,54
"2020-21","Golden State Warriors","SG","Andrew Wiggins",25,33.3,71
"2021-22","Golden State Warriors","SF","Andrew Wiggins",26,31.9,73
"2022-23","Golden State Warriors","PF","Andrew Wiggins",27,32.2,37
"2021-22","Portland Trail Blazers","SG","Anfernee Simons",22,29.5,57
"2022-23","Portland Trail Blazers","SG","Anfernee Simons",23,35,62
"2013-14","New Orleans Pelicans","C","Anthony Davis",20,35.2,67
"2014-15","New Orleans Pelicans","PF","Anthony Davis",21,36.1,68
"2015-16","New Orleans Pelicans","PF","Anthony Davis",22,35.5,61
"2016-17","New Orleans Pelicans","SF","Anthony Davis",23,36.1,75
"2017-18","New Orleans Pelicans","PF","Anthony Davis",24,36.4,75
"2018-19","New Orleans Pelicans","C","Anthony Davis",25,33,56
"2019-20","Los Angeles Lakers","PF","Anthony Davis",26,34.4,62
"2020-21","Los Angeles Lakers","PF","Anthony Davis",27,32.3,36
"2021-22","Los Angeles Lakers","C","Anthony Davis",28,35.1,40
"2022-23","Los Angeles Lakers","C","Anthony Davis",29,34,56
