"Date","Team","Acquired","Relinquished","Notes","Player","Season"
2015-12-08,"Magic","","• Aaron Gordon","ankle injury (DTD)","Aaron Gordon","2015-16"
2015-12-09,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2015-16"
2016-04-07,"Magic","","• Aaron Gordon","concussion (DTD)","Aaron Gordon","2015-16"
2016-04-08,"Magic","","• Aaron Gordon","placed on IL with concussion","Aaron Gordon","2015-16"
2016-04-13,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2015-16"
2017-02-08,"Magic","","• Aaron Gordon","bone bruise in right foot (DTD)","Aaron Gordon","2016-17"
2017-02-13,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2016-17"
2017-10-20,"Magic","","• Aaron Gordon","placed on IL with sore left ankle","Aaron Gordon","2017-18"
2017-10-24,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2017-18"
2017-12-09,"Magic","","• Aaron Gordon","concussion (DTD)","Aaron Gordon","2017-18"
2017-12-13,"Magic","","• Aaron Gordon","placed on IL with concussion","Aaron Gordon","2017-18"
2017-12-15,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2017-18"
2017-12-16,"Magic","","• Aaron Gordon","strained right calf (DTD)","Aaron Gordon","2017-18"
2017-12-17,"Magic","","• Aaron Gordon","placed on IL with strained right calf (DTD)","Aaron Gordon","2017-18"
2017-12-28,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2017-18"
2018-01-30,"Magic","","• Aaron Gordon","strained left hip flexor (DTD)","Aaron Gordon","2017-18"
2018-02-22,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2017-18"
2018-03-09,"Magic","","• Aaron Gordon","concussion (DTD)","Aaron Gordon","2017-18"
2018-03-19,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2017-18"
2018-04-06,"Magic","","• Aaron Gordon","sore right calf (DTD)","Aaron Gordon","2017-18"
2018-04-08,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2017-18"
2018-11-11,"Magic","","• Aaron Gordon","placed on IL with sprained left ankle","Aaron Gordon","2018-19"
2018-11-12,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2018-19"
2018-11-28,"Magic","","• Aaron Gordon","placed on IL with tightness in lower back","Aaron Gordon","2018-19"
2018-11-30,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2018-19"
2019-01-19,"Magic","","• Aaron Gordon","sore lower back (DTD)","Aaron Gordon","2018-19"
2019-01-21,"Magic","","• Aaron Gordon","placed on IL with sore lower back","Aaron Gordon","2018-19"
2019-01-23,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2018-19"
2019-11-21,"Magic","","• Aaron Gordon","bruised right ankle (out indefinitely)","Aaron Gordon","2019-20"
2019-11-23,"Magic","","• Aaron Gordon","placed on IL with bruised right ankle","Aaron Gordon","2019-20"
2019-11-29,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2019-12-30,"Magic","","• Aaron Gordon","placed on IL with left Achilles injury","Aaron Gordon","2019-20"
2020-01-03,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2020-01-10,"Magic","","• Aaron Gordon","placed on IL with right calf injury","Aaron Gordon","2019-20"
2020-01-13,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2020-03-02,"Magic","","• Aaron Gordon","placed on IL with right knee inflammation","Aaron Gordon","2019-20"
2020-03-04,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2019-20"
2021-01-08,"Magic","","• Aaron Gordon","left hamstring injury (DTD)","Aaron Gordon","2020-21"
2021-01-09,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2020-21"
2021-01-24,"Magic","","• Aaron Gordon","hip injury (DTD)","Aaron Gordon","2020-21"
2021-01-25,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2020-21"
2021-02-01,"Magic","","• Aaron Gordon","placed on IL with sprained left ankle","Aaron Gordon","2020-21"
2021-03-11,"Magic","• Aaron Gordon","","activated from IL","Aaron Gordon","2020-21"
2021-03-12,"Magic","","• Aaron Gordon","left ankle injury (DTD)","Aaron Gordon","2020-21"
2021-03-18,"Magic","• Aaron Gordon","","returned to lineup","Aaron Gordon","2020-21"
2021-03-26,"Nuggets","","• Aaron Gordon","placed on IL with NBA health and safety protocols","Aaron Gordon","2020-21"
