Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,21,PHI,NBA,PG,76,74,3045,10.3,24.9,.416,2.6,7.5,.341,7.8,17.4,.448,6.3,9.0,.702,1.9,3.3,5.2,9.4,2.6,0.4,5.6,3.9,29.6,,104,112
1997-98,22,PHI,NBA,PG,80,80,3150,10.9,23.7,.461,1.2,4.0,.298,9.8,19.7,.494,6.6,9.0,.729,1.4,3.5,5.0,8.3,3.0,0.4,4.1,3.4,29.6,,109,106
1998-99,23,PHI,NBA,SG,48,48,1990,11.8,28.7,.412,1.6,5.4,.291,10.3,23.3,.440,9.7,12.9,.751,1.8,4.6,6.4,6.1,3.0,0.2,4.5,2.7,34.9,,105,99
1999-00,24,PHI,NBA,SG,70,70,2853,13.2,31.5,.421,1.6,4.7,.341,11.6,26.7,.435,8.0,11.3,.713,1.3,3.6,4.8,6.0,2.6,0.1,4.2,2.9,36.1,,101,102
2000-01,25,PHI,NBA,SG,71,71,2979,13.6,32.2,.420,1.7,5.4,.320,11.8,26.8,.441,10.4,12.8,.814,0.9,4.0,4.9,5.8,3.2,0.4,4.2,2.6,39.3,,106,99
2001-02,26,PHI,NBA,SG,60,59,2622,13.7,34.4,.398,1.6,5.5,.291,12.1,28.9,.419,9.8,12.0,.812,0.9,4.6,5.5,6.8,3.5,0.3,4.9,2.1,38.8,,101,100
2002-03,27,PHI,NBA,SG,82,82,3485,12.1,29.2,.414,1.3,4.6,.277,10.8,24.7,.440,8.6,11.1,.774,1.0,4.2,5.2,6.8,3.4,0.2,4.3,2.2,34.1,,103,102
2003-04,28,PHI,NBA,SG,48,47,2040,11.6,30.1,.387,1.5,5.3,.286,10.1,24.8,.408,9.1,12.2,.745,0.9,3.8,4.8,8.7,3.1,0.1,5.6,2.3,33.8,,96,102
2004-05,29,PHI,NBA,PG,75,75,3174,12.3,29.0,.424,1.7,5.4,.308,10.6,23.6,.451,10.4,12.5,.835,0.8,3.9,4.8,9.5,2.9,0.1,5.5,2.2,36.7,,105,105
2005-06,30,PHI,NBA,PG,72,72,3103,13.6,30.4,.447,1.2,3.7,.323,12.4,26.7,.465,11.3,13.8,.814,0.7,3.1,3.9,8.9,2.3,0.2,4.1,2.0,39.7,,111,110
