Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1984-85,21,PHI,NBA,PF,82,60,2347,8.7,15.9,.545,0.0,0.1,.167,8.6,15.8,.548,5.9,8.1,.733,5.4,8.9,14.3,3.1,1.9,1.6,4.2,6.1,23.3,,114,105
1985-86,22,PHI,NBA,PF,80,80,2952,9.6,16.8,.572,0.3,1.2,.227,9.4,15.6,.598,6.4,9.4,.685,5.7,10.9,16.6,5.0,2.8,2.0,5.7,5.4,25.9,,111,100
1986-87,23,PHI,NBA,PF,68,62,2740,10.0,16.9,.594,0.4,1.9,.202,9.7,15.0,.643,7.7,10.2,.761,7.0,10.9,17.9,6.0,2.1,1.9,5.8,4.5,28.2,,119,104
1987-88,24,PHI,NBA,PF,80,80,3170,11.9,20.2,.587,0.7,2.5,.280,11.2,17.8,.630,11.3,15.0,.751,6.1,8.9,15.0,4.0,1.6,1.6,4.8,4.4,35.7,,126,108
1988-89,25,PHI,NBA,PF,79,79,3088,11.0,19.1,.579,0.6,2.6,.216,10.5,16.5,.636,9.5,12.6,.753,6.4,9.2,15.6,5.1,2.0,1.1,4.0,4.1,32.1,,127,108
1989-90,26,PHI,NBA,SF,79,79,3085,11.4,19.0,.600,0.3,1.5,.217,11.1,17.5,.632,9.0,12.0,.749,5.8,8.8,14.7,4.9,2.4,0.8,3.9,4.0,32.1,,128,105
1990-91,27,PHI,NBA,SF,67,67,2498,13.4,23.4,.570,0.9,3.1,.284,12.5,20.3,.614,9.5,13.2,.722,5.2,8.5,13.7,5.7,2.2,0.7,4.2,3.5,37.1,,123,106
1991-92,28,PHI,NBA,SF,75,75,2881,11.1,20.0,.552,0.6,2.4,.234,10.5,17.6,.597,8.1,11.6,.695,4.8,9.9,14.8,5.5,2.4,0.8,4.2,3.5,30.8,,119,106
1992-93,29,PHO,NBA,PF,76,76,2859,12.0,23.1,.520,1.1,3.7,.305,10.9,19.4,.561,7.5,9.8,.765,4.0,11.6,15.6,6.5,2.0,1.2,3.9,3.3,32.7,,120,103
1993-94,30,PHO,NBA,PF,65,65,2298,11.2,22.6,.495,1.0,3.8,.270,10.1,18.7,.541,6.9,9.8,.704,4.3,11.4,15.7,6.4,2.2,0.8,4.4,3.5,30.3,,113,103
1994-95,31,PHO,NBA,PF,68,66,2382,11.6,24.0,.486,1.6,4.6,.338,10.1,19.4,.521,8.0,10.6,.748,4.3,11.6,15.9,5.8,2.3,0.9,3.2,4.2,32.8,,119,105
1995-96,32,PHO,NBA,PF,71,71,2632,11.3,22.7,.500,1.0,3.4,.280,10.4,19.3,.539,8.6,11.1,.777,4.8,11.3,16.1,5.1,2.2,1.1,4.3,4.1,32.3,,115,105
1996-97,33,HOU,NBA,PF,53,53,2009,8.7,18.0,.484,1.5,5.3,.283,7.2,12.7,.569,7.5,10.8,.694,5.5,13.1,18.7,6.5,1.8,0.7,3.9,4.0,26.5,,117,100
1997-98,34,HOU,NBA,PF,68,41,2243,8.5,17.5,.485,0.4,2.0,.214,8.1,15.5,.520,7.0,9.3,.746,5.7,13.0,18.7,5.1,1.7,0.7,3.5,4.4,24.4,,116,104
1998-99,35,HOU,NBA,PF,42,40,1526,8.5,17.8,.478,0.1,0.9,.160,8.4,16.9,.495,6.8,9.5,.719,5.9,12.4,18.3,6.8,1.5,0.5,3.5,3.2,23.9,,115,100
1999-00,36,HOU,NBA,PF,20,18,620,8.7,18.2,.477,0.5,2.1,.231,8.2,16.1,.510,5.8,9.0,.645,5.8,11.3,17.2,5.2,1.2,0.3,3.6,3.9,23.8,,110,104
Career,,,NBA,,1073,1012,39330,10.7,19.8,.541,0.7,2.6,.266,10.0,17.3,.581,8.1,11.0,.735,5.4,10.5,15.9,5.4,2.1,1.1,4.3,4.2,30.2,,119,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 seasons,,PHI,NBA,,610,582,22761,10.9,18.9,.576,0.5,1.9,.241,10.4,17.0,.614,8.5,11.6,.733,5.8,9.5,15.3,4.9,2.2,1.3,4.6,4.4,30.7,,121,105
4 seasons,,PHO,NBA,,280,278,10171,11.6,23.1,.501,1.2,3.9,.301,10.4,19.2,.542,7.7,10.3,.751,4.3,11.5,15.8,6.0,2.2,1.0,3.9,3.7,32.1,,117,104
4 seasons,,HOU,NBA,,183,152,6398,8.6,17.8,.482,0.7,2.8,.253,7.9,15.0,.525,7.0,9.8,.712,5.7,12.7,18.4,5.9,1.6,0.6,3.6,3.9,24.9,,116,102
