Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1997-98,21,TOT,NBA,PG,80,70,2216,6.5,17.4,.374,2.5,7.6,.329,4.0,9.9,.408,5.3,6.2,.850,1.4,3.0,4.4,7.3,2.5,0.1,4.1,4.0,20.8,,104,110
1997-98,21,BOS,NBA,PG,51,44,1296,7.0,18.0,.390,2.5,7.5,.339,4.5,10.5,.426,5.8,7.1,.817,1.6,2.9,4.5,8.6,3.1,0.1,4.7,4.7,22.4,,105,107
1997-98,21,TOR,NBA,PG,29,26,920,5.8,16.6,.349,2.4,7.7,.316,3.4,9.0,.377,4.4,4.8,.919,1.2,3.1,4.3,5.5,1.7,0.1,3.2,3.0,18.5,,102,115
1998-99,22,DEN,NBA,SG,45,41,1488,6.8,17.7,.386,3.0,8.4,.362,3.8,9.3,.408,5.6,6.1,.913,0.9,2.6,3.4,6.2,2.1,0.5,3.5,4.1,22.3,,109,113
1999-00,23,DEN,NBA,SG,13,5,305,5.6,16.8,.337,1.2,6.8,.171,4.5,10.0,.450,6.1,7.3,.841,1.3,4.3,5.6,6.5,1.7,0.3,4.0,4.5,18.6,,95,108
2000-01,24,MIN,NBA,SG,77,33,1790,7.2,17.1,.422,2.1,5.7,.376,5.1,11.5,.445,4.2,5.0,.842,0.9,3.7,4.6,7.6,1.5,0.3,3.2,5.2,20.8,,107,107
2001-02,25,MIN,NBA,PG,82,54,2355,7.8,18.5,.423,2.8,7.1,.394,5.0,11.4,.441,4.7,5.3,.885,0.8,4.3,5.1,10.1,1.5,0.4,3.1,3.8,23.1,,116,108
2002-03,26,DET,NBA,PG,74,74,2327,8.7,20.7,.421,3.5,9.0,.392,5.2,11.6,.443,7.6,8.6,.878,0.9,5.6,6.5,6.8,1.5,0.4,3.2,3.2,28.5,,116,102
2003-04,27,DET,NBA,PG,78,78,2758,7.8,19.7,.394,2.6,6.6,.388,5.2,13.1,.396,8.0,9.1,.878,0.7,4.8,5.5,8.8,1.7,0.2,3.7,3.5,26.1,,112,99
2004-05,28,DET,NBA,PG,80,80,2866,7.8,17.5,.442,3.2,7.4,.426,4.6,10.1,.454,6.6,7.3,.898,0.9,4.3,5.2,8.9,1.6,0.2,3.5,3.7,25.3,,121,105
2005-06,29,DET,NBA,PG,81,81,2925,8.0,19.1,.418,3.5,8.0,.433,4.5,11.1,.407,8.8,9.8,.894,0.8,4.0,4.8,13.2,1.3,0.2,3.2,3.0,28.3,,127,107
2006-07,30,DET,NBA,PG,70,70,2533,7.6,17.7,.427,2.4,6.9,.345,5.2,10.8,.479,8.4,9.5,.883,0.5,4.6,5.1,10.9,1.8,0.4,3.0,3.5,25.9,,123,106
2007-08,31,DET,NBA,PG,78,78,2522,8.6,19.1,.448,3.0,7.5,.401,5.6,11.7,.479,8.7,9.5,.918,0.9,3.7,4.6,11.5,2.2,0.4,3.5,2.8,28.9,,127,105
2008-09,32,TOT,NBA,PG,79,79,2789,7.5,17.9,.418,3.0,7.3,.408,4.5,10.7,.425,7.6,8.4,.913,0.6,3.8,4.4,9.3,1.7,0.3,3.2,2.9,25.6,,121,110
2008-09,32,DET,NBA,PG,2,2,70,5.5,16.6,.333,1.6,5.5,.286,4.0,11.1,.357,7.1,7.9,.900,0.8,7.1,7.9,11.9,2.4,0.8,3.2,2.4,19.8,,110,106
2008-09,32,DEN,NBA,PG,77,77,2719,7.5,18.0,.420,3.0,7.3,.410,4.6,10.7,.427,7.7,8.4,.913,0.6,3.7,4.3,9.2,1.7,0.3,3.2,3.0,25.8,,121,110
2009-10,33,DEN,NBA,PG,73,73,2490,8.2,19.6,.418,3.2,8.3,.386,5.0,11.3,.441,9.5,10.4,.910,0.5,4.1,4.6,8.3,1.7,0.2,3.6,3.1,29.0,,120,110
2010-11,34,TOT,NBA,PG,72,72,2310,7.4,17.3,.427,3.2,7.9,.402,4.2,9.4,.448,8.3,9.1,.916,0.5,3.6,4.1,8.4,1.5,0.3,3.8,3.2,26.3,,120,111
2010-11,34,DEN,NBA,PG,51,51,1646,7.2,16.4,.438,3.2,7.3,.441,4.0,9.1,.436,8.1,8.8,.923,0.4,3.4,3.8,8.3,1.6,0.4,3.9,2.9,25.6,,120,110
2010-11,34,NYK,NBA,PG,21,21,664,7.9,19.5,.403,3.1,9.5,.328,4.8,10.1,.474,9.0,10.0,.902,1.0,3.9,4.9,8.8,1.4,0.2,3.6,3.9,27.8,,118,113
2011-12,35,LAC,NBA,SG,20,20,607,7.4,20.2,.364,4.3,11.1,.384,3.1,9.1,.340,7.5,8.4,.895,0.4,4.1,4.4,7.1,0.8,0.3,3.4,3.5,26.5,,114,111
2012-13,36,LAC,NBA,SG,22,22,418,6.7,16.6,.402,4.2,11.3,.367,2.5,5.3,.476,5.7,6.0,.938,0.3,3.8,4.0,6.2,1.5,0.1,3.3,3.1,23.2,,117,108
2013-14,37,DET,NBA,SG,19,7,309,3.9,12.9,.304,2.3,7.9,.292,1.6,5.1,.323,1.6,2.0,.833,0.7,3.9,4.6,6.9,1.3,0.2,4.1,4.1,11.8,,87,113
Career,,,NBA,,1043,937,33008,7.6,18.4,.415,3.0,7.6,.387,4.7,10.8,.435,7.2,8.1,.894,0.8,4.1,4.8,9.1,1.7,0.3,3.4,3.5,25.5,,118,107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 
seasons,,DET,NBA,,482,470,16310,7.9,18.8,.422,3.0,7.5,.397,4.9,11.3,.439,7.9,8.8,.892,0.8,4.5,5.3,10.1,1.7,0.3,3.4,3.3,26.8,,121,104
5 
seasons,,DEN,NBA,,259,247,8648,7.5,18.0,.414,3.0,7.7,.392,4.4,10.3,.431,7.9,8.6,.912,0.6,3.6,4.2,8.2,1.7,0.3,3.5,3.2,25.8,,118,111
2 
seasons,,MIN,NBA,,159,87,4145,7.6,17.9,.423,2.5,6.5,.387,5.1,11.5,.443,4.5,5.1,.867,0.9,4.0,4.9,9.0,1.5,0.4,3.2,4.4,22.1,,112,107
1 
season,,BOS,NBA,,51,44,1296,7.0,18.0,.390,2.5,7.5,.339,4.5,10.5,.426,5.8,7.1,.817,1.6,2.9,4.5,8.6,3.1,0.1,4.7,4.7,22.4,,105,107
2 
seasons,,LAC,NBA,,42,42,1025,7.1,18.7,.378,4.2,11.2,.377,2.9,7.5,.379,6.8,7.4,.909,0.3,4.0,4.3,6.7,1.1,0.2,3.3,3.4,25.1,,115,110
1 
season,,TOR,NBA,,29,26,920,5.8,16.6,.349,2.4,7.7,.316,3.4,9.0,.377,4.4,4.8,.919,1.2,3.1,4.3,5.5,1.7,0.1,3.2,3.0,18.5,,102,115
1 
season,,NYK,NBA,,21,21,664,7.9,19.5,.403,3.1,9.5,.328,4.8,10.1,.474,9.0,10.0,.902,1.0,3.9,4.9,8.8,1.4,0.2,3.6,3.9,27.8,,118,113
