Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1989-90,24,SAS,NBA,C,82,81,3002,11.2,21.1,.531,0.0,0.0,.000,11.2,21.1,.532,10.0,13.6,.732,4.9,11.0,16.0,2.7,2.2,5.2,4.2,4.2,32.4,,116,97
1990-91,25,SAS,NBA,C,82,81,3095,11.9,21.5,.552,0.0,0.1,.143,11.8,21.4,.554,9.3,12.2,.762,5.3,11.5,16.7,3.3,2.0,5.0,4.2,4.2,33.1,,119,96
1991-92,26,SAS,NBA,C,68,68,2564,11.5,20.9,.551,0.0,0.2,.125,11.5,20.7,.554,7.6,10.9,.701,5.1,11.1,16.1,3.5,3.1,5.9,3.5,4.3,30.7,,118,94
1992-93,27,SAS,NBA,C,82,82,3211,10.6,21.1,.501,0.0,0.3,.176,10.5,20.9,.506,8.8,12.0,.732,3.6,11.4,15.0,4.7,2.0,4.1,3.8,3.7,30.0,,113,100
1993-94,28,SAS,NBA,C,80,80,3241,13.8,27.2,.507,0.2,0.5,.345,13.6,26.8,.510,11.4,15.2,.749,4.0,10.1,14.1,6.3,2.3,4.4,4.2,3.7,39.2,,119,98
1994-95,29,SAS,NBA,C,81,81,3074,13.0,24.5,.530,0.1,0.3,.300,12.9,24.2,.533,10.8,14.0,.774,3.9,10.6,14.5,3.9,2.2,4.3,3.8,3.8,36.9,,120,99
1995-96,30,SAS,NBA,C,82,82,3019,12.1,23.5,.516,0.1,0.2,.333,12.1,23.3,.517,10.7,14.0,.761,5.4,11.6,17.0,4.2,1.9,4.6,3.2,4.5,34.9,,120,96
1996-97,31,SAS,NBA,C,6,6,147,13.5,26.9,.500,0.0,0.0,,13.5,26.9,.500,12.7,19.4,.654,7.1,12.0,19.1,3.0,2.2,2.2,3.0,3.4,39.6,,117,106
1997-98,32,SAS,NBA,C,73,73,2457,12.0,23.5,.511,0.0,0.1,.250,12.0,23.4,.512,10.7,14.6,.735,5.3,11.8,17.1,4.4,1.4,4.2,4.5,4.5,34.8,,114,94
1998-99,33,SAS,NBA,C,49,49,1554,9.3,18.4,.509,0.0,0.0,.000,9.3,18.3,.510,8.3,12.6,.658,5.2,12.0,17.1,3.6,2.4,4.1,3.8,5.0,27.0,,111,88
1999-00,34,SAS,NBA,C,80,80,2557,10.9,21.3,.512,0.0,0.0,.000,10.9,21.3,.513,7.7,10.6,.726,4.0,11.9,15.9,2.9,2.0,3.8,3.4,5.1,29.5,,112,92
2000-01,35,SAS,NBA,C,80,80,2371,9.0,18.6,.486,0.0,0.0,.000,9.0,18.6,.487,7.9,10.6,.747,4.7,10.9,15.6,2.6,1.8,4.5,2.8,4.8,26.0,,114,92
2001-02,36,SAS,NBA,C,78,78,2303,7.9,15.6,.507,0.0,0.0,,7.9,15.6,.507,6.2,9.1,.681,4.4,10.6,15.0,2.2,2.0,3.2,2.4,4.5,22.0,,114,95
2002-03,37,SAS,NBA,C,64,64,1676,6.3,13.4,.469,0.0,0.0,,6.3,13.4,.469,4.8,6.8,.710,5.2,11.0,16.2,1.9,1.7,3.5,2.6,4.0,17.4,,109,95
Career,,,NBA,,987,985,34271,11.1,21.4,.518,0.0,0.2,.250,11.0,21.3,.520,9.1,12.3,.736,4.6,11.2,15.8,3.7,2.1,4.4,3.6,4.3,31.3,,116,96
