Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1982-83,23,ATL,NBA,SF,82,82,2697,10.8,21.9,.493,0.0,0.2,.182,10.8,21.8,.495,4.1,6.1,.682,4.1,4.5,8.6,2.3,1.5,1.1,3.2,3.8,25.8,,104,104
1983-84,24,ATL,NBA,SF,81,81,2961,11.6,24.3,.479,0.0,0.2,.000,11.6,24.1,.482,6.5,8.4,.770,4.3,5.6,9.9,2.1,2.0,1.5,3.7,3.4,29.8,,106,106
1984-85,25,ATL,NBA,SF,81,81,3023,13.6,30.1,.451,0.4,1.3,.309,13.2,28.8,.457,7.7,9.6,.806,3.6,5.3,8.9,3.2,2.1,0.9,3.6,2.7,35.3,,107,107
1985-86,26,ATL,NBA,SF,78,78,3049,14.0,29.9,.468,0.2,1.1,.186,13.8,28.8,.479,9.1,11.1,.818,4.1,5.6,9.7,3.2,2.2,0.8,4.0,2.7,37.3,,111,105
1986-87,27,ATL,NBA,SF,79,79,2969,13.7,29.6,.463,0.5,1.8,.292,13.2,27.9,.474,10.1,12.3,.818,3.5,4.7,8.2,4.3,1.9,0.8,3.6,2.5,38.1,,115,107
1987-88,28,ATL,NBA,SF,78,76,2948,15.4,33.1,.464,0.6,2.2,.295,14.7,30.9,.476,9.1,11.1,.826,3.6,4.9,8.5,3.8,1.7,0.8,3.7,2.7,40.5,,111,109
1988-89,29,ATL,NBA,SF,80,80,2997,13.3,28.6,.464,0.5,1.7,.276,12.8,26.9,.475,7.2,8.5,.844,4.2,4.8,9.0,3.4,1.9,0.8,2.9,2.2,34.2,,114,108
1989-90,30,ATL,NBA,SF,80,79,2888,14.0,29.0,.484,1.0,3.2,.322,13.0,25.8,.504,8.0,9.9,.807,3.8,5.3,9.0,3.5,2.2,0.8,3.0,2.4,37.1,,118,112
1990-91,31,ATL,NBA,SF,81,81,3078,12.2,25.9,.470,1.3,3.9,.341,10.8,22.0,.492,7.5,9.1,.829,4.1,7.4,11.6,4.2,1.9,1.0,3.2,2.5,33.2,,116,109
1991-92,32,ATL,NBA,SF,42,42,1601,13.0,28.0,.464,1.1,3.9,.289,11.9,24.1,.492,9.0,10.8,.835,3.2,5.9,9.0,4.8,1.6,0.7,3.7,2.4,36.1,,113,110
1992-93,33,ATL,NBA,SF,71,70,2647,13.8,29.4,.468,2.2,5.9,.380,11.5,23.6,.490,9.6,11.7,.828,3.5,5.5,9.0,4.2,1.3,0.5,3.4,2.2,39.4,,119,112
1993-94,34,TOT,NBA,SF,74,74,2635,13.2,30.1,.440,1.6,5.6,.288,11.6,24.5,.474,8.4,9.9,.847,3.4,5.7,9.1,3.2,1.7,0.6,3.3,2.4,36.4,,110,106
1993-94,34,ATL,NBA,SF,49,49,1687,13.0,30.1,.432,1.8,6.0,.308,11.1,24.1,.462,8.3,9.7,.854,3.6,5.6,9.2,3.4,1.9,0.7,3.6,2.6,36.1,,109,104
1993-94,34,LAC,NBA,SF,25,25,948,13.6,30.1,.453,1.2,4.9,.247,12.4,25.2,.493,8.5,10.2,.835,3.2,5.7,8.9,2.8,1.5,0.4,2.6,2.0,37.0,,110,111
1994-95,35,BOS,NBA,SF,77,64,2423,10.5,24.6,.424,2.4,6.1,.388,8.1,18.5,.436,5.6,7.2,.782,3.3,5.1,8.4,3.5,1.3,0.3,3.6,2.7,28.9,,107,113
1996-97,37,SAS,NBA,SF,63,26,1945,11.2,26.9,.417,2.0,6.8,.293,9.2,20.2,.458,7.9,9.9,.803,4.8,6.6,11.4,3.4,1.1,0.9,3.8,2.8,32.4,,107,114
1998-99,39,ORL,NBA,SF,27,2,252,10.7,28.3,.379,1.1,4.1,.263,9.6,24.2,.398,6.2,9.0,.690,6.4,8.8,15.2,3.4,0.9,0.2,4.9,4.1,28.7,,93,99
Career,,,NBA,,1074,995,38113,13.0,28.1,.461,0.9,2.9,.319,12.0,25.2,.478,7.8,9.7,.811,3.8,5.5,9.3,3.5,1.8,0.8,3.5,2.7,34.7,,112,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 
seasons,,ATL,NBA,,882,878,32545,13.2,28.3,.467,0.8,2.4,.315,12.5,25.9,.481,8.0,9.8,.813,3.8,5.4,9.2,3.5,1.9,0.9,3.5,2.7,35.2,,112,108
1 
season,,BOS,NBA,,77,64,2423,10.5,24.6,.424,2.4,6.1,.388,8.1,18.5,.436,5.6,7.2,.782,3.3,5.1,8.4,3.5,1.3,0.3,3.6,2.7,28.9,,107,113
1 
season,,SAS,NBA,,63,26,1945,11.2,26.9,.417,2.0,6.8,.293,9.2,20.2,.458,7.9,9.9,.803,4.8,6.6,11.4,3.4,1.1,0.9,3.8,2.8,32.4,,107,114
1 
season,,ORL,NBA,,27,2,252,10.7,28.3,.379,1.1,4.1,.263,9.6,24.2,.398,6.2,9.0,.690,6.4,8.8,15.2,3.4,0.9,0.2,4.9,4.1,28.7,,93,99
1 
season,,LAC,NBA,,25,25,948,13.6,30.1,.453,1.2,4.9,.247,12.4,25.2,.493,8.5,10.2,.835,3.2,5.7,8.9,2.8,1.5,0.4,2.6,2.0,37.0,,110,111
