Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2012-13,22,GSW,NBA,SF,79,1,1061,84,257,.327,14,67,.209,70,190,.368,.354,45,55,.818,58,202,260,53,42,25,51,159,227,,0
2013-14,23,GSW,NBA,SF,82,12,1797,187,459,.407,55,165,.333,132,294,.449,.467,82,123,.667,86,323,409,152,102,72,91,231,511,,0
2014-15,24,GSW,NBA,PF,79,79,2490,339,765,.443,111,329,.337,228,436,.523,.516,132,200,.660,114,533,647,291,123,99,133,253,921,,1
2015-16,25,GSW,NBA,PF,81,81,2808,401,819,.490,100,258,.388,301,561,.537,.551,229,329,.696,134,635,769,598,119,113,259,240,1131,,13
2016-17,26,GSW,NBA,PF,76,76,2471,272,650,.418,81,263,.308,191,387,.494,.481,151,213,.709,98,501,599,533,154,106,184,217,776,,5
2017-18,27,GSW,NBA,PF,70,70,2287,281,619,.454,77,256,.301,204,363,.562,.516,134,173,.775,75,460,535,508,95,91,202,185,773,,3
2018-19,28,GSW,NBA,PF,66,66,2065,188,422,.445,47,165,.285,141,257,.549,.501,63,91,.692,60,421,481,454,95,70,169,197,486,,0
2019-20,29,GSW,NBA,PF,43,43,1222,123,316,.389,36,129,.279,87,187,.465,.446,63,83,.759,23,243,266,266,59,33,98,110,345,,2
2020-21,30,GSW,NBA,PF,63,63,1982,170,380,.447,34,126,.270,136,254,.535,.492,70,88,.795,55,394,449,558,105,52,188,194,444,,6
2021-22,31,GSW,NBA,PF,46,44,1329,135,257,.525,16,54,.296,119,203,.586,.556,60,91,.659,45,291,336,320,61,50,139,136,346,,1
2022-23,32,GSW,NBA,PF,73,73,2297,250,474,.527,40,131,.305,210,343,.612,.570,77,108,.713,66,459,525,500,74,60,204,229,617,,0
2023-24,33,GSW,NBA,PF,55,52,1490,185,372,.497,51,129,.395,134,243,.551,.566,54,74,.730,76,322,398,332,55,47,135,166,475,,1
Career,,,NBA,,813,660,23299,2615,5790,.452,662,2072,.319,1953,3718,.525,.509,1160,1628,.713,890,4784,5674,4565,1084,818,1853,2317,7052,,32
