 
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2012-13,22,GSW,NBA,SF,79,1,1061,4.0,12.3,.327,0.7,3.2,.209,3.4,9.1,.368,2.2,2.6,.818,2.8,9.7,12.5,2.5,2.0,1.2,2.4,7.6,10.9,,87,102
2013-14,23,GSW,NBA,SF,82,12,1797,5.2,12.7,.407,1.5,4.6,.333,3.7,8.2,.449,2.3,3.4,.667,2.4,9.0,11.4,4.2,2.8,2.0,2.5,6.4,14.2,,102,98
2014-15,24,GSW,NBA,PF,79,79,2490,6.7,15.0,.443,2.2,6.5,.337,4.5,8.6,.523,2.6,3.9,.660,2.2,10.5,12.7,5.7,2.4,1.9,2.6,5.0,18.1,,110,97
2015-16,25,GSW,NBA,PF,81,81,2808,6.9,14.1,.490,1.7,4.4,.388,5.2,9.7,.537,3.9,5.7,.696,2.3,10.9,13.2,10.3,2.0,1.9,4.5,4.1,19.5,,115,100
2016-17,26,GSW,NBA,PF,76,76,2471,5.3,12.7,.418,1.6,5.1,.308,3.7,7.5,.494,2.9,4.1,.709,1.9,9.8,11.7,10.4,3.0,2.1,3.6,4.2,15.1,,111,99
2017-18,27,GSW,NBA,PF,70,70,2287,5.9,13.0,.454,1.6,5.4,.301,4.3,7.6,.562,2.8,3.6,.775,1.6,9.7,11.3,10.7,2.0,1.9,4.3,3.9,16.3,,110,105
2018-19,28,GSW,NBA,PF,66,66,2065,4.3,9.7,.445,1.1,3.8,.285,3.2,5.9,.549,1.5,2.1,.692,1.4,9.7,11.1,10.5,2.2,1.6,3.9,4.5,11.2,,108,106
2019-20,29,GSW,NBA,PF,43,43,1222,4.8,12.4,.389,1.4,5.1,.279,3.4,7.3,.465,2.5,3.3,.759,0.9,9.5,10.4,10.4,2.3,1.3,3.8,4.3,13.5,,100,110
2020-21,30,GSW,NBA,PF,63,63,1982,4.0,9.0,.447,0.8,3.0,.270,3.2,6.0,.535,1.7,2.1,.795,1.3,9.3,10.6,13.2,2.5,1.2,4.5,4.6,10.5,,110,106
2021-22,31,GSW,NBA,PF,46,44,1329,5.0,9.4,.525,0.6,2.0,.296,4.4,7.4,.586,2.2,3.3,.659,1.7,10.7,12.3,11.7,2.2,1.8,5.1,5.0,12.7,,109,103
2022-23,32,GSW,NBA,PF,73,73,2297,5.1,9.7,.527,0.8,2.7,.305,4.3,7.1,.612,1.6,2.2,.713,1.4,9.4,10.8,10.3,1.5,1.2,4.2,4.7,12.7,,114,112
2023-24,33,GSW,NBA,PF,55,52,1490,6.0,12.1,.497,1.7,4.2,.395,4.4,7.9,.551,1.8,2.4,.730,2.5,10.5,12.9,10.8,1.8,1.5,4.4,5.4,15.4,,116,112
Career,,,NBA,,813,660,23299,5.4,12.0,.452,1.4,4.3,.319,4.0,7.7,.525,2.4,3.4,.713,1.8,9.9,11.8,9.5,2.2,1.7,3.8,4.8,14.6,,109,104
