Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2004-05,19,ORL,NBA,PF,82,82,2670,352,677,.520,0,2,.000,352,675,.521,.520,277,413,.671,287,536,823,75,77,136,165,232,981,,0
2005-06,20,ORL,NBA,PF,82,81,3021,468,881,.531,0,2,.000,468,879,.532,.531,356,598,.595,288,734,1022,125,65,115,217,277,1292,,0
2006-07,21,ORL,NBA,C,82,82,3023,526,873,.603,1,2,.500,525,871,.603,.603,390,666,.586,283,725,1008,158,70,156,317,245,1443,,0
2007-08,22,ORL,NBA,C,82,82,3088,583,974,.599,0,4,.000,583,970,.601,.599,529,897,.590,279,882,1161,110,74,176,263,274,1695,,0
2008-09,23,ORL,NBA,C,79,79,2821,560,979,.572,0,2,.000,560,977,.573,.572,504,849,.594,336,757,1093,112,77,231,240,270,1624,,1
2009-10,24,ORL,NBA,C,82,82,2843,510,834,.612,0,7,.000,510,827,.617,.612,483,816,.592,284,798,1082,144,75,228,274,287,1503,,0
2010-11,25,ORL,NBA,C,78,78,2935,619,1044,.593,0,7,.000,619,1037,.597,.593,546,916,.596,309,789,1098,107,107,186,279,258,1784,,0
2011-12,26,ORL,NBA,C,54,54,2070,416,726,.573,0,7,.000,416,719,.579,.573,281,572,.491,200,585,785,104,81,116,175,159,1113,,0
2012-13,27,LAL,NBA,C,76,76,2722,470,813,.578,1,6,.167,469,807,.581,.579,355,721,.492,251,694,945,108,84,186,225,291,1296,,0
2013-14,28,HOU,NBA,C,71,71,2396,473,800,.591,2,7,.286,471,793,.594,.593,349,638,.547,231,635,866,131,60,128,229,240,1297,,0
2014-15,29,HOU,NBA,C,41,41,1223,251,423,.593,1,2,.500,250,421,.594,.595,143,271,.528,110,321,431,50,28,53,115,137,646,,0
2015-16,30,HOU,NBA,C,71,71,2280,372,600,.620,0,6,.000,372,594,.626,.620,232,474,.489,238,597,835,98,69,113,166,219,976,,0
2016-17,31,ATL,NBA,C,74,74,2199,388,613,.633,0,2,.000,388,611,.635,.633,226,424,.533,296,644,940,104,64,92,170,203,1002,,0
2017-18,32,CHO,NBA,C,81,81,2463,506,911,.555,1,7,.143,505,904,.559,.556,334,582,.574,255,757,1012,105,48,131,208,249,1347,,0
2018-19,33,WAS,NBA,C,9,9,230,43,69,.623,0,0,,43,69,.623,.623,29,48,.604,24,59,83,4,7,4,16,34,115,,0
2019-20,34,LAL,NBA,C,69,2,1306,202,277,.729,3,5,.600,199,272,.732,.735,110,214,.514,172,335,507,45,31,79,84,222,517,,0
2020-21,35,PHI,NBA,C,69,6,1196,178,303,.587,5,20,.250,173,283,.611,.596,121,210,.576,190,390,580,61,30,62,112,200,482,,0
2021-22,36,LAL,NBA,C,60,27,971,134,219,.612,8,15,.533,126,204,.618,.630,96,146,.658,118,238,356,35,34,36,47,115,372,,0
Career,,,NBA,,1242,1078,39457,7051,12016,.587,22,103,.214,7029,11913,.590,.588,5361,9455,.567,4151,10476,14627,1676,1081,2228,3302,3912,19485,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8 
seasons,,ORL,NBA,,621,620,22471,4034,6988,.577,1,33,.030,4033,6955,.580,.577,3366,5727,.588,2266,5806,8072,935,626,1344,1930,2002,11435,,1
3 
seasons,,LAL,NBA,,205,105,4999,806,1309,.616,12,26,.462,794,1283,.619,.620,561,1081,.519,541,1267,1808,188,149,301,356,628,2185,,0
3 
seasons,,HOU,NBA,,183,183,5899,1096,1823,.601,3,15,.200,1093,1808,.605,.602,724,1383,.523,579,1553,2132,279,157,294,510,596,2919,,0
1 
season,,CHO,NBA,,81,81,2463,506,911,.555,1,7,.143,505,904,.559,.556,334,582,.574,255,757,1012,105,48,131,208,249,1347,,0
1 
season,,ATL,NBA,,74,74,2199,388,613,.633,0,2,.000,388,611,.635,.633,226,424,.533,296,644,940,104,64,92,170,203,1002,,0
1 
season,,PHI,NBA,,69,6,1196,178,303,.587,5,20,.250,173,283,.611,.596,121,210,.576,190,390,580,61,30,62,112,200,482,,0
1 
season,,WAS,NBA,,9,9,230,43,69,.623,0,0,,43,69,.623,.623,29,48,.604,24,59,83,4,7,4,16,34,115,,0
