Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2003-04,22,MIA,NBA,PG,61,56,2126,371,798,.465,16,53,.302,355,745,.477,.475,233,312,.747,85,162,247,275,86,34,196,140,991,,0
2004-05,23,MIA,NBA,SG,77,77,2974,630,1318,.478,13,45,.289,617,1273,.485,.483,581,762,.762,110,287,397,520,121,82,321,230,1854,,1
2005-06,24,MIA,NBA,SG,75,75,2892,699,1413,.495,13,76,.171,686,1337,.513,.499,629,803,.783,107,323,430,503,146,58,268,217,2040,,2
2006-07,25,MIA,NBA,SG,51,50,1931,472,962,.491,21,79,.266,451,883,.511,.502,432,535,.807,51,188,239,384,107,62,216,117,1397,,0
2007-08,26,MIA,NBA,SG,51,49,1954,439,937,.469,22,77,.286,417,860,.485,.480,354,467,.758,45,169,214,354,87,37,224,137,1254,,0
2008-09,27,MIA,NBA,SG,79,79,3048,854,1739,.491,88,278,.317,766,1461,.524,.516,590,771,.765,89,309,398,589,173,106,272,178,2386,,0
2009-10,28,MIA,NBA,SG,77,77,2792,719,1511,.476,73,243,.300,646,1268,.509,.500,534,702,.761,107,266,373,501,142,82,252,181,2045,,0
2010-11,29,MIA,NBA,SG,76,76,2823,692,1384,.500,63,206,.306,629,1178,.534,.523,494,652,.758,123,362,485,346,111,87,237,197,1941,,1
2011-12,30,MIA,NBA,SG,49,49,1625,416,837,.497,15,56,.268,401,781,.513,.506,235,297,.791,73,164,237,225,82,63,129,110,1082,,0
2012-13,31,MIA,NBA,SG,69,69,2391,569,1093,.521,17,66,.258,552,1027,.537,.528,308,425,.725,86,258,344,352,128,56,194,140,1463,,0
2013-14,32,MIA,NBA,SG,54,53,1775,415,761,.545,9,32,.281,406,729,.557,.551,189,258,.733,60,181,241,252,79,29,161,106,1028,,0
2014-15,33,MIA,NBA,SG,62,62,1971,509,1084,.470,29,102,.284,480,982,.489,.483,284,370,.768,58,161,219,299,73,21,209,105,1331,,0
2015-16,34,MIA,NBA,SG,74,73,2258,540,1183,.456,7,44,.159,533,1139,.468,.459,322,406,.793,82,220,302,344,79,42,203,116,1409,,0
2016-17,35,CHI,NBA,SG,60,59,1792,414,955,.434,45,145,.310,369,810,.456,.457,223,281,.794,63,207,270,228,86,41,138,112,1096,,0
2017-18,36,TOT,NBA,SG,67,3,1536,299,682,.438,32,111,.288,267,571,.468,.462,135,189,.714,50,202,252,228,61,47,140,124,765,,0
2017-18,36,CLE,NBA,SG,46,3,1069,198,435,.455,23,70,.329,175,365,.479,.482,94,134,.701,39,142,181,163,42,32,92,84,513,,0
2017-18,36,MIA,NBA,SG,21,0,467,101,247,.409,9,41,.220,92,206,.447,.427,41,55,.745,11,60,71,65,19,15,48,40,252,,0
2018-19,37,MIA,NBA,SG,72,2,1885,416,960,.433,86,261,.330,330,699,.472,.478,165,233,.708,69,216,285,301,59,38,166,118,1083,,1
Career,,,NBA,,1054,909,35773,8454,17617,.480,549,1874,.293,7905,15743,.502,.495,5708,7463,.765,1258,3675,4933,5701,1620,885,3326,2328,23165,,5
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 
seasons,,MIA,NBA,,948,847,32912,7842,16227,.483,481,1659,.290,7361,14568,.505,.498,5391,7048,.765,1156,3326,4482,5310,1492,812,3096,2132,21556,,5
1 
season,,CHI,NBA,,60,59,1792,414,955,.434,45,145,.310,369,810,.456,.457,223,281,.794,63,207,270,228,86,41,138,112,1096,,0
1 
season,,CLE,NBA,,46,3,1069,198,435,.455,23,70,.329,175,365,.479,.482,94,134,.701,39,142,181,163,42,32,92,84,513,,0
