Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
1968-69,23,SDR,NBA,C,82,,3695,930,2082,.447,,,,930,2082,.447,.447,467,746,.626,,,1406,113,,,,266,2327,,0
1969-70,24,SDR,NBA,C,82,,3665,914,2020,.452,,,,914,2020,.452,.452,428,622,.688,,,1386,162,,,,270,2256,,0
1970-71,25,SDR,NBA,C,82,,3633,948,2215,.428,,,,948,2215,.428,.428,454,676,.672,,,1362,186,,,,225,2350,,0
1971-72,26,HOU,NBA,C,82,,3461,832,1918,.434,,,,832,1918,.434,.434,399,615,.649,,,1197,270,,,,233,2063,,1
1972-73,27,BAL,NBA,PF,81,,3347,713,1607,.444,,,,713,1607,.444,.444,291,434,.671,,,1177,127,,,,232,1717,,0
1973-74,28,CAP,NBA,PF,81,,3602,689,1627,.423,,,,689,1627,.423,.423,357,495,.721,354,1109,1463,163,86,240,,252,1735,,0
1974-75,29,WSB,NBA,PF,82,,3465,739,1668,.443,,,,739,1668,.443,.443,409,534,.766,221,783,1004,206,158,187,,238,1887,,0
1975-76,30,WSB,NBA,PF,80,,2975,649,1381,.470,,,,649,1381,.470,.470,287,457,.628,210,668,878,121,104,202,,293,1585,,0
1976-77,31,WSB,NBA,PF,82,,3364,760,1516,.501,,,,760,1516,.501,.501,422,614,.687,289,740,1029,158,87,220,,312,1942,,0
1977-78,32,WSB,NBA,PF,81,,3246,636,1409,.451,,,,636,1409,.451,.451,326,514,.634,335,740,1075,149,96,159,229,313,1598,,1
1978-79,33,WSB,NBA,PF,82,,3105,720,1477,.487,,,,720,1477,.487,.487,349,534,.654,312,682,994,143,75,190,235,308,1789,,0
1979-80,34,WSB,NBA,PF,81,,3183,761,1677,.454,3,13,.231,758,1664,.456,.455,334,478,.699,269,627,896,129,62,189,215,309,1859,,0
1980-81,35,WSB,NBA,PF,81,,2931,584,1296,.451,0,10,.000,584,1286,.454,.451,271,439,.617,235,554,789,98,68,171,189,300,1439,,0
1981-82,36,HOU,NBA,PF,82,82,3032,519,1100,.472,0,5,.000,519,1095,.474,.472,280,422,.664,267,480,747,144,62,104,208,287,1318,,0
1982-83,37,HOU,NBA,PF,81,43,2302,424,890,.476,2,4,.500,422,886,.476,.478,196,287,.683,199,417,616,158,50,81,200,232,1046,,0
1983-84,38,HOU,NBA,PF,81,4,994,158,389,.406,0,2,.000,158,387,.408,.406,86,132,.652,87,173,260,71,16,28,82,123,402,,1
Career,,,NBA,,1303,129,50000,10976,24272,.452,5,34,,10971,24238,.453,.452,5356,7999,.670,2778,6973,16279,2398,864,1771,1358,4193,27313,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 
seasons,,BALCAPWSB,NBA,,731,,29218,6251,13658,.458,3,23,,6248,13635,.458,.458,3046,4499,.677,2225,5903,9305,1294,736,1558,868,2557,15551,,1
7 
seasons,,SDRHOU,NBA,,572,129,20782,4725,10614,.445,2,11,,4723,10603,.445,.445,2310,3500,.660,553,1070,6974,1104,128,213,490,1636,11762,,2
