Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1990-91,22,SEA,NBA,PG,82,82,2244,5.8,12.8,.450,0.0,0.3,.077,5.7,12.5,.459,1.5,2.2,.711,2.4,3.0,5.4,11.7,3.7,0.3,4.0,5.5,13.1,,104,108
1991-92,23,SEA,NBA,PG,81,79,2549,6.5,14.5,.451,0.1,0.5,.130,6.5,14.0,.461,2.0,2.9,.669,2.4,3.4,5.8,10.0,2.9,0.4,3.4,4.9,15.1,,106,109
1992-93,24,SEA,NBA,PG,82,78,2548,9.3,18.9,.494,0.1,0.7,.206,9.2,18.2,.505,3.0,3.8,.770,1.9,3.6,5.5,7.8,3.5,0.4,2.9,4.9,21.8,,113,105
1993-94,25,SEA,NBA,PG,82,82,2881,10.2,20.3,.504,0.3,0.9,.278,10.0,19.4,.515,2.9,4.9,.595,1.8,2.9,4.7,8.7,3.3,0.3,3.0,4.0,23.6,,111,103
1994-95,26,SEA,NBA,PG,82,82,3015,11.4,22.4,.509,1.2,3.9,.302,10.3,18.6,.553,4.2,5.8,.716,1.8,2.9,4.7,9.7,3.4,0.2,3.4,3.4,28.2,,118,107
1995-96,27,SEA,NBA,PG,81,81,3162,10.0,20.6,.484,1.6,4.8,.328,8.4,15.8,.532,3.7,4.9,.748,1.7,3.8,5.5,9.8,3.7,0.3,4.2,3.6,25.3,,112,102
1996-97,28,SEA,NBA,PG,82,82,3213,11.7,24.5,.476,2.0,6.3,.313,9.7,18.2,.533,4.2,5.9,.715,1.8,4.5,6.3,9.6,3.3,0.2,3.6,3.4,29.5,,114,103
1997-98,29,SEA,NBA,PG,82,82,3145,9.8,21.7,.453,2.3,6.7,.338,7.6,15.0,.505,4.7,6.4,.744,1.3,5.1,6.4,11.5,3.1,0.3,3.9,3.3,26.7,,114,103
1998-99,30,SEA,NBA,PG,50,50,2008,10.7,24.6,.434,2.2,7.5,.295,8.5,17.1,.495,5.3,7.4,.721,1.7,4.9,6.5,11.6,2.9,0.3,4.1,3.1,28.9,,111,106
1999-00,31,SEA,NBA,PG,82,82,3425,11.2,25.0,.448,2.7,7.8,.340,8.6,17.2,.497,4.7,6.3,.735,1.5,6.4,7.9,11.0,2.3,0.3,3.4,2.7,29.8,,114,104
2000-01,32,SEA,NBA,PG,79,79,3244,11.7,25.7,.456,1.6,4.4,.375,10.1,21.3,.472,4.4,5.7,.766,1.2,4.7,5.8,10.4,2.1,0.4,3.4,3.0,29.5,,111,107
2001-02,33,SEA,NBA,PG,82,82,3301,12.0,25.8,.467,1.2,3.9,.314,10.8,21.9,.494,4.4,5.5,.797,1.3,5.2,6.5,12.0,2.1,0.4,3.4,2.9,29.6,,114,107
2002-03,34,TOT,NBA,PG,80,80,3208,11.2,24.7,.454,0.9,3.1,.297,10.3,21.6,.476,4.2,5.9,.710,1.3,4.3,5.6,11.2,2.2,0.3,3.1,3.0,27.5,,108,107
2002-03,34,SEA,NBA,PG,52,52,2123,11.4,25.5,.448,0.9,2.9,.298,10.5,22.5,.467,4.2,6.0,.692,1.4,4.9,6.4,11.7,2.4,0.3,3.4,3.0,27.8,,107,105
2002-03,34,MIL,NBA,PG,28,28,1085,10.8,23.2,.466,1.0,3.3,.294,9.8,19.9,.495,4.3,5.8,.746,1.1,3.1,4.2,10.1,2.0,0.4,2.7,3.1,26.9,,111,111
2003-04,35,LAL,NBA,PG,82,82,2825,8.9,18.9,.471,1.0,3.0,.333,7.9,15.8,.497,3.3,4.6,.714,1.3,5.0,6.3,8.3,1.8,0.3,2.8,3.1,22.1,,109,103
2004-05,36,BOS,NBA,PG,77,77,2541,6.9,14.7,.468,0.9,2.6,.326,6.0,12.1,.498,3.1,4.1,.761,1.0,3.8,4.8,9.5,1.8,0.2,3.0,2.5,17.7,,111,109
2005-06,37,MIA,NBA,PG,81,25,2305,5.2,12.4,.420,1.5,5.2,.287,3.7,7.2,.517,2.3,2.9,.794,0.8,4.5,5.3,5.8,1.6,0.2,2.3,3.8,14.2,,107,107
