Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1987-88,22,CHI,NBA,PF,81,6,1827,7.0,14.0,.501,0.0,0.1,.000,7.0,13.9,.503,3.1,5.0,.626,4.3,8.0,12.3,2.4,1.4,1.5,2.4,6.1,17.1,,109,105
1988-89,23,CHI,NBA,PF,79,79,2809,7.1,13.8,.519,0.0,0.1,.000,7.1,13.7,.522,2.5,3.5,.704,4.2,7.8,12.0,3.0,1.5,1.1,2.3,4.4,16.7,,112,107
1989-90,24,CHI,NBA,PF,80,80,2753,8.0,15.4,.523,0.0,0.0,,8.0,15.4,.523,3.2,4.6,.699,4.3,7.1,11.3,4.1,1.7,1.5,2.0,4.1,19.3,,118,108
1990-91,25,CHI,NBA,PF,78,76,2641,7.6,13.9,.547,0.0,0.1,.167,7.6,13.8,.550,3.7,5.3,.711,5.1,7.5,12.5,3.4,1.8,1.3,1.7,3.9,19.0,,126,105
1991-92,26,CHI,NBA,PF,81,81,2859,8.1,14.0,.578,0.0,0.0,.000,8.1,14.0,.580,4.2,5.6,.741,6.1,8.2,14.4,3.9,1.8,2.3,1.7,3.5,20.4,,132,102
1992-93,27,CHI,NBA,PF,77,77,2745,8.0,15.7,.508,0.0,0.1,.200,7.9,15.6,.510,3.3,5.3,.619,6.4,7.3,13.8,3.8,1.7,1.8,2.1,4.1,19.2,,118,105
1993-94,28,CHI,NBA,PF,70,69,2570,9.3,17.8,.524,0.0,0.1,.000,9.3,17.7,.528,2.8,4.7,.596,6.2,9.4,15.6,4.8,1.5,1.7,2.2,3.3,21.5,,117,101
1994-95,29,ORL,NBA,PF,74,74,2693,7.5,13.2,.567,0.0,0.1,.000,7.5,13.1,.574,2.7,4.0,.692,4.2,9.2,13.4,3.2,1.4,1.6,1.6,3.8,17.8,,126,106
1995-96,30,ORL,NBA,PF,63,62,2286,7.9,15.5,.513,0.0,0.1,.167,7.9,15.3,.516,3.5,4.7,.734,4.1,9.2,13.3,3.9,1.4,1.7,1.5,3.3,19.4,,121,105
1996-97,31,ORL,NBA,PF,67,67,2496,7.8,15.1,.515,0.0,0.1,.167,7.8,15.0,.518,2.8,3.9,.715,4.5,8.6,13.1,3.5,2.2,1.4,2.2,3.4,18.4,,115,103
1997-98,32,ORL,NBA,C,76,76,2803,7.7,16.8,.459,0.0,0.1,.000,7.7,16.7,.462,2.7,3.9,.678,4.5,7.7,12.1,3.4,1.6,1.6,1.7,3.5,18.1,,109,103
1998-99,33,ORL,NBA,PF,50,50,1660,6.4,14.8,.434,0.0,0.1,.000,6.4,14.8,.436,1.5,2.3,.671,3.8,7.6,11.4,2.9,1.5,2.0,1.4,3.2,14.4,,103,97
1999-00,34,SEA,NBA,PF,76,76,2688,5.1,11.5,.444,0.0,0.1,.000,5.1,11.4,.447,1.5,2.1,.721,3.2,8.1,11.3,3.6,1.1,1.1,1.2,3.7,11.7,,109,105
2000-01,35,LAL,NBA,PF,77,77,2390,5.8,12.5,.462,0.0,0.1,.000,5.8,12.4,.465,2.9,3.7,.775,4.8,7.1,11.9,2.6,1.1,1.3,1.1,4.0,14.4,,119,106
2001-02,36,ORL,NBA,C,76,76,2210,6.2,12.0,.513,0.0,0.0,,6.2,12.0,.513,1.9,2.6,.721,3.7,7.5,11.2,2.4,1.3,1.1,1.2,2.8,14.2,,117,105
2002-03,37,ORL,NBA,PF,5,1,85,7.9,15.2,.520,0.0,0.0,,7.9,15.2,.520,0.0,0.0,,1.2,3.6,4.9,4.2,1.8,0.0,0.6,3.0,15.8,,115,108
2003-04,38,LAL,NBA,PF,55,10,1106,4.3,10.5,.411,0.0,0.0,.000,4.3,10.5,.413,1.8,2.5,.722,3.7,7.2,11.0,3.3,1.1,1.0,1.4,3.3,10.5,,104,103
Career,,,NBA,,1165,1037,38621,7.3,14.3,.509,0.0,0.1,.063,7.3,14.2,.511,2.8,4.1,.692,4.6,8.0,12.6,3.4,1.5,1.5,1.7,3.8,17.4,,117,104
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,CHI,NBA,,546,468,18204,7.9,14.9,.530,0.0,0.1,.077,7.9,14.9,.532,3.3,4.8,.675,5.3,7.9,13.1,3.7,1.6,1.6,2.0,4.1,19.1,,119,105
7 
seasons,,ORL,NBA,,411,406,14233,7.3,14.6,.502,0.0,0.1,.069,7.3,14.5,.505,2.6,3.6,.704,4.1,8.3,12.5,3.3,1.6,1.5,1.6,3.4,17.2,,116,104
2 
seasons,,LAL,NBA,,132,87,3496,5.3,11.8,.448,0.0,0.1,.000,5.3,11.8,.450,2.5,3.3,.762,4.5,7.2,11.6,2.9,1.1,1.2,1.2,3.7,13.1,,114,105
1 
season,,SEA,NBA,,76,76,2688,5.1,11.5,.444,0.0,0.1,.000,5.1,11.4,.447,1.5,2.1,.721,3.2,8.1,11.3,3.6,1.1,1.1,1.2,3.7,11.7,,109,105
