Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1973-74,23,NYA,ABA,SF,84,,3398,12.3,24.0,.512,0.2,0.6,.395,12.1,23.4,.515,6.1,8.0,.766,3.5,8.6,12.1,5.8,2.6,2.7,4.6,3.6,30.9,,111,94
1974-75,24,NYA,ABA,SF,84,,3402,12.5,24.7,.506,0.4,1.2,.333,12.1,23.5,.515,6.6,8.3,.799,3.9,8.6,12.5,6.3,2.5,2.1,4.1,3.5,32.0,,114,96
1975-76,25,NYA,ABA,SF,84,,3244,13.3,26.2,.507,0.5,1.4,.330,12.8,24.7,.517,7.4,9.3,.801,4.7,8.2,12.9,5.9,2.9,2.2,4.3,3.1,34.4,,116,97
1976-77,26,PHI,NBA,SF,82,77,2940,10.3,20.7,.499,,,,10.3,20.7,.499,6.0,7.8,.777,2.9,7.6,10.5,4.6,2.4,1.7,,3.8,26.7,,,95
1977-78,27,PHI,NBA,SF,74,68,2429,11.1,22.2,.502,,,,11.1,22.2,.502,5.6,6.6,.845,3.3,5.5,8.8,5.1,2.5,1.8,4.3,3.8,27.9,,109,99
1978-79,28,PHI,NBA,SF,78,76,2802,11.5,23.4,.491,,,,11.5,23.4,.491,6.0,8.0,.745,3.2,5.9,9.1,5.7,2.1,1.6,5.1,3.3,28.9,,103,100
1979-80,29,PHI,NBA,SF,78,78,2812,13.9,26.7,.519,0.1,0.3,.200,13.8,26.4,.523,7.0,8.8,.787,3.6,6.0,9.5,5.9,2.8,2.3,4.7,3.4,34.8,,111,99
1980-81,30,PHI,NBA,SF,82,82,2874,12.8,24.6,.521,0.1,0.3,.222,12.8,24.3,.525,6.8,8.7,.787,3.9,6.7,10.6,5.9,2.8,2.4,4.3,3.8,32.5,,113,97
1981-82,31,PHI,NBA,SF,81,81,2789,13.3,24.4,.546,0.1,0.2,.273,13.3,24.2,.548,7.0,9.2,.763,3.8,5.8,9.5,5.5,2.8,2.4,3.7,3.9,33.8,,117,102
1982-83,32,PHI,NBA,SF,72,72,2421,11.7,22.6,.517,0.0,0.1,.286,11.6,22.5,.518,6.4,8.4,.759,3.3,6.1,9.5,5.1,2.2,2.5,3.8,3.9,29.8,,115,99
1983-84,33,PHI,NBA,SF,77,77,2683,12.2,23.8,.512,0.1,0.4,.333,12.1,23.4,.515,6.5,8.7,.754,3.4,6.1,9.6,5.6,2.5,2.5,4.1,3.9,31.0,,112,102
1984-85,34,PHI,NBA,SF,78,78,2535,11.5,23.2,.494,0.1,0.3,.214,11.4,22.9,.497,6.3,8.3,.765,3.2,4.5,7.8,4.4,2.5,2.0,3.9,3.7,29.3,,111,106
1985-86,35,PHI,NBA,SG,74,74,2474,10.1,20.9,.480,0.2,0.6,.281,9.9,20.3,.486,5.6,7.1,.785,3.3,3.9,7.1,4.8,2.2,1.6,4.1,3.8,25.9,,108,107
1986-87,36,PHI,NBA,SG,60,60,1918,10.3,21.9,.471,0.4,1.4,.264,9.9,20.5,.484,4.9,6.0,.813,3.0,3.8,6.8,4.9,2.0,2.4,4.1,3.5,25.8,,106,109
Career,,,TOT,,1088,823,38721,12.0,23.6,.507,0.2,0.6,,11.8,23.2,.512,6.4,8.2,.780,3.5,6.5,10.0,5.4,2.5,2.2,3.9,3.6,30.5,,112,100
,,,NBA,,836,823,28677,11.8,23.2,.507,0.1,0.4,,11.7,22.9,.510,6.2,8.0,.777,3.4,5.7,9.1,5.2,2.4,2.1,3.8,3.7,29.8,,111,101
,,,ABA,,252,,10044,12.7,24.9,.508,0.4,1.1,.343,12.3,23.9,.516,6.7,8.5,.789,4.0,8.5,12.5,6.0,2.7,2.4,4.3,3.4,32.4,,113,96
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 
seasons,,PHI,NBA,,836,823,28677,11.8,23.2,.507,0.1,0.4,,11.7,22.9,.510,6.2,8.0,.777,3.4,5.7,9.1,5.2,2.4,2.1,3.8,3.7,29.8,,111,101
3 
seasons,,NYA,ABA,,252,,10044,12.7,24.9,.508,0.4,1.1,.343,12.3,23.9,.516,6.7,8.5,.789,4.0,8.5,12.5,6.0,2.7,2.4,4.3,3.4,32.4,,113,96
