Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2011-12,20,SAS,NBA,SF,64,39,1534,199,404,.493,41,109,.376,158,295,.536,.543,68,88,.773,104,223,327,70,85,24,44,88,507,,0
2012-13,21,SAS,NBA,SF,58,57,1810,260,526,.494,65,174,.374,195,352,.554,.556,104,126,.825,63,283,346,93,97,32,62,99,689,,0
2013-14,22,SAS,NBA,SF,66,65,1923,337,645,.522,69,182,.379,268,463,.579,.576,101,126,.802,76,336,412,133,114,50,80,127,844,,0
2014-15,23,SAS,NBA,SF,64,64,2033,394,822,.479,67,192,.349,327,630,.519,.520,202,252,.802,85,376,461,161,148,48,97,128,1057,,0
2015-16,24,SAS,NBA,SF,72,72,2380,551,1090,.506,129,291,.443,422,799,.528,.565,292,334,.874,95,398,493,186,128,71,105,133,1523,,0
2016-17,25,SAS,NBA,SF,74,74,2474,636,1312,.485,147,387,.380,489,925,.529,.541,469,533,.880,80,350,430,260,133,55,154,122,1888,,0
2017-18,26,SAS,NBA,SF,9,9,210,52,111,.468,11,35,.314,41,76,.539,.518,31,38,.816,6,36,42,21,18,9,16,9,146,,0
2018-19,27,TOR,NBA,SF,60,60,2040,560,1129,.496,112,302,.371,448,827,.542,.546,364,426,.854,78,361,439,199,106,24,121,87,1596,,0
2019-20,28,LAC,NBA,SF,57,57,1848,532,1133,.470,123,325,.378,409,808,.506,.524,356,402,.886,54,348,402,280,103,33,149,113,1543,,1
2020-21,29,LAC,NBA,SF,52,52,1773,465,908,.512,101,254,.398,364,654,.557,.568,261,295,.885,55,282,337,269,81,21,105,82,1292,,0
2022-23,31,LAC,NBA,SF,52,50,1748,446,871,.512,104,250,.416,342,621,.551,.572,243,279,.871,57,281,338,204,72,28,88,84,1239,,0
2023-24,32,LAC,NBA,SF,68,68,2330,610,1162,.525,140,336,.417,470,826,.569,.585,253,286,.885,84,332,416,244,111,59,119,97,1613,,1
Career,,,NBA,,696,667,22103,5042,10113,.499,1109,2837,.391,3933,7276,.541,.553,2744,3185,.862,837,3606,4443,2120,1196,454,1140,1169,13937,,2
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,SAS,NBA,,407,380,12364,2429,4910,.495,529,1370,.386,1900,3540,.537,.549,1267,1497,.846,509,2002,2511,924,723,289,558,706,6654,,0
4 
seasons,,LAC,NBA,,229,227,7699,2053,4074,.504,468,1165,.402,1585,2909,.545,.561,1113,1262,.882,250,1243,1493,997,367,141,461,376,5687,,2
1 
season,,TOR,NBA,,60,60,2040,560,1129,.496,112,302,.371,448,827,.542,.546,364,426,.854,78,361,439,199,106,24,121,87,1596,,0
