Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2011-12,20,SAS,NBA,SF,64,39,1534,6.7,13.6,.493,1.4,3.7,.376,5.3,9.9,.536,2.3,3.0,.773,3.5,7.5,11.0,2.4,2.9,0.8,1.5,3.0,17.1,,119,101
2012-13,21,SAS,NBA,SF,58,57,1810,7.3,14.8,.494,1.8,4.9,.374,5.5,9.9,.554,2.9,3.5,.825,1.8,8.0,9.7,2.6,2.7,0.9,1.7,2.8,19.4,,114,99
2013-14,22,SAS,NBA,SF,66,65,1923,8.9,17.0,.522,1.8,4.8,.379,7.0,12.2,.579,2.7,3.3,.802,2.0,8.8,10.8,3.5,3.0,1.3,2.1,3.3,22.2,,116,98
2014-15,23,SAS,NBA,SF,64,64,2033,9.9,20.7,.479,1.7,4.8,.349,8.2,15.9,.519,5.1,6.3,.802,2.1,9.5,11.6,4.1,3.7,1.2,2.4,3.2,26.6,,113,96
2015-16,24,SAS,NBA,SF,72,72,2380,11.9,23.4,.506,2.8,6.3,.443,9.1,17.2,.528,6.3,7.2,.874,2.0,8.6,10.6,4.0,2.8,1.5,2.3,2.9,32.8,,121,96
2016-17,25,SAS,NBA,SF,74,74,2474,13.1,27.0,.485,3.0,8.0,.380,10.1,19.1,.529,9.7,11.0,.880,1.6,7.2,8.9,5.4,2.7,1.1,3.2,2.5,38.9,,121,102
2017-18,26,SAS,NBA,SF,9,9,210,12.5,26.7,.468,2.6,8.4,.314,9.9,18.3,.539,7.5,9.1,.816,1.4,8.7,10.1,5.1,4.3,2.2,3.8,2.2,35.1,,109,97
2018-19,27,TOR,NBA,SF,60,60,2040,13.2,26.5,.496,2.6,7.1,.371,10.5,19.4,.542,8.6,10.0,.854,1.8,8.5,10.3,4.7,2.5,0.6,2.8,2.0,37.5,,119,105
2019-20,28,LAC,NBA,SF,57,57,1848,13.6,29.0,.470,3.1,8.3,.378,10.5,20.7,.506,9.1,10.3,.886,1.4,8.9,10.3,7.2,2.6,0.8,3.8,2.9,39.5,,117,104
2020-21,29,LAC,NBA,SF,52,52,1773,13.0,25.4,.512,2.8,7.1,.398,10.2,18.3,.557,7.3,8.2,.885,1.5,7.9,9.4,7.5,2.3,0.6,2.9,2.3,36.1,,126,110
2022-23,31,LAC,NBA,SF,52,50,1748,12.5,24.4,.512,2.9,7.0,.416,9.6,17.4,.551,6.8,7.8,.871,1.6,7.9,9.5,5.7,2.0,0.8,2.5,2.4,34.7,,125,113
2023-24,32,LAC,NBA,SF,68,68,2330,12.9,24.6,.525,3.0,7.1,.417,10.0,17.5,.569,5.4,6.1,.885,1.8,7.0,8.8,5.2,2.4,1.3,2.5,2.1,34.2,,124,114
Career,,,NBA,,696,667,22103,11.4,22.9,.499,2.5,6.4,.391,8.9,16.4,.541,6.2,7.2,.862,1.9,8.1,10.0,4.8,2.7,1.0,2.6,2.6,31.5,,120,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,SAS,NBA,,407,380,12364,10.0,20.3,.495,2.2,5.7,.386,7.8,14.6,.537,5.2,6.2,.846,2.1,8.3,10.4,3.8,3.0,1.2,2.3,2.9,27.5,,118,99
4 
seasons,,LAC,NBA,,229,227,7699,13.0,25.8,.504,3.0,7.4,.402,10.0,18.4,.545,7.1,8.0,.882,1.6,7.9,9.5,6.3,2.3,0.9,2.9,2.4,36.0,,123,110
1 
season,,TOR,NBA,,60,60,2040,13.2,26.5,.496,2.6,7.1,.371,10.5,19.4,.542,8.6,10.0,.854,1.8,8.5,10.3,4.7,2.5,0.6,2.8,2.0,37.5,,119,105
