Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2007-08,19,SEA,NBA,SG,80,80,2768,10.6,24.6,.430,1.1,3.7,.288,9.5,20.9,.455,7.0,8.1,.873,1.3,5.0,6.3,3.5,1.4,1.3,4.2,2.2,29.2,,100,110
2008-09,20,OKC,NBA,SF,74,74,2885,11.7,24.7,.476,1.7,4.1,.422,10.0,20.6,.486,8.0,9.3,.863,1.4,7.2,8.6,3.6,1.7,0.9,4.0,2.4,33.3,,111,109
2009-10,21,OKC,NBA,SF,82,82,3239,12.6,26.6,.476,2.0,5.6,.365,10.6,21.0,.506,12.0,13.4,.900,1.7,8.2,9.9,3.7,1.8,1.3,4.3,2.7,39.4,,118,104
2010-11,22,OKC,NBA,SF,78,78,3038,12.1,26.2,.462,2.5,7.1,.350,9.6,19.2,.504,10.1,11.5,.880,1.0,8.1,9.1,3.6,1.5,1.3,3.7,2.7,36.8,,115,107
2011-12,23,OKC,NBA,SF,66,66,2546,13.0,26.3,.496,2.7,7.0,.387,10.3,19.3,.535,8.7,10.2,.860,0.8,9.9,10.7,4.7,1.8,1.6,5.0,2.7,37.5,,114,101
2012-13,24,OKC,NBA,SF,81,81,3119,12.1,23.6,.510,2.3,5.5,.416,9.8,18.1,.539,11.2,12.4,.905,0.8,9.8,10.6,6.2,1.9,1.7,4.6,2.4,37.6,,122,100
2013-14,25,OKC,NBA,SF,81,81,3122,13.7,27.2,.503,3.1,7.9,.391,10.6,19.3,.549,11.3,13.0,.873,0.9,8.7,9.6,7.2,1.7,1.0,4.6,2.8,41.8,,123,104
2014-15,26,OKC,NBA,SF,27,27,913,13.1,25.6,.510,3.5,8.7,.403,9.6,16.9,.565,8.0,9.4,.854,0.9,8.9,9.8,6.0,1.3,1.4,4.1,2.2,37.7,,121,105
2015-16,27,OKC,NBA,SF,72,72,2578,13.4,26.6,.505,3.6,9.3,.387,9.9,17.3,.569,8.6,9.6,.898,0.9,10.5,11.3,7.0,1.3,1.6,4.8,2.6,39.1,,122,104
2016-17,28,GSW,NBA,PF,62,62,2070,12.8,23.8,.537,2.7,7.3,.375,10.1,16.6,.608,7.8,8.9,.875,0.9,11.0,11.9,7.0,1.5,2.3,3.2,2.7,36.1,,125,101
2017-18,29,GSW,NBA,SF,68,68,2325,13.1,25.3,.516,3.6,8.6,.419,9.5,16.8,.565,7.4,8.4,.889,0.6,9.0,9.6,7.6,1.0,2.5,4.3,2.8,37.1,,119,107
2018-19,30,GSW,NBA,SF,78,78,2702,12.7,24.4,.521,2.4,6.8,.353,10.3,17.5,.587,7.9,8.9,.885,0.6,8.2,8.8,8.0,1.0,1.5,4.0,2.7,35.7,,121,110
2020-21,32,BRK,NBA,PF,35,32,1157,13.5,25.1,.537,3.5,7.9,.450,10.0,17.3,.577,8.8,9.9,.882,0.5,9.8,10.3,8.1,1.0,1.9,5.0,2.9,39.3,,122,112
2021-22,33,BRK,NBA,PF,55,55,2047,13.7,26.4,.518,2.7,7.1,.383,11.0,19.3,.568,8.8,9.7,.910,0.7,9.0,9.6,8.3,1.1,1.2,4.5,2.7,38.9,,121,112
2022-23,34,TOT,NBA,PF,47,47,1672,14.1,25.2,.560,2.7,6.7,.404,11.4,18.5,.617,9.0,9.8,.919,0.5,8.6,9.1,6.9,1.0,2.0,4.6,2.9,39.9,,123,113
2022-23,34,BRK,NBA,PF,39,39,1403,14.3,25.5,.559,2.5,6.6,.376,11.8,19.0,.622,9.3,10.0,.934,0.5,8.6,9.1,7.2,1.1,2.0,4.7,3.2,40.3,,122,113
2022-23,34,PHO,NBA,PF,8,8,269,13.3,23.3,.570,4.0,7.4,.537,9.3,15.8,.586,7.3,8.7,.833,0.5,8.7,9.3,5.1,0.4,1.8,3.6,1.3,37.8,,127,114
2023-24,35,PHO,NBA,PF,75,75,2791,13.1,25.1,.523,2.9,7.1,.413,10.2,18.0,.567,6.3,7.4,.856,0.7,7.9,8.7,6.6,1.2,1.6,4.3,2.3,35.5,,118,114
Career,,,NBA,,1061,1058,38972,12.7,25.4,.501,2.6,6.7,.387,10.1,18.7,.541,9.0,10.1,.884,0.9,8.6,9.5,5.9,1.4,1.5,4.3,2.6,37.0,,118,107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 
seasons,,SEAOKC,NBA,,641,641,24208,12.4,25.7,.483,2.4,6.3,.380,10.0,19.4,.517,9.7,11.0,.882,1.1,8.4,9.5,5.0,1.6,1.3,4.4,2.6,36.9,,116,105
3 
seasons,,GSW,NBA,,208,208,7097,12.8,24.5,.524,2.9,7.5,.384,10.0,17.0,.586,7.7,8.7,.883,0.7,9.3,10.0,7.6,1.2,2.0,3.8,2.7,36.3,,121,106
3 
seasons,,BRK,NBA,,129,126,4607,13.8,25.8,.535,2.9,7.1,.400,11.0,18.7,.587,8.9,9.8,.910,0.6,9.1,9.6,7.9,1.1,1.6,4.7,2.9,39.4,,121,112
2 
seasons,,PHO,NBA,,83,83,3060,13.1,25.0,.527,3.0,7.1,.424,10.1,17.8,.568,6.4,7.5,.854,0.7,8.0,8.7,6.5,1.1,1.6,4.2,2.2,35.7,,118,114
