Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,Trp-Dbl
2008-09,20,MIN,NBA,C,81,37,2048,316,688,.459,2,19,.105,314,669,.469,.461,265,336,.789,274,460,734,84,35,50,118,205,899,,0
2009-10,21,MIN,NBA,PF,60,22,1714,291,646,.450,35,106,.330,256,540,.474,.478,225,276,.815,227,431,658,136,43,23,117,136,842,,0
2010-11,22,MIN,NBA,PF,73,73,2611,482,1026,.470,88,211,.417,394,815,.483,.513,424,499,.850,330,782,1112,184,45,28,155,148,1476,,0
2011-12,23,MIN,NBA,PF,55,55,2145,474,1059,.448,105,282,.372,369,777,.475,.497,379,460,.824,226,508,734,111,47,28,128,152,1432,,0
2012-13,24,MIN,NBA,PF,18,18,618,105,298,.352,20,92,.217,85,206,.413,.386,100,142,.704,64,188,252,42,13,9,39,34,330,,0
2013-14,25,MIN,NBA,PF,77,77,2797,650,1421,.457,190,505,.376,460,916,.502,.524,520,633,.821,224,739,963,341,59,35,196,136,2010,,3
2014-15,26,CLE,NBA,PF,75,75,2532,413,952,.434,144,392,.367,269,560,.480,.509,258,321,.804,142,589,731,168,51,39,122,140,1228,,0
2015-16,27,CLE,NBA,PF,77,77,2424,409,977,.419,158,439,.360,251,538,.467,.499,258,314,.822,149,613,762,186,58,41,142,159,1234,,0
2016-17,28,CLE,NBA,PF,60,60,1885,370,867,.427,145,389,.373,225,478,.471,.510,257,295,.871,148,518,666,116,53,21,122,125,1142,,0
2017-18,29,CLE,NBA,C,59,59,1651,334,729,.458,137,330,.415,197,399,.494,.552,234,266,.880,101,445,546,103,43,24,90,120,1039,,0
2018-19,30,CLE,NBA,PF,22,21,598,109,283,.385,53,147,.361,56,136,.412,.479,103,114,.904,33,206,239,48,6,5,42,54,374,,0
2019-20,31,CLE,NBA,PF,56,56,1780,327,727,.450,146,390,.374,181,337,.537,.550,187,219,.854,54,493,547,178,33,19,140,90,987,,0
2020-21,32,CLE,NBA,PF,25,25,622,103,252,.409,57,156,.365,46,96,.479,.522,42,51,.824,17,169,186,63,16,2,38,26,305,,0
2021-22,33,CLE,NBA,C,74,4,1665,327,761,.430,187,477,.392,140,284,.493,.553,166,198,.838,87,449,536,160,26,18,98,101,1007,,0
2022-23,34,TOT,NBA,PF,62,20,1240,165,424,.389,99,296,.334,66,128,.516,.506,80,91,.879,59,340,399,116,16,12,70,97,509,,0
2022-23,34,CLE,NBA,PF,41,3,821,111,285,.389,69,195,.354,42,90,.467,.511,56,63,.889,42,238,280,76,7,7,47,65,347,,0
2022-23,34,MIA,NBA,PF,21,17,419,54,139,.388,30,101,.297,24,38,.632,.496,24,28,.857,17,102,119,40,9,5,23,32,162,,0
2023-24,35,MIA,NBA,PF,55,5,924,158,359,.440,84,244,.344,74,115,.643,.557,85,108,.787,59,279,338,115,18,10,48,97,485,,0
Career,,,NBA,,929,684,27254,5033,11469,.439,1650,4475,.369,3383,6994,.484,.511,3583,4323,.829,2194,7209,9403,2151,562,364,1665,1820,15299,,3
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9 
seasons,,CLE,NBA,,489,380,13978,2503,5833,.429,1096,2915,.376,1407,2918,.482,.523,1561,1841,.848,773,3720,4493,1098,293,176,841,880,7663,,0
6 
seasons,,MIN,NBA,,364,282,11933,2318,5138,.451,440,1215,.362,1878,3923,.479,.494,1913,2346,.815,1345,3108,4453,898,242,173,753,811,6989,,3
2 
seasons,,MIA,NBA,,76,22,1343,212,498,.426,114,345,.330,98,153,.641,.540,109,136,.801,76,381,457,155,27,15,71,129,647,,0
