Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2002-03,25,SAS,NBA,SG,69,5,1431,6.5,14.8,.438,1.9,5.5,.345,4.6,9.3,.494,4.7,6.4,.737,1.8,4.2,6.0,5.1,3.6,0.6,3.7,6.3,19.6,,106,98
2003-04,26,SAS,NBA,SG,77,38,2260,7.9,18.8,.418,2.1,5.8,.359,5.8,13.0,.445,5.7,7.1,.802,2.0,6.1,8.2,6.9,3.2,0.4,3.8,4.3,23.5,,107,93
2004-05,27,SAS,NBA,SG,74,74,2193,9.0,19.2,.471,2.4,6.4,.376,6.6,12.8,.517,8.7,10.9,.803,1.8,6.3,8.1,7.1,2.9,0.7,4.2,4.7,29.2,,117,98
2005-06,28,SAS,NBA,SG,65,56,1813,9.2,20.0,.462,2.5,6.5,.382,6.8,13.5,.500,8.4,10.8,.778,1.3,5.6,6.9,7.0,3.0,0.8,3.6,4.7,29.3,,117,98
2006-07,29,SAS,NBA,SG,75,36,2060,10.3,22.2,.464,3.3,8.4,.396,7.0,13.8,.505,8.3,9.7,.860,1.5,7.0,8.5,6.8,2.8,0.7,4.1,4.0,32.2,,117,98
2007-08,30,SAS,NBA,SG,74,23,2299,10.7,23.1,.460,3.7,9.2,.401,7.0,14.0,.499,8.9,10.4,.860,1.5,6.8,8.3,7.8,2.6,0.8,4.7,4.1,33.9,,116,100
2008-09,31,SAS,NBA,SG,44,7,1181,10.3,22.6,.454,3.2,9.6,.330,7.1,13.0,.546,7.7,8.7,.884,1.1,8.0,9.1,7.2,2.9,0.7,4.0,4.1,31.4,,114,101
2009-10,32,SAS,NBA,SG,75,21,2150,9.7,22.0,.441,3.2,8.5,.377,6.5,13.5,.481,7.5,8.6,.870,1.7,5.3,6.9,9.0,2.5,0.6,3.8,3.8,30.1,,118,104
2010-11,33,SAS,NBA,SG,80,79,2426,9.5,21.8,.433,3.3,9.5,.349,6.2,12.4,.497,7.7,8.8,.871,0.9,5.4,6.3,8.4,2.6,0.6,3.7,3.5,29.9,,116,105
2011-12,34,SAS,NBA,SG,34,7,792,9.8,18.6,.526,3.4,8.2,.413,6.4,10.4,.616,5.7,6.6,.871,1.2,6.4,7.6,9.9,1.6,0.8,4.2,3.7,28.7,,125,104
2012-13,35,SAS,NBA,SG,60,0,1393,8.4,19.7,.425,3.0,8.6,.353,5.3,11.1,.480,6.0,7.5,.796,1.1,6.3,7.4,10.0,2.9,0.5,4.8,4.2,25.8,,107,100
2013-14,36,SAS,NBA,SG,68,3,1550,9.6,20.4,.469,2.9,8.4,.349,6.7,12.0,.553,5.2,6.1,.851,1.0,5.6,6.6,9.6,2.3,0.6,4.5,4.2,27.3,,112,103
2014-15,37,SAS,NBA,SG,70,0,1587,8.1,19.0,.426,2.9,8.3,.345,5.2,10.7,.489,4.7,6.6,.721,0.9,5.9,6.8,9.5,2.2,0.6,5.0,4.5,23.8,,103,102
2015-16,38,SAS,NBA,SG,58,0,1134,8.9,19.6,.453,3.2,8.1,.391,5.7,11.6,.496,4.1,5.1,.813,1.2,5.4,6.6,8.0,3.0,0.5,4.5,4.5,25.1,,107,98
2016-17,39,SAS,NBA,SG,69,0,1291,6.7,17.3,.390,3.5,9.0,.392,3.2,8.4,.387,3.4,4.2,.804,1.1,5.1,6.2,7.2,3.2,0.6,3.8,4.7,20.4,,104,102
2017-18,40,SAS,NBA,SG,65,0,1299,7.8,18.0,.434,2.5,7.5,.333,5.3,10.5,.506,4.3,5.1,.840,0.7,4.8,5.5,6.3,1.7,0.6,4.1,4.9,22.4,,103,107
Career,,,NBA,,1057,349,26859,9.0,20.1,.447,2.9,7.9,.369,6.0,12.1,.498,6.6,8.0,.827,1.3,5.9,7.2,7.8,2.7,0.6,4.1,4.3,27.5,,112,100
