Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2010-11,20,IND,NBA,SG,61,19,1265,7.2,15.8,.453,1.6,5.5,.297,5.5,10.3,.537,3.1,4.0,.762,1.5,7.5,9.0,2.6,2.5,1.0,2.8,5.1,19.1,,103,104
2011-12,21,IND,NBA,SG,66,66,1958,7.6,17.3,.440,2.4,6.3,.385,5.2,10.9,.472,3.9,4.9,.802,1.5,8.5,10.0,4.3,2.9,1.0,3.2,5.2,21.6,,108,100
2012-13,22,IND,NBA,SF,79,79,2972,8.8,21.1,.419,3.0,8.4,.362,5.8,12.7,.457,4.0,4.9,.807,1.6,9.2,10.8,5.9,2.6,0.9,4.2,4.1,24.7,,104,97
2013-14,23,IND,NBA,SF,80,80,2898,10.3,24.4,.424,3.3,9.0,.364,7.1,15.4,.458,7.2,8.3,.864,1.1,8.6,9.7,5.1,2.7,0.4,4.0,3.5,31.1,,107,97
2014-15,24,IND,NBA,SF,6,0,91,10.2,27.7,.367,5.1,12.5,.409,5.1,15.3,.333,4.5,6.2,.727,2.3,10.2,12.5,3.4,2.8,0.6,6.8,6.2,30.0,,87,99
2015-16,25,IND,NBA,SF,81,81,2819,10.7,25.5,.418,3.7,10.0,.371,7.0,15.6,.447,8.0,9.3,.860,1.4,8.5,9.9,5.8,2.7,0.5,4.7,4.1,33.0,,106,101
2016-17,26,IND,NBA,SF,75,75,2689,11.6,25.1,.461,3.6,9.2,.393,7.9,15.9,.501,6.3,7.0,.898,1.1,8.1,9.2,4.7,2.2,0.5,4.1,3.8,33.0,,109,108
2017-18,27,OKC,NBA,SF,79,79,2891,9.9,23.0,.430,4.2,10.5,.401,5.7,12.5,.454,5.8,7.1,.822,1.2,6.4,7.7,4.5,2.8,0.7,3.6,4.0,29.8,,112,106
2018-19,28,OKC,NBA,SF,77,77,2841,11.6,26.5,.438,4.8,12.4,.386,6.8,14.1,.484,7.4,8.9,.839,1.7,8.6,10.3,5.2,2.8,0.6,3.4,3.5,35.5,,116,105
2019-20,29,LAC,NBA,SF,48,48,1419,11.4,26.1,.439,5.2,12.7,.412,6.2,13.4,.464,6.3,7.2,.876,0.8,8.3,9.1,6.2,2.3,0.7,4.2,3.8,34.4,,112,106
2020-21,30,LAC,NBA,SF,54,54,1821,12.1,25.9,.467,4.6,11.3,.411,7.4,14.6,.510,5.4,6.2,.868,1.2,8.5,9.8,7.6,1.7,0.7,4.9,3.6,34.2,,113,110
2021-22,31,LAC,NBA,PF,31,31,1077,12.2,28.9,.421,4.1,11.7,.354,8.1,17.2,.467,5.8,6.7,.858,0.5,9.1,9.7,8.0,3.0,0.6,5.7,3.4,34.3,,100,106
2022-23,32,LAC,NBA,SF,56,56,1939,11.6,25.4,.457,4.0,10.8,.371,7.6,14.6,.521,6.5,7.4,.871,1.1,7.5,8.6,7.3,2.1,0.5,4.4,4.0,33.7,,113,113
2023-24,33,LAC,NBA,PF,74,74,2502,11.5,24.4,.471,4.8,11.6,.413,6.7,12.8,.523,5.2,5.7,.907,0.7,6.9,7.7,5.2,2.2,0.7,3.0,4.0,33.0,,119,114
Career,,,NBA,,867,819,29182,10.5,23.9,.440,3.9,10.0,.385,6.7,13.9,.480,5.9,7.0,.854,1.2,8.1,9.4,5.5,2.5,0.7,4.0,4.0,30.9,,110,105
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,IND,NBA,,448,400,14692,9.7,22.4,.432,3.1,8.5,.370,6.6,14.0,.470,5.7,6.8,.850,1.4,8.5,9.8,5.0,2.6,0.7,4.0,4.2,28.3,,107,101
5 
seasons,,LAC,NBA,,263,263,8758,11.7,25.8,.455,4.6,11.6,.397,7.1,14.2,.502,5.8,6.6,.879,0.9,7.9,8.8,6.7,2.2,0.6,4.2,3.8,33.8,,112,111
2 
seasons,,OKC,NBA,,156,156,5732,10.8,24.8,.434,4.5,11.5,.392,6.3,13.3,.470,6.6,8.0,.832,1.5,7.5,9.0,4.9,2.8,0.6,3.5,3.8,32.7,,114,105
