
Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,21,BOS,NBA,SF,48,47,1632,9.1,20.8,.439,2.7,6.6,.412,6.4,14.2,.451,4.5,6.3,.713,3.8,6.2,9.9,3.7,2.6,1.6,3.6,4.5,25.4,,106,101
1999-00,22,BOS,NBA,SF,73,72,2583,9.5,21.6,.442,1.9,5.5,.343,7.7,16.1,.476,7.1,8.8,.798,1.6,6.1,7.8,4.3,3.0,1.2,3.5,4.7,28.0,,109,103
2000-01,23,BOS,NBA,SF,82,82,3120,11.4,25.1,.454,2.4,6.4,.383,9.0,18.8,.478,9.1,12.3,.745,1.6,7.1,8.7,4.2,2.3,1.1,4.4,4.2,34.4,,107,102
2001-02,24,BOS,NBA,SG,82,82,3302,11.1,25.1,.442,3.3,8.2,.404,7.8,16.9,.461,8.2,10.1,.809,1.3,7.6,8.9,4.1,2.4,1.4,3.8,3.7,33.7,,109,99
2002-03,25,BOS,NBA,SG,79,79,3096,11.3,27.2,.416,2.0,6.7,.302,9.3,20.5,.454,10.3,12.8,.802,1.8,8.1,9.9,6.0,2.4,1.1,4.9,3.9,34.9,,104,100
2003-04,26,BOS,NBA,SG,80,80,3099,10.0,24.9,.402,1.9,6.4,.299,8.1,18.5,.438,8.6,10.5,.819,1.1,7.5,8.7,6.8,2.2,0.9,5.0,3.9,30.5,,101,103
2004-05,27,BOS,NBA,SF,82,82,2960,9.7,21.3,.455,1.9,5.1,.370,7.8,16.2,.481,9.5,11.6,.822,1.4,8.0,9.4,6.0,2.3,0.7,4.0,4.4,30.8,,114,105
2005-06,28,BOS,NBA,SF,79,79,3084,11.6,24.7,.471,1.9,5.3,.354,9.8,19.4,.503,10.6,13.7,.772,1.3,7.6,8.9,6.3,1.8,0.6,4.6,3.8,35.7,,112,106
2006-07,29,BOS,NBA,SG,47,46,1740,11.2,25.5,.439,3.2,8.2,.389,8.0,17.2,.463,9.6,12.0,.796,1.2,7.1,8.3,5.8,1.4,0.4,4.6,3.7,35.2,,110,107
2007-08,30,BOS,NBA,SF,80,80,2874,9.4,20.2,.464,2.6,6.7,.392,6.7,13.5,.499,7.5,8.9,.843,1.0,6.6,7.5,6.7,1.9,0.7,4.1,3.7,28.8,,115,100
2008-09,31,BOS,NBA,SF,81,81,3035,9.4,20.7,.457,2.1,5.3,.391,7.4,15.3,.480,8.0,9.7,.830,1.0,7.0,8.0,5.1,1.4,0.5,4.0,3.8,29.0,,112,104
2009-10,32,BOS,NBA,SF,71,71,2411,8.9,18.8,.472,2.4,5.7,.414,6.5,13.1,.497,8.0,9.4,.852,0.8,5.9,6.7,4.7,1.8,0.7,3.6,4.3,28.2,,114,105
2010-11,33,BOS,NBA,SF,80,80,2774,9.7,19.5,.497,2.1,5.7,.374,7.6,13.9,.547,7.4,8.6,.860,0.7,7.6,8.2,5.0,1.5,1.0,3.3,4.4,28.9,,116,101
2011-12,34,BOS,NBA,SF,61,61,2075,10.1,22.8,.443,2.6,7.0,.366,7.5,15.8,.476,7.5,8.8,.852,0.9,7.2,8.1,7.0,1.8,0.7,4.4,3.8,30.2,,106,99
2012-13,35,BOS,NBA,SF,77,77,2575,9.7,22.2,.436,2.9,7.8,.380,6.7,14.4,.466,6.8,8.6,.787,0.9,9.0,9.9,7.5,1.7,0.6,4.3,4.3,29.1,,106,102
2013-14,36,BRK,NBA,SF,75,68,2098,8.0,17.8,.451,2.8,7.5,.373,5.2,10.3,.507,6.4,7.8,.826,0.7,8.1,8.7,4.5,2.2,0.8,3.8,4.8,25.3,,109,106
2014-15,37,WAS,NBA,SF,73,73,1914,7.8,17.6,.447,3.2,8.1,.389,4.7,9.4,.496,4.4,5.6,.781,1.2,6.7,7.9,3.9,1.2,0.6,2.5,4.3,23.2,,112,104
2015-16,38,LAC,NBA,SF,68,38,1231,5.9,16.2,.363,3.1,9.9,.310,2.8,6.3,.445,2.2,2.7,.818,0.5,7.1,7.6,2.9,1.3,0.7,2.4,5.3,17.0,,93,105
2016-17,39,LAC,NBA,SF,25,7,277,5.1,12.6,.400,2.7,7.8,.349,2.3,4.9,.481,1.8,2.3,.769,0.2,8.5,8.7,1.8,0.7,0.9,2.9,7.2,14.6,,92,109
Career,,,NBA,,1343,1285,45880,9.8,22.1,.445,2.4,6.6,.368,7.4,15.5,.478,7.9,9.7,.806,1.2,7.3,8.6,5.3,2.0,0.8,4.0,4.1,30.0,,109,103
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 
seasons,,BOS,NBA,,1102,1099,40360,10.2,22.8,.447,2.4,6.4,.370,7.8,16.4,.477,8.3,10.3,.806,1.3,7.3,8.6,5.6,2.0,0.9,4.2,4.0,31.1,,109,102
2 
seasons,,LAC,NBA,,93,45,1508,5.7,15.5,.368,3.0,9.5,.316,2.7,6.0,.451,2.1,2.6,.810,0.4,7.3,7.8,2.7,1.2,0.7,2.5,5.6,16.5,,93,106
1 
season,,BRK,NBA,,75,68,2098,8.0,17.8,.451,2.8,7.5,.373,5.2,10.3,.507,6.4,7.8,.826,0.7,8.1,8.7,4.5,2.2,0.8,3.8,4.8,25.3,,109,106
1 
season,,WAS,NBA,,73,73,1914,7.8,17.6,.447,3.2,8.1,.389,4.7,9.4,.496,4.4,5.6,.781,1.2,6.7,7.9,3.9,1.2,0.6,2.5,4.3,23.2,,112,104
