Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,21,MIL,NBA,SG,82,81,2532,8.3,19.2,.430,2.5,6.3,.393,5.8,12.9,.448,4.3,5.3,.823,2.1,4.8,6.9,4.4,1.6,0.2,3.2,4.6,23.3,,109,110
1997-98,22,MIL,NBA,SG,82,82,3287,9.1,21.3,.428,2.2,6.0,.364,6.9,15.3,.453,5.5,6.3,.875,2.1,4.5,6.6,5.8,1.8,0.2,4.3,4.0,25.9,,106,108
1998-99,23,MIL,NBA,SG,50,50,1719,9.7,21.6,.450,2.4,6.7,.356,7.3,14.9,.492,5.6,6.3,.903,1.8,5.0,6.8,5.7,1.7,0.2,3.9,3.8,27.5,,110,106
1999-00,24,MIL,NBA,SG,82,82,3070,10.8,23.8,.455,2.9,6.9,.423,7.9,16.9,.468,6.0,6.7,.887,1.4,4.7,6.1,5.2,1.9,0.3,3.1,3.2,30.5,,115,110
2000-01,25,MIL,NBA,SG,82,82,3129,10.5,21.8,.480,3.4,7.8,.433,7.1,14.0,.506,5.8,6.5,.888,1.7,5.4,7.1,6.2,2.1,0.3,3.4,3.2,30.1,,119,106
2001-02,26,MIL,NBA,SG,69,67,2525,11.2,24.2,.462,4.8,11.1,.434,6.3,13.1,.485,4.5,5.2,.873,1.7,4.9,6.6,5.7,1.9,0.4,3.4,3.3,31.7,,116,109
2002-03,27,TOT,NBA,SG,76,75,2880,11.1,25.4,.439,3.7,9.9,.377,7.4,15.5,.478,5.9,6.4,.916,1.8,5.3,7.1,6.2,1.9,0.3,3.7,4.1,31.9,,111,108
2002-03,27,MIL,NBA,SG,47,46,1683,11.1,25.3,.437,3.9,9.8,.395,7.2,15.5,.463,5.6,6.2,.913,1.4,5.5,6.9,5.2,1.8,0.3,3.7,4.7,31.6,,109,110
2002-03,27,SEA,NBA,SG,29,29,1197,11.2,25.5,.441,3.6,10.1,.351,7.7,15.4,.500,6.3,6.8,.920,2.2,5.2,7.4,7.7,2.1,0.1,3.7,3.2,32.3,,114,105
2003-04,28,SEA,NBA,SG,56,56,2152,11.1,25.2,.440,3.7,9.4,.392,7.4,15.8,.468,6.1,6.7,.904,1.7,5.4,7.1,6.6,1.8,0.3,3.9,3.3,31.9,,112,110
2004-05,29,SEA,NBA,SG,78,78,3064,11.4,26.6,.428,3.7,9.9,.376,7.7,16.7,.459,6.7,7.6,.883,1.4,4.8,6.2,5.2,1.5,0.1,3.0,3.0,33.3,,117,112
2005-06,30,SEA,NBA,SG,78,78,3022,11.8,26.0,.454,4.7,11.3,.412,7.1,14.7,.486,5.6,6.2,.903,1.2,4.5,5.8,5.0,1.8,0.3,3.3,2.6,33.9,,118,116
2006-07,31,SEA,NBA,SG,55,55,2219,11.9,27.2,.438,3.9,10.4,.372,8.0,16.7,.479,6.6,7.3,.903,1.3,4.5,5.8,5.4,1.9,0.3,3.6,2.7,34.3,,112,112
2007-08,32,BOS,NBA,SG,73,73,2624,8.8,19.8,.445,3.6,9.1,.398,5.2,10.7,.485,4.3,4.8,.907,1.5,3.9,5.4,4.5,1.3,0.3,2.6,3.0,25.6,,116,103
2008-09,33,BOS,NBA,SG,79,79,2876,9.2,19.2,.480,3.7,9.0,.409,5.5,10.2,.542,4.4,4.6,.952,1.2,3.9,5.1,4.0,1.3,0.2,2.5,2.9,26.5,,122,106
2009-10,34,BOS,NBA,SG,80,80,2819,8.6,18.1,.477,2.7,7.4,.363,5.9,10.7,.556,4.3,4.7,.913,0.8,3.9,4.7,3.9,1.2,0.5,2.4,3.4,24.2,,115,108
2010-11,35,BOS,NBA,SG,80,80,2890,8.8,18.0,.491,3.1,6.9,.444,5.7,11.0,.520,3.5,4.0,.881,0.9,4.1,5.0,4.0,1.4,0.3,2.2,2.7,24.3,,116,104
2011-12,36,BOS,NBA,SG,46,42,1565,7.7,16.7,.458,3.6,7.9,.453,4.1,8.8,.463,3.3,3.6,.915,0.5,4.3,4.8,3.7,1.7,0.3,2.3,2.8,22.2,,111,101
2012-13,37,MIA,NBA,SG,79,0,2035,7.6,16.9,.449,3.6,8.6,.419,4.0,8.3,.480,3.6,4.1,.886,1.0,4.6,5.6,3.5,1.7,0.4,2.7,3.4,22.5,,112,107
2013-14,38,MIA,NBA,SG,73,9,1936,6.5,14.8,.442,3.2,8.4,.375,3.4,6.4,.530,2.9,3.2,.905,0.6,4.9,5.6,3.9,1.5,0.2,2.3,3.1,19.1,,111,109
Career,,,NBA,,1300,1149,46344,9.8,21.7,.452,3.4,8.5,.400,6.4,13.2,.485,5.0,5.6,.894,1.4,4.6,6.0,5.0,1.7,0.3,3.1,3.3,28.0,,114,108
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7 
seasons,,MIL,NBA,,494,490,17945,10.1,22.3,.450,3.1,7.6,.406,7.0,14.7,.473,5.4,6.1,.879,1.7,4.9,6.7,5.5,1.8,0.3,3.5,3.7,28.6,,112,108
5 
seasons,,BOS,NBA,,358,354,12774,8.7,18.5,.472,3.3,8.1,.409,5.4,10.4,.520,4.0,4.4,.914,1.0,4.0,5.0,4.1,1.3,0.3,2.4,3.0,24.8,,117,105
5 
seasons,,SEA,NBA,,296,296,11654,11.5,26.2,.440,4.0,10.3,.386,7.6,15.9,.476,6.2,6.9,.899,1.5,4.8,6.3,5.7,1.8,0.2,3.4,2.9,33.3,,115,112
2 
seasons,,MIA,NBA,,152,9,3971,7.1,15.9,.446,3.4,8.5,.398,3.7,7.4,.501,3.3,3.6,.894,0.8,4.8,5.6,3.7,1.6,0.3,2.5,3.2,20.8,,112,108
