Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1976-77,23,GSW,NBA,C,77,,1384,9.3,18.4,.503,,,,9.3,18.4,.503,3.9,5.5,.708,6.5,11.0,17.5,2.4,1.8,3.0,,7.2,22.4,,,95
1977-78,24,GSW,NBA,C,82,,1969,9.9,21.0,.472,,,,9.9,21.0,.472,3.8,6.1,.625,4.9,10.8,15.6,2.2,1.8,2.8,4.6,6.7,23.6,,94,95
1978-79,25,GSW,NBA,C,76,,2411,10.8,21.6,.499,,,,10.8,21.6,.499,3.8,5.5,.698,5.2,12.7,17.8,2.2,1.9,4.2,4.5,5.9,25.4,,100,94
1979-80,26,GSW,NBA,C,72,,2119,11.5,22.7,.507,0.0,0.0,.000,11.5,22.7,.507,4.6,6.4,.715,5.6,12.1,17.6,2.7,1.3,2.6,5.1,5.6,27.6,,101,102
1980-81,27,BOS,NBA,C,82,82,2298,13.2,24.2,.545,0.0,0.0,.000,13.2,24.1,.545,5.8,8.2,.710,5.1,11.0,16.1,3.0,1.7,4.4,4.0,6.4,32.2,,113,96
1981-82,28,BOS,NBA,C,80,78,2534,12.5,23.1,.542,0.0,0.0,,12.5,23.1,.542,4.7,6.6,.710,5.4,10.8,16.2,2.6,1.3,3.6,4.1,5.0,29.7,,112,99
1982-83,29,BOS,NBA,C,78,76,2459,11.6,21.1,.550,0.0,0.0,.000,11.6,21.1,.551,5.1,7.3,.698,4.9,10.6,15.5,2.6,1.5,2.8,3.5,4.2,28.3,,114,98
1983-84,30,BOS,NBA,C,80,79,2867,10.5,19.1,.546,0.0,0.0,,10.5,19.1,.546,4.6,6.2,.745,4.1,10.3,14.4,2.3,0.9,1.9,3.1,4.5,25.5,,115,102
1984-85,31,BOS,NBA,C,79,78,2850,9.1,16.8,.542,0.0,0.0,,9.1,16.8,.542,4.8,6.5,.743,4.4,9.6,13.9,2.1,0.9,1.7,3.1,3.7,23.1,,114,105
1985-86,32,BOS,NBA,C,81,80,2567,9.8,17.8,.549,0.0,0.0,,9.8,17.8,.549,4.5,6.2,.731,4.5,9.7,14.2,2.7,1.2,2.1,3.5,4.0,24.1,,112,100
1986-87,33,BOS,NBA,C,80,80,2995,9.6,17.2,.556,0.0,0.0,.000,9.6,17.2,.557,3.7,5.0,.735,4.1,9.7,13.8,2.8,1.0,2.3,3.1,4.3,22.8,,113,104
1987-88,34,BOS,NBA,C,74,73,2312,9.4,15.9,.589,0.0,0.0,.000,9.4,15.9,.590,3.8,5.1,.734,3.7,9.6,13.3,2.4,1.2,1.8,3.3,4.2,22.5,,114,107
1988-89,35,BOS,NBA,C,80,80,2840,10.3,18.0,.570,0.0,0.0,,10.3,18.0,.570,5.1,7.0,.719,5.9,11.3,17.2,3.0,1.4,2.0,3.4,3.6,25.6,,118,106
1989-90,36,BOS,NBA,C,79,78,2396,10.3,17.8,.580,0.0,0.0,,10.3,17.8,.580,4.8,6.4,.747,5.3,11.0,16.2,2.1,0.8,1.4,3.4,3.9,25.4,,116,106
1990-91,37,BOS,NBA,C,81,81,2441,9.7,16.2,.598,0.0,0.0,.000,9.7,16.2,.599,4.7,6.2,.767,5.4,11.7,17.1,1.3,1.3,2.1,3.1,3.9,24.1,,122,103
1991-92,38,BOS,NBA,C,79,79,2285,10.3,19.2,.535,0.0,0.0,,10.3,19.2,.535,3.9,5.1,.772,4.8,10.7,15.5,1.5,1.5,2.1,2.9,3.8,24.5,,113,104
1992-93,39,BOS,NBA,C,79,79,2146,9.8,18.3,.535,0.0,0.0,,9.8,18.3,.535,3.8,5.5,.689,5.8,11.6,17.4,1.4,1.3,2.5,2.8,4.7,23.4,,113,103
1993-94,40,BOS,NBA,C,74,74,1987,9.0,18.3,.491,0.0,0.0,,9.0,18.3,.491,3.9,5.3,.740,3.6,10.1,13.7,2.1,1.1,2.4,2.7,4.8,21.9,,105,106
1994-95,41,CHH,NBA,C,81,4,1352,6.2,14.5,.427,0.0,0.0,,6.2,14.5,.427,2.8,3.9,.703,3.6,10.0,13.6,1.7,1.1,1.4,2.6,5.1,15.1,,95,104
1995-96,42,CHH,NBA,C,74,34,1086,5.8,11.6,.498,0.0,0.0,,5.8,11.6,.498,2.4,3.4,.704,4.3,10.3,14.6,1.4,1.0,2.6,2.4,3.9,14.0,,106,108
1996-97,43,CHI,NBA,C,43,3,406,9.2,18.8,.490,0.0,0.0,,9.2,18.8,.490,2.8,4.1,.677,5.5,6.2,11.7,2.9,0.8,2.5,3.7,5.3,21.2,,104,104
Career,,,NBA,,1611,1138,45704,10.2,18.9,.537,0.0,0.0,,10.2,18.9,.537,4.3,6.0,.721,4.9,10.7,15.5,2.3,1.3,2.5,3.4,4.7,24.6,,111,102
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 
seasons,,BOS,NBA,,1106,1097,34977,10.4,18.8,.552,0.0,0.0,.000,10.4,18.8,.552,4.5,6.2,.730,4.8,10.5,15.3,2.3,1.2,2.4,3.3,4.3,25.2,,114,103
4 
seasons,,GSW,NBA,,307,,7883,10.5,21.1,.495,0.0,0.0,,10.5,21.1,.495,4.0,5.9,.685,5.4,11.7,17.2,2.4,1.7,3.2,3.9,6.3,25.0,,99,96
2 
seasons,,CHH,NBA,,155,38,2438,6.0,13.2,.455,0.0,0.0,,6.0,13.2,.455,2.6,3.7,.703,3.9,10.2,14.1,1.6,1.0,1.9,2.5,4.6,14.6,,100,106
1 
season,,CHI,NBA,,43,3,406,9.2,18.8,.490,0.0,0.0,,9.2,18.8,.490,2.8,4.1,.677,5.5,6.2,11.7,2.9,0.8,2.5,3.7,5.3,21.2,,104,104
