Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
2008-09,20,OKC,NBA,PG,82,65,2668,8.4,21.0,.398,0.7,2.5,.271,7.7,18.6,.415,6.7,8.2,.815,3.4,4.2,7.7,8.4,2.1,0.3,5.3,3.7,24.1,,99,111
2009-10,21,OKC,NBA,PG,82,82,2813,8.9,21.3,.418,0.4,1.9,.221,8.5,19.4,.438,6.0,7.7,.780,2.6,4.7,7.4,12.0,2.0,0.6,4.9,3.7,24.2,,105,106
2010-11,22,OKC,NBA,PG,82,82,2847,11.2,25.3,.442,0.6,1.9,.330,10.5,23.4,.451,9.7,11.5,.842,2.2,4.7,6.9,12.2,2.8,0.5,5.7,3.8,32.6,,110,107
2011-12,23,OKC,NBA,PG,66,66,2331,12.8,28.0,.457,1.4,4.3,.316,11.4,23.7,.482,7.5,9.1,.823,2.1,4.5,6.7,8.0,2.5,0.5,5.3,3.3,34.5,,108,105
2012-13,24,OKC,NBA,PG,82,82,2861,12.1,27.6,.438,1.7,5.4,.323,10.4,22.2,.466,8.3,10.3,.800,2.0,5.7,7.7,10.9,2.6,0.4,4.9,3.4,34.2,,111,103
2013-14,25,OKC,NBA,PG,46,46,1412,12.3,28.2,.437,2.4,7.6,.318,9.9,20.6,.482,8.6,10.4,.826,2.0,7.4,9.4,11.4,3.1,0.2,6.3,3.7,35.7,,108,102
2014-15,26,OKC,NBA,PG,67,67,2302,13.7,32.0,.426,1.9,6.3,.299,11.8,25.8,.457,11.9,14.2,.835,2.7,7.9,10.6,12.5,3.0,0.3,6.4,4.0,41.1,,111,103
2015-16,27,OKC,NBA,PG,80,80,2750,11.8,26.1,.454,1.8,6.2,.296,10.0,19.9,.503,8.4,10.3,.812,2.6,8.7,11.3,15.1,2.9,0.4,6.2,3.6,33.9,,115,103
2016-17,28,OKC,NBA,PG,81,81,2802,14.4,34.0,.425,3.5,10.2,.343,10.9,23.8,.459,12.4,14.7,.845,2.4,12.7,15.1,14.7,2.3,0.5,7.7,3.3,44.8,,112,104
2017-18,29,OKC,NBA,PG,80,80,2914,12.9,28.7,.449,1.7,5.6,.298,11.2,23.2,.485,7.1,9.6,.737,2.6,11.1,13.7,14.0,2.5,0.3,6.5,3.4,34.5,,109,104
2018-19,30,OKC,NBA,PG,73,73,2630,11.2,26.1,.428,2.1,7.3,.290,9.1,18.8,.481,5.3,8.0,.656,1.9,12.4,14.3,13.9,2.5,0.6,5.8,4.3,29.7,,105,103
2019-20,31,HOU,NBA,PG,57,57,2049,13.6,28.9,.472,1.2,4.8,.258,12.4,24.1,.514,6.5,8.6,.763,2.3,7.9,10.2,9.1,2.1,0.5,5.8,4.5,35.1,,106,109
2020-21,32,WAS,NBA,PG,65,65,2369,10.6,24.1,.439,1.7,5.3,.315,8.9,18.8,.475,5.3,8.0,.656,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,,105,110
2021-22,33,LAL,NBA,PG,78,78,2678,9.8,22.1,.444,1.4,4.7,.298,8.4,17.3,.485,4.8,7.1,.667,2.0,8.4,10.4,9.8,1.3,0.4,5.3,4.2,25.8,,102,114
2022-23,34,TOT,NBA,PG,73,24,2126,9.7,22.3,.436,2.0,6.4,.311,7.7,15.9,.487,4.6,7.1,.656,2.0,7.5,9.5,12.4,1.7,0.7,5.7,3.6,26.1,,104,113
2022-23,34,LAL,NBA,PG,52,3,1491,9.7,23.2,.417,2.0,6.8,.296,7.7,16.4,.467,5.0,7.6,.655,1.9,8.3,10.2,12.4,1.7,0.7,5.8,3.8,26.3,,101,113
2022-23,34,LAC,NBA,PG,21,21,635,9.9,20.2,.489,2.0,5.6,.356,7.9,14.6,.540,3.9,5.9,.658,2.3,5.6,7.9,12.3,1.8,0.8,5.5,3.2,25.6,,111,115
2023-24,35,LAC,NBA,PG,68,11,1529,9.7,21.4,.454,1.4,5.0,.273,8.4,16.4,.509,3.6,5.2,.688,3.0,8.1,11.1,9.9,2.4,0.7,4.6,3.9,24.3,,107,113
Career,,,NBA,,1162,1039,39081,11.4,26.1,.438,1.6,5.3,.304,9.8,20.8,.472,7.4,9.5,.776,2.4,8.1,10.5,12.0,2.3,0.5,5.8,3.8,31.9,,108,107
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11 
seasons,,OKC,NBA,,821,804,28330,11.7,27.0,.434,1.6,5.3,.308,10.1,21.7,.465,8.3,10.4,.801,2.4,7.8,10.2,12.2,2.6,0.4,5.9,3.7,33.4,,109,105
2 
seasons,,LAL,NBA,,130,81,4169,9.8,22.5,.434,1.6,5.5,.297,8.1,17.0,.478,4.8,7.3,.662,1.9,8.4,10.3,10.8,1.5,0.5,5.5,4.1,26.0,,101,113
2 
seasons,,LAC,NBA,,89,32,2164,9.8,21.1,.464,1.5,5.2,.300,8.2,15.9,.517,3.6,5.4,.678,2.8,7.3,10.1,10.6,2.2,0.8,4.9,3.7,24.7,,108,114
1 
season,,WAS,NBA,,65,65,2369,10.6,24.1,.439,1.7,5.3,.315,8.9,18.8,.475,5.3,8.0,.656,2.1,12.5,14.6,14.9,1.7,0.4,6.1,3.7,28.1,,105,110
1 
season,,HOU,NBA,,57,57,2049,13.6,28.9,.472,1.2,4.8,.258,12.4,24.1,.514,6.5,8.6,.763,2.3,7.9,10.2,9.1,2.1,0.5,5.8,4.5,35.1,,106,109
