Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1996-97,22,PHO,NBA,PG,65,2,684,5.6,13.2,.423,1.7,4.1,.418,3.8,9.0,.425,3.2,3.8,.824,1.2,3.5,4.7,10.4,1.5,0.0,4.7,6.9,16.0,,103,112
1997-98,23,PHO,NBA,PG,76,9,1664,8.5,18.4,.459,2.6,6.2,.415,5.9,12.3,.481,2.3,2.7,.860,1.0,4.0,5.0,8.3,2.0,0.1,3.1,4.6,21.8,,111,105
1998-99,24,DAL,NBA,PG,40,40,1269,4.8,13.3,.363,2.1,5.6,.374,2.8,7.8,.355,1.6,2.0,.826,1.4,3.5,4.8,9.3,1.6,0.1,3.5,4.2,13.4,,99,108
1999-00,25,DAL,NBA,PG,56,27,1532,5.7,12.0,.477,2.0,4.9,.403,3.7,7.1,.528,2.5,2.8,.882,1.1,2.9,4.0,9.0,1.2,0.1,3.4,4.0,15.9,,114,111
2000-01,26,DAL,NBA,PG,70,70,2387,8.3,17.1,.487,1.9,4.7,.406,6.4,12.4,.518,5.0,5.6,.895,1.0,3.8,4.8,11.0,1.6,0.1,4.4,3.4,23.6,,115,106
2001-02,27,DAL,NBA,PG,82,82,2837,9.6,19.8,.483,2.8,6.3,.455,6.7,13.6,.495,4.7,5.3,.887,0.9,3.7,4.6,11.6,1.0,0.1,4.2,3.0,26.7,,118,112
2002-03,28,DAL,NBA,PG,82,82,2711,9.9,21.3,.465,2.1,5.1,.413,7.8,16.2,.482,5.9,6.5,.909,1.2,3.3,4.5,11.4,1.6,0.1,3.7,2.6,27.8,,118,106
2003-04,29,DAL,NBA,PG,78,78,2612,7.8,16.7,.470,2.1,5.1,.405,5.8,11.6,.498,4.5,4.9,.916,1.2,3.4,4.6,13.5,1.3,0.2,4.1,2.7,22.2,,120,111
2004-05,30,PHO,NBA,PG,75,75,2573,8.4,16.7,.502,1.8,4.2,.431,6.5,12.4,.526,4.1,4.6,.887,1.1,3.7,4.8,16.7,1.4,0.1,4.8,2.6,22.7,,123,111
2005-06,31,PHO,NBA,PG,79,79,2796,9.7,18.9,.512,2.7,6.1,.439,7.0,12.8,.548,4.6,5.0,.921,0.8,5.1,6.0,14.8,1.1,0.2,4.9,2.1,26.7,,121,109
2006-07,32,PHO,NBA,PG,76,76,2682,9.7,18.2,.532,2.9,6.4,.455,6.8,11.8,.575,4.2,4.6,.899,0.6,4.5,5.0,16.5,1.1,0.1,5.4,2.2,26.4,,124,110
2007-08,33,PHO,NBA,PG,81,81,2780,8.7,17.2,.504,3.2,6.8,.470,5.5,10.4,.527,4.0,4.4,.906,0.5,4.5,5.0,16.0,0.9,0.1,5.3,2.0,24.5,,121,112
2008-09,34,PHO,NBA,PG,74,74,2484,8.6,17.1,.503,2.2,5.0,.439,6.4,12.2,.529,3.9,4.2,.933,0.4,4.1,4.5,14.4,1.1,0.2,5.0,2.2,23.4,,119,115
2009-10,35,PHO,NBA,PG,81,81,2660,9.4,18.6,.507,2.3,5.5,.426,7.1,13.1,.540,4.0,4.3,.938,0.6,4.4,5.1,16.9,0.8,0.2,5.6,2.0,25.2,,121,114
2010-11,36,PHO,NBA,PG,75,75,2497,8.1,16.5,.492,1.6,4.2,.395,6.5,12.3,.525,4.6,5.1,.912,0.8,4.5,5.3,17.4,1.0,0.1,5.4,1.8,22.5,,118,114
2011-12,37,PHO,NBA,PG,62,62,1961,7.8,14.7,.532,1.5,3.7,.390,6.3,10.9,.580,3.4,3.8,.894,0.7,4.2,4.9,17.5,1.0,0.2,6.1,1.4,20.4,,115,110
2012-13,38,LAL,NBA,PG,50,50,1627,7.4,14.8,.497,1.8,4.1,.438,5.6,10.8,.519,3.3,3.6,.922,0.8,3.6,4.4,10.4,0.9,0.2,3.9,2.2,19.9,,117,111
2013-14,39,LAL,NBA,PG,15,10,313,5.6,14.6,.383,1.2,3.7,.333,4.4,10.9,.400,3.4,3.7,.917,0.6,3.9,4.5,13.4,1.1,0.3,4.8,2.8,15.9,,100,114
Career,,,NBA,,1217,1053,38069,8.5,17.2,.490,2.3,5.3,.428,6.2,12.0,.518,4.1,4.5,.904,0.9,4.0,4.9,13.8,1.2,0.1,4.7,2.7,23.3,,118,111
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 
seasons,,PHO,NBA,,744,614,22781,8.7,17.3,.504,2.3,5.4,.435,6.4,11.9,.535,4.0,4.4,.907,0.7,4.4,5.1,15.5,1.1,0.1,5.1,2.4,23.7,,120,111
6 
seasons,,DAL,NBA,,408,379,13348,8.2,17.5,.468,2.2,5.3,.416,6.0,12.2,.490,4.4,4.9,.898,1.1,3.5,4.6,11.3,1.4,0.1,4.0,3.2,23.0,,116,109
2 
seasons,,LAL,NBA,,65,60,1940,7.1,14.8,.478,1.7,4.0,.422,5.4,10.8,.499,3.4,3.6,.921,0.8,3.7,4.4,10.9,1.0,0.2,4.1,2.3,19.2,,114,112
