Season,Age,Tm,Lg,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,,ORtg,DRtg
1998-99,22,TOR,NBA,SF,50,49,1760,10.6,23.5,.450,0.6,2.0,.288,10.0,21.5,.466,6.3,8.2,.761,2.9,5.8,8.7,4.6,1.7,2.4,3.4,4.3,28.1,,107,104
1999-00,23,TOR,NBA,SF,82,82,3126,13.1,28.2,.465,1.6,3.9,.403,11.5,24.2,.475,7.2,9.2,.791,2.5,5.4,7.9,5.3,1.8,1.5,3.0,4.4,35.0,,112,105
2000-01,24,TOR,NBA,SF,75,75,2979,13.5,29.3,.460,2.9,7.0,.408,10.6,22.3,.477,6.8,8.9,.765,3.1,4.3,7.4,5.2,2.0,1.5,3.0,3.6,36.7,,114,104
2001-02,25,TOR,NBA,SG,60,60,2385,12.7,29.6,.428,2.7,7.1,.387,9.9,22.5,.441,5.6,7.0,.798,3.1,4.0,7.1,5.4,2.1,1.0,3.5,4.3,33.6,,107,105
2002-03,26,TOR,NBA,SG,43,42,1471,12.9,27.6,.467,1.6,4.8,.344,11.3,22.8,.493,4.7,5.8,.806,2.1,4.7,6.8,5.2,1.7,1.5,2.7,4.4,32.1,,109,108
2003-04,27,TOR,NBA,SG,73,73,2785,12.1,28.9,.417,1.8,4.8,.383,10.2,24.1,.424,6.7,8.3,.806,1.9,5.0,6.9,6.9,1.7,1.3,4.4,4.2,32.7,,99,102
2004-05,28,TOT,NBA,SFSG,77,76,2828,13.1,29.1,.452,2.4,5.9,.406,10.7,23.2,.463,6.9,8.7,.798,2.0,5.6,7.6,6.2,2.1,0.9,3.2,4.6,35.6,,109,104
2004-05,28,TOR,NBA,SG,20,20,608,10.6,25.7,.411,1.6,5.0,.322,8.9,20.7,.432,4.3,6.1,.694,2.4,3.2,5.6,5.2,2.1,1.3,1.9,4.8,27.0,,102,109
2004-05,28,NJN,NBA,SF,57,56,2220,13.9,30.1,.462,2.6,6.2,.425,11.3,23.9,.471,7.7,9.4,.817,1.9,6.2,8.1,6.5,2.0,0.8,3.5,4.5,38.1,,110,103
2005-06,29,NJN,NBA,SG,79,79,2906,12.0,27.9,.430,2.3,6.7,.341,9.7,21.2,.459,8.8,11.0,.799,2.5,6.0,8.5,6.2,1.7,1.0,3.9,4.3,35.1,,107,102
2006-07,30,NJN,NBA,SG,82,82,3126,12.2,26.9,.454,2.6,7.3,.357,9.6,19.5,.491,7.8,9.7,.802,1.9,6.4,8.3,6.6,1.4,0.5,3.6,4.5,34.8,,111,107
2007-08,31,NJN,NBA,SG,76,72,2959,10.4,22.8,.456,1.7,4.8,.359,8.7,18.0,.482,6.2,7.6,.816,2.0,6.0,8.0,6.9,1.6,0.6,3.2,4.3,28.8,,111,110
2008-09,32,NJN,NBA,SG,80,80,2946,10.7,24.4,.437,2.7,7.1,.385,7.9,17.3,.459,6.1,7.4,.817,1.3,6.1,7.4,6.8,1.5,0.7,3.0,4.2,30.1,,112,112
2009-10,33,ORL,NBA,SG,75,74,2310,9.8,22.9,.428,2.7,7.3,.367,7.1,15.6,.456,5.8,6.9,.840,0.7,5.9,6.6,5.3,1.2,0.4,2.4,4.3,28.1,,112,105
2010-11,34,TOT,NBA,SG,73,63,2051,9.8,22.3,.437,2.9,8.0,.361,6.8,14.3,.479,3.2,4.3,.740,1.4,5.5,6.9,3.7,1.7,0.5,2.3,4.8,25.6,,106,108
2010-11,34,ORL,NBA,SG,22,22,664,9.9,21.1,.470,2.1,6.2,.346,7.8,14.9,.521,4.4,5.9,.747,0.9,6.3,7.1,5.1,1.6,0.2,2.9,5.5,26.4,,111,103
2010-11,34,PHO,NBA,SG,51,41,1387,9.7,22.9,.422,3.3,8.9,.366,6.4,14.0,.458,2.6,3.6,.735,1.6,5.2,6.8,3.0,1.7,0.6,2.0,4.5,25.3,,104,111
2011-12,35,DAL,NBA,SG,61,40,1542,7.6,18.5,.411,2.5,7.0,.361,5.1,11.5,.442,3.2,3.9,.826,1.1,5.9,7.0,4.7,1.9,0.9,2.9,4.6,20.9,,102,103
