"game_date","Home.Team","Away.Team","Period","Clock","Home.Team.Skaters","Away.Team.Skaters","Home.Team.Goals","Away.Team.Goals","Team","Player","Event","X.Coordinate","Y.Coordinate","Detail.1","Detail.2","Detail.3","Detail.4","Player.2","X.Coordinate.2","Y.Coordinate.2","Net","Distance","Angle"
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"19M 18S",5,5,0,0,"Olympic (Women) - Canada","Marie-Philip Poulin","Shot",154,36,"Snapshot","On Net","t","f",NA,NA,NA,"OnNet",35.5984550226551,10.5207843138743
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"19M 4S",5,5,0,0,"Olympic (Women) - Canada","Meghan Agosta","Shot",177,39,"Snapshot","On Net","f","t",NA,NA,NA,"OnNet",12.5,16.260204708312
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"18M 53S",6,5,0,0,"Olympic (Women) - Canada","Brigette Lacquette","Shot",128,82,"Fan","Missed","t","t",NA,NA,NA,"Missed",72.6722092687432,32.9247114168065
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"18M 15S",5,4,0,0,"Olympic (Women) - Canada","Laura Fortino","Shot",152,67,"Slapshot","On Net","t","f",NA,NA,NA,"OnNet",44.3762323772535,33.5110187978408
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"18M 14S",5,4,0,0,"Olympic (Women) - Canada","Brianne Jenner","Shot",174,58,"Snapshot","On Net","f","f",NA,NA,NA,"OnNet",21.569654610123,45.9391909457356
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"18M 0S",5,4,0,0,"Olympic (Women) - Canada","Brigette Lacquette","Shot",159,74,"Snapshot","Missed","t","f",NA,NA,NA,"Missed",43.5,46.3971810272964
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"17M 16S",5,4,0,0,"Olympic (Women) - Canada","Brigette Lacquette","Shot",136,51,"Slapshot","Blocked","t","f",NA,NA,NA,"Missed",53.6772763839597,9.11135704478403
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"17M 13S",5,4,0,0,"Olympic (Women) - Canada","Brianne Jenner","Shot",165,43,"Wristshot","Blocked","t","f",NA,NA,NA,"Missed",24.0052077683156,1.19348942398205
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"16M 54S",5,4,0,0,"Olympic (Women) - Canada","Rebecca Johnston","Shot",179,21,"Snapshot","Blocked","t","f",NA,NA,NA,"Missed",23.7118114027588,65.0560947365754
"2018-02-11","Olympic (Women) - Canada","Olympic (Women) - Olympic Athletes from Russia",1,"16M 32S",5,5,0,0,"Olympic (Women) - Canada","Jocelyne Larocque","Shot",158,13,"Snapshot","On Net","t","f",NA,NA,NA,"OnNet",42.7931069215592,43.5797344536009
