game_date,at_bat_number,pitch_number,stand,pitch_type,pitch_name,release_speed,effective_speed,release_spin_rate,description,launch_speed,launch_angle,events
6/8/2018,1,1,L,FF,4-Seam Fastball,96.4,95.6,2246,called_strike,null,null,null
6/8/2018,1,2,L,FT,2-Seam Fastball,96.3,94.9,2230,foul,null,null,null
6/8/2018,1,3,L,KC,Knuckle Curve,84.1,82.3,2819,ball,null,null,null
6/8/2018,1,4,L,KC,Knuckle Curve,82.3,80.4,2761,ball,null,null,null
6/8/2018,1,5,L,CH,Changeup,89.5,89.3,1917,ball,null,null,null
6/8/2018,1,6,L,FF,4-Seam Fastball,97.4,96.3,2342,swinging_strike,null,null,strikeout
6/8/2018,2,1,R,FF,4-Seam Fastball,97.2,96.1,2317,ball,null,null,null
6/8/2018,2,2,R,SL,Slider,84.4,83.8,2458,ball,null,null,null
6/8/2018,2,3,R,FF,4-Seam Fastball,97.8,97.2,2257,hit_into_play_no_out,108.6,17,double
6/8/2018,3,1,L,FF,4-Seam Fastball,95.2,94.8,2137,hit_into_play,100.7,-12,field_out
6/8/2018,4,1,L,FF,4-Seam Fastball,96.4,95.5,2298,called_strike,null,null,null
6/8/2018,4,2,L,KC,Knuckle Curve,81.3,79.8,2682,hit_into_play_score,80.3,12,single
6/8/2018,5,1,L,FF,4-Seam Fastball,96.3,95.5,2316,called_strike,null,null,null
6/8/2018,5,2,L,FF,4-Seam Fastball,96,95.3,2293,foul,null,null,null
6/8/2018,5,3,L,FF,4-Seam Fastball,98.5,98.2,2434,hit_into_play_no_out,90.3,-17,single
6/8/2018,6,1,L,KC,Knuckle Curve,85.4,84.6,2420,swinging_strike,null,null,null
6/8/2018,6,2,L,SL,Slider,86.2,85.2,2405,swinging_strike,null,null,null
6/8/2018,6,3,L,KC,Knuckle Curve,84.9,83.8,2393,ball,null,null,null
6/8/2018,6,4,L,KC,Knuckle Curve,81.9,80.4,2721,ball,null,null,null
6/8/2018,6,5,L,KC,Knuckle Curve,80.7,79.1,2807,foul_tip,null,null,strikeout
6/8/2018,11,1,L,FF,4-Seam Fastball,96,94.4,2243,foul,null,null,null
6/8/2018,11,2,L,FF,4-Seam Fastball,96.1,95.6,2328,ball,null,null,null
6/8/2018,11,3,L,FF,4-Seam Fastball,96.3,95.2,2281,called_strike,null,null,null
6/8/2018,11,4,L,FF,4-Seam Fastball,96.7,96.6,2308,hit_into_play,90.1,-3,field_out
6/8/2018,12,1,R,SL,Slider,83.4,82.6,2384,ball,null,null,null
6/8/2018,12,2,R,FF,4-Seam Fastball,96.7,95.9,2192,hit_into_play,93.7,23,field_out
6/8/2018,13,1,R,FF,4-Seam Fastball,96.3,94.5,2215,called_strike,null,null,null
6/8/2018,13,2,R,KC,Knuckle Curve,83.9,83.1,2347,ball,null,null,null
6/8/2018,13,3,R,FF,4-Seam Fastball,96.3,94.6,2272,ball,null,null,null
6/8/2018,13,4,R,FF,4-Seam Fastball,96.1,94.4,2245,foul,null,null,null
6/8/2018,13,5,R,SL,Slider,85.3,84.7,2311,hit_into_play,82.9,-21,field_out
6/8/2018,20,1,L,KC,Knuckle Curve,79.4,77.6,2655,ball,null,null,null
6/8/2018,20,2,L,FF,4-Seam Fastball,95.2,93.8,2351,ball,null,null,null
6/8/2018,20,3,L,FF,4-Seam Fastball,94.7,93.4,2288,ball,null,null,null
6/8/2018,20,4,L,FF,4-Seam Fastball,93.6,93.1,2222,called_strike,null,null,null
6/8/2018,20,5,L,FF,4-Seam Fastball,94.8,93.3,2324,swinging_strike,null,null,null
6/8/2018,20,6,L,FF,4-Seam Fastball,94.1,92.6,2278,ball,null,null,walk
6/8/2018,21,1,R,SL,Slider,85.8,85.5,2469,called_strike,null,null,null
6/8/2018,21,2,R,CH,Changeup,85.1,84.1,1748,hit_into_play_score,104.5,32,home_run
6/8/2018,22,1,L,FF,4-Seam Fastball,95.7,94.7,2246,called_strike,null,null,null
6/8/2018,22,2,L,KC,Knuckle Curve,76.8,75.4,2654,hit_into_play_score,98.9,34,home_run
6/8/2018,23,1,L,FF,4-Seam Fastball,96,94.9,2320,ball,null,null,null
6/8/2018,23,2,L,FF,4-Seam Fastball,94.3,93.1,2203,foul,null,null,null
6/8/2018,23,3,L,CH,Changeup,88.2,87.1,1783,foul,null,null,null
6/8/2018,23,4,L,FF,4-Seam Fastball,97.4,97.1,2266,called_strike,null,null,strikeout
6/8/2018,24,1,L,FF,4-Seam Fastball,97.8,97,2313,called_strike,null,null,null
6/8/2018,24,2,L,FT,2-Seam Fastball,90.5,89.2,1842,ball,null,null,null
6/8/2018,24,3,L,FF,4-Seam Fastball,96.5,96,2251,foul,null,null,null
6/8/2018,24,4,L,KC,Knuckle Curve,83.1,82.1,2774,ball,null,null,null
6/8/2018,24,5,L,SL,Slider,84.1,83.2,2420,hit_into_play_score,102.3,39,home_run
6/8/2018,25,1,L,FF,4-Seam Fastball,96.1,94.8,2332,hit_into_play,70.6,36,field_out
6/8/2018,26,1,L,FF,4-Seam Fastball,97.7,95.6,2316,ball,null,null,null
6/8/2018,26,2,L,FF,4-Seam Fastball,95.4,93.6,2340,ball,null,null,null
6/8/2018,26,3,L,FF,4-Seam Fastball,96.7,94.9,2335,ball,null,null,null
6/8/2018,26,4,L,FF,4-Seam Fastball,94.6,93.8,2279,called_strike,null,null,null
6/8/2018,26,5,L,FF,4-Seam Fastball,94.2,92.6,2251,hit_into_play,95.6,-22,field_out
6/8/2018,30,1,R,FF,4-Seam Fastball,95.3,93.9,2131,called_strike,null,null,null
6/8/2018,30,2,R,SL,Slider,86.4,85.3,2286,ball,null,null,null
6/8/2018,30,3,R,FF,4-Seam Fastball,95.5,94.7,2270,ball,null,null,null
6/8/2018,30,4,R,FF,4-Seam Fastball,95.6,94.4,2172,foul,null,null,null
6/8/2018,30,5,R,SL,Slider,84.7,83.5,2325,foul,null,null,null
6/8/2018,30,6,R,FF,4-Seam Fastball,97.2,96.4,2290,foul,null,null,null
6/8/2018,30,7,R,KC,Knuckle Curve,85.3,84.1,2351,hit_into_play,83.3,-17,field_out
6/8/2018,31,1,R,FF,4-Seam Fastball,94.6,94.1,2154,ball,null,null,null
6/8/2018,31,2,R,FF,4-Seam Fastball,95.5,94.9,2192,called_strike,null,null,null
6/8/2018,31,3,R,SL,Slider,86.8,85.8,2340,swinging_strike,null,null,null
6/8/2018,31,4,R,SL,Slider,87.4,85.9,2465,swinging_strike_blocked,null,null,strikeout
6/8/2018,32,1,L,FF,4-Seam Fastball,93.6,93.3,2146,ball,null,null,null
6/8/2018,32,2,L,FF,4-Seam Fastball,95.4,94.4,2184,hit_into_play,70.2,-24,field_out
6/14/2018,4,1,L,FF,4-Seam Fastball,91.9,91,1918,ball,null,null,null
6/14/2018,4,2,L,FF,4-Seam Fastball,94.1,93,1883,ball,null,null,null
6/14/2018,4,3,L,FF,4-Seam Fastball,92.4,92.3,1856,called_strike,null,null,null
6/14/2018,4,4,L,FF,4-Seam Fastball,92.7,91.7,1899,called_strike,null,null,null
6/14/2018,4,5,L,FF,4-Seam Fastball,94.3,93.1,1908,called_strike,null,null,strikeout
6/14/2018,5,1,R,FF,4-Seam Fastball,94.1,92.9,2031,hit_into_play_score,107.5,19,home_run
6/14/2018,6,1,L,FF,4-Seam Fastball,94.9,93.8,2157,ball,null,null,null
6/14/2018,6,2,L,CH,Changeup,84.6,83.2,1798,ball,null,null,null
6/14/2018,6,3,L,FF,4-Seam Fastball,95.3,93.3,2190,swinging_strike,null,null,null
6/14/2018,6,4,L,FF,4-Seam Fastball,94.1,92.4,2153,foul,null,null,null
6/14/2018,6,5,L,CH,Changeup,85.6,84.5,1466,ball,null,null,null
6/14/2018,6,6,L,FF,4-Seam Fastball,96,94.7,2239,swinging_strike,null,null,strikeout
6/14/2018,7,1,L,FF,4-Seam Fastball,96.4,94.5,2286,ball,null,null,null
6/14/2018,7,2,L,CH,Changeup,85.3,83.8,1804,called_strike,null,null,null
6/14/2018,7,3,L,FF,4-Seam Fastball,94.2,93.2,2087,ball,null,null,null
6/14/2018,7,4,L,FF,4-Seam Fastball,94.3,93.4,2175,called_strike,null,null,null
6/14/2018,7,5,L,SL,Slider,82,79.7,2608,ball,null,null,null
6/14/2018,7,6,L,FF,4-Seam Fastball,95.5,94.5,2229,hit_into_play,78.9,-18,field_out
6/14/2018,11,1,L,KC,Knuckle Curve,77,75.7,2449,called_strike,null,null,null
6/14/2018,11,2,L,CH,Changeup,84.9,83.7,1662,ball,null,null,null
6/14/2018,11,3,L,KC,Knuckle Curve,80.9,79.3,2608,hit_into_play_score,110.7,19,home_run
6/14/2018,12,1,L,FF,4-Seam Fastball,95.1,94.5,2256,called_strike,null,null,null
6/14/2018,12,2,L,FT,2-Seam Fastball,93.5,92,2122,ball,null,null,null
6/14/2018,12,3,L,FF,4-Seam Fastball,95.2,93.7,2207,hit_into_play,83.4,42,field_out
6/14/2018,13,1,L,FF,4-Seam Fastball,93.9,92.6,2133,called_strike,null,null,null
6/14/2018,13,2,L,SL,Slider,83.2,80.8,2405,called_strike,null,null,null
6/14/2018,13,3,L,FF,4-Seam Fastball,97,95.3,2181,called_strike,null,null,strikeout
6/14/2018,14,1,R,FF,4-Seam Fastball,96.7,95.9,2266,ball,null,null,null
6/14/2018,14,2,R,FF,4-Seam Fastball,94.3,93.1,2192,hit_into_play,96.8,5,field_out
6/14/2018,18,1,L,FF,4-Seam Fastball,95,93.6,2208,called_strike,null,null,null
6/14/2018,18,2,L,FF,4-Seam Fastball,94.9,93.4,2233,ball,null,null,null
6/14/2018,18,3,L,CH,Changeup,84.9,84.3,1667,ball,null,null,null
6/14/2018,18,4,L,FF,4-Seam Fastball,94.7,94.8,2140,foul,null,null,null
6/14/2018,18,5,L,FF,4-Seam Fastball,97.3,96.5,2190,hit_into_play,86,-6,field_out
6/14/2018,19,1,L,FF,4-Seam Fastball,95.7,94.5,2237,foul,null,null,null
6/14/2018,19,2,L,KC,Knuckle Curve,82.7,80,2689,ball,null,null,null
6/14/2018,19,3,L,KC,Knuckle Curve,79.5,77.4,2583,swinging_strike,null,null,null
6/14/2018,19,4,L,FF,4-Seam Fastball,97,96.8,2260,ball,null,null,null
6/14/2018,19,5,L,CH,Changeup,84.3,83.4,1577,foul,null,null,null
6/14/2018,19,6,L,KC,Knuckle Curve,83,80.5,2831,swinging_strike,null,null,strikeout
6/14/2018,20,1,R,FT,2-Seam Fastball,96.7,95.4,2228,called_strike,null,null,null
6/14/2018,20,2,R,SL,Slider,85.9,85,2452,swinging_strike,null,null,null
6/14/2018,20,3,R,FF,4-Seam Fastball,97.9,97,2262,foul,null,null,null
6/14/2018,20,4,R,KC,Knuckle Curve,83.5,81.8,2640,foul,null,null,null
6/14/2018,20,5,R,KC,Knuckle Curve,84.5,83.2,2801,swinging_strike,null,null,strikeout
6/14/2018,24,1,L,KC,Knuckle Curve,81.5,80.2,2222,called_strike,null,null,null
6/14/2018,24,2,L,CH,Changeup,85.1,84.1,3210,ball,null,null,null
