"year","price","mileage","distance","engine","color","id","startRecord","endRecord"
2015,42992,4908,353,"2.0T","Gray",1,4,15
2015,42991,5716,353,"2.0T","Silver",2,16,28
2014,42000,5640,491,"2.0T","Ice Silver Metallic",3,29,40
2014,42000,7161,491,"2.0T","Dakota Gray Metallic",4,41,52
2015,40995,1415,489,"2.0T","Brilliant Black",5,53,62
2014,39500,10362,40,"2.0T","Gray",6,63,74
2014,39000,1672,491,"2.0T","Ice Silver Metallic",7,75,84
2014,38000,2492,3,"2.0T","Cuvee Silver Metallic",8,85,96
2014,37995,12225,18,"2.0T","Blue",9,97,108
2015,37992,7825,353,"2.0T","White",10,109,120
2014,37690,5581,83,"2.0T","Blue",11,121,132
2015,37690,6672,83,"2.0T","Ibis White",12,133,143
2015,37690,6756,83,"2.0T","Blue",13,144,155
2015,37690,7477,83,"2.0T","Silver",14,156,167
2015,37690,9542,83,"2.0T",NA,15,168,177
2014,37510,18524,19,"2.0T","Cuvee Silver Metallic",16,178,186
2013,37193,15970,361,"Prestige","Brilliant Black",17,187,196
2014,37000,3200,3,"2.0T","Ibis White",18,197,208
2014,36999,4503,9,"2.0T","Silver",19,209,218
2015,36995,7828,352,"2.0T","Brilliant Black",20,219,229
2014,36690,12127,83,"2.0T","Ibis White",21,230,239
2014,36499,6565,83,"2.0T","Ice Silver Metallic",22,240,249
2015,36200,3870,361,"2.0T","Brilliant Black",23,250,261
2014,36000,5102,361,"2.0T","Scuba Blue Metallic",24,262,273
2014,36000,7746,3,"2.0T","Dakota Gray Metallic",25,274,282
2014,35995,15241,77,"2.0T","Black",26,283,292
2014,35875,6728,116,"2.0T","Brilliant Black",27,293,302
2014,35000,29824,3,"2.0T","Moonlight Blue Metallic",28,303,314
2014,34950,14819,346,"2.0T","Ibis White",29,315,324
2014,34900,9809,486,"2.0T","White",30,325,334
2013,34900,14500,21,"2.0T","White",31,335,344
2014,34630,13512,39,"2.0T","Black",32,345,354
2014,34000,3293,3,"2.0T","Moonlight Blue",33,355,366
2014,33997,13335,478,"2.0T","Monsoon Gray Metallic",34,367,376
2013,33993,21391,353,"2.0T","White",35,377,387
2015,33937,17503,461,"2.0T",NA,36,388,397
2014,33786,7655,353,"2.0T","Gray",37,398,407
2014,33000,21497,30,"2.0T","Ice Silver Metallic",38,408,417
2015,32996,6847,29,"2.0T","Tornado Gray Metallic",39,418,429
2013,32996,23224,29,"2.0T","Moonlight Blue Metallic",40,430,441
2014,32995,14366,345,"2.0T",NA,41,442,451
2013,32995,23286,18,"2.0T","Black",42,452,461
2013,32992,21941,353,"2.0T","Black",43,462,473
2014,32990,19364,352,"2.0T","Glacier White Metallic",44,474,483
2013,32500,9455,22,"2.0T","Scuba Blue Metallic",45,484,493
2013,31995,37852,18,"2.0T","White",46,494,503
2012,31995,43800,18,"2.0T","Ibis White",47,504,515
2013,31891,9024,16,"2.0T","Brilliant Black",48,516,525
2014,31500,21504,34,"2.0T","Brilliant Black",49,526,535
2014,31000,22599,25,"2.0T","Black",50,536,545
2012,31000,47745,353,"2.0T","Brilliant Black",51,546,555
2013,30998,32976,356,"2.0T","Brilliant Red",52,556,565
2013,30991,20130,339,"2.0T","Monsoon Gray Metallic",53,566,577
2013,30793,37162,353,"2.0T","Gray",54,578,589
2012,30786,38185,353,"2.0T","Black",55,590,599
2013,30596,44112,29,"2.0T","Ibis White",56,600,611
2012,30000,47336,3,"2.0T","Monsoon Gray Metallic",57,612,621
2012,29995,17664,18,"2.0T","Gray",58,622,633
2012,29995,34943,18,"2.0T","Gray",59,634,643
2011,29991,15905,83,"2.0T","Gray",60,644,653
2013,29991,36220,83,"2.0T","Ice Silver Metallic",61,654,662
2012,29991,39886,83,"2.0T","Ibis White",62,663,674
2014,29988,29405,25,"2.0T","Black",63,675,684
2013,29900,34431,486,"2.0T","Gray",64,685,693
2014,29850,29593,460,"2.0T","Brilliant Black",65,694,703
2012,29592,57569,493,"2.0T","Brilliant Black",66,704,713
2012,29496,15960,29,"2.0T","Brilliant Black",67,714,725
2013,29495,24720,26,"2.0T","Brilliant Black",68,726,735
2012,29000,33375,3,"2.0T","Ice Silver Metallic",69,736,747
2013,29000,35560,352,"2.0T","Black",70,748,757
2012,29000,38176,3,"2.0T","Glacier White Metallic",71,758,769
2012,28996,37620,29,"2.0T","Phantom Black Pearl",72,770,781
2012,28995,23659,18,"2.0T","Phantom Black Pearl",73,782,793
2013,28995,25188,116,"2.0T","Ibis White",74,794,803
2012,28995,36239,18,"2.0T","Brilliant Red",75,804,813
2012,28995,43632,18,"2.0T","Gray",76,814,825
2013,28990,34040,30,"2.0T","Glacier White Metallic",77,826,835
2012,28985,32867,116,"2.0T","Monsoon Gray Metallic",78,836,845
2012,28980,17841,4,"2.0T","Black",79,846,855
2013,28910,28302,303,"2.0T","Brilliant Black",80,856,865
2013,28900,28742,491,"2.0T","Monsoon Gray Metallic",81,866,875
2012,28488,35227,15,"2.0T",NA,82,876,885
2012,28000,44788,3,"2.0T","Phantom Black Pearl",83,886,895
2014,27997,3823,342,"2.0T","Black",84,896,905
2012,27992,28667,353,"2.0T","Silver",85,906,917
2012,27992,31639,116,"2.0T","Gray",86,918,927
2013,27992,46532,341,"2.0T","Brilliant Black",87,928,937
2012,27992,49174,33,"2.0T","Black",88,938,947
2013,27991,29918,32,"2.0T","Ice Silver Metallic",89,948,957
2013,27688,56252,15,"2.0T",NA,90,958,967
2013,27599,21010,26,"2.0T","Gray",91,968,977
2012,27596,35075,29,"2.0T","Ice Silver Metallic",92,978,987
2012,27500,18741,26,"2.0T","Silver",93,988,997
2012,27500,23768,19,"2.0T","White",94,998,1007
2014,27497,4700,342,"2.0T","Blue",95,1008,1017
2012,27496,40390,29,"2.0T","Ice Silver Metallic",96,1018,1029
2012,27000,41953,3,"2.0T","Moonlight Blue Metallic",97,1030,1041
2012,27000,43444,30,"2.0T","Monsoon Gray Metallic",98,1042,1050
2014,26999,1681,342,"2.0T","Gray",99,1051,1060
2013,26999,33027,458,"2.0T","Silver",100,1061,1070
2012,26993,40303,353,"2.0T","White",101,1071,1082
2012,26981,46650,33,"2.0T","Monsoon Gray Metallic",102,1083,1092
2012,26975,29137,32,"2.0T","Monsoon Gray Metallic",103,1093,1102
2012,26915,15662,461,"2.0T","Brilliant Black",104,1103,1112
2012,26893,26953,353,"2.0T","Moonlight Blue Metallic",105,1113,1124
2012,26880,42000,23,"2.0T","Brilliant Black",106,1125,1134
2011,26792,19653,353,"2.0T","Blue",107,1135,1144
2012,26596,38017,29,"2.0T","Brilliant Black",108,1145,1156
2011,26575,44755,433,"Prestige","Silver",109,1157,1166
2012,26573,32800,33,"2.0T","Ibis White",110,1167,1176
2012,26500,31295,31,"2.0T","Moonlight Blue Pearl",111,1177,1186
2012,26500,45293,30,"2.0T","Ice Silver Metallic",112,1187,1196
2013,26440,59004,488,"2.0T","Monsoon Gray Metallic",113,1197,1206
2012,26000,29070,3,"2.0T","Brilliant Black",114,1207,1218
2013,26000,41966,3,"2.0T","Monsoon Gray Metallic",115,1219,1228
2011,25996,39481,29,"2.0T","Teak Brown Metallic",116,1229,1240
2012,25995,68567,116,"2.0T","White",117,1241,1250
2011,25991,41269,83,"2.0T","Ice Silver Metallic",118,1251,1260
2012,25980,31000,23,"2.0T","Ibis White",119,1261,1270
2013,25980,45461,29,"2.0T","Phantom Black Pearl",120,1271,1280
2012,25979,57809,116,"2.0T","Silver",121,1281,1290
2010,25950,53427,75,"2.0T","Brilliant Black",122,1291,1300
2012,25900,36741,77,"2.0T","Moonlight Blue Metallic",123,1301,1310
2012,25900,41477,83,"2.0T","Gray",124,1311,1320
2013,25885,32095,116,"2.0T","Ice Silver Metallic",125,1321,1330
2013,25885,33731,116,"2.0T","Ice Silver Metallic",126,1331,1340
2013,25885,35047,116,"2.0T","Brilliant Red",127,1341,1350
2012,25491,25000,32,"2.0T","Ice Silver Metallic",128,1351,1360
2012,25300,36700,19,"2.0T","White",129,1361,1370
2013,25000,32189,3,"2.0T","Ice Silver Metallic",130,1371,1380
2012,25000,48871,83,"2.0T","Monsoon Gray Metallic",131,1381,1390
2011,24996,73132,29,"2.0T","Quartz Gray Metallic",132,1391,1400
2013,24995,30344,353,"2.0T","Monsoon Gray Metallic",133,1401,1410
2011,24995,38840,18,"2.0T","Meteor Gray Pearl Effect",134,1411,1422
2011,24991,42740,353,"2.0T","Black",135,1423,1432
